language,dataset,vuln,safe,total
c_cpp,SecVulEval,8521,13554,22075
c_cpp,PrimeVul,3028,10000,13028
c_cpp,Juliet(C),4205,5891,10096
c_cpp,CrossVul(C),2833,3669,6502
c_cpp,CVEfixes(C),2191,0,2191
c_cpp,ICVul,1150,0,1150
c_cpp,MegaVul,729,0,729
c_cpp,LLMSecEval(C),516,0,516
c_cpp,SVEN(C),203,134,337
c_cpp,CASTLE,132,99,231
java,OWASP(Java),1332,1325,2657
java,CAPEC_LLM(Java),2525,0,2525
java,Juliet(Java),544,1285,1829
java,CrossVul(Java),363,516,879
java,CVEfixes(Java),281,0,281
python,CAPEC_LLM(Python),2814,0,2814
python,PyVul,1220,1289,2509
python,OWASP(Python),434,778,1212
python,CrossVul(Python),369,515,884
python,PatchEval,449,404,853
python,SVEN(Python),378,378,756
python,LLMSecEval,571,144,715
python,CVEfixes(Python),413,0,413
python,SecurityEval,97,0,97
