language,fraction,repeat,n_samples,families_kept,gt_kept,n_strategies,baseline_strategy,traditional_f1,or_f1,fusion_f1_mean,fusion_f1_max,best_fusion_strategy,bks_f1,best_fusion_minus_traditional
c_cpp,0.1,0,5801,21,2440,152,traditional_2_of_6,0.05908546691323693,0.2162398612732847,0.13527911667644751,0.29322442909002133,bks_tau_0_1,0.29322442909002133,0.2341389621767844
c_cpp,0.1,1,5801,19,2299,152,traditional_2_of_6,0.061056570498360795,0.22056839300741182,0.12481543429594648,0.2970455827657037,bks_tau_0_2,0.2970455827657037,0.2359890122673429
c_cpp,0.1,2,5801,19,2278,152,traditional_2_of_6,0.06377371796305387,0.22751819709574078,0.12223635790791158,0.3163005339250096,bks_tau_0_1,0.3163005339250096,0.25252681596195575
c_cpp,0.25,0,14502,25,6042,152,traditional_2_of_6,0.052042159155242705,0.19989699290071186,0.09866178683808713,0.2671576114539406,dst_yager_fire_fpr_silence_fnr_tau_0_1,0.2607999104140687,0.2151154522986979
c_cpp,0.25,1,14502,22,6039,152,traditional_2_of_6,0.053023704916561956,0.20544306622732708,0.1075772796896089,0.2769139218287322,bks_tau_0_2,0.2769139218287322,0.22389021691217026
c_cpp,0.25,2,14502,25,5911,152,traditional_2_of_6,0.052248754541363227,0.21041762743825115,0.10115089178794101,0.2839676984769568,bks_tau_0_2,0.2839676984769568,0.23171894393559356
c_cpp,0.5,0,29004,27,12032,152,traditional_2_of_6,0.043773862416299936,0.19715158110398118,0.09258036319136702,0.2532374653205139,dst_yager_fire_fpr_silence_fnr_tau_0_1,0.24930485061518243,0.20946360290421395
c_cpp,0.5,1,29004,27,12017,152,traditional_2_of_6,0.04207744411323718,0.19715528889979878,0.09152598130282777,0.2539209534996107,bks_tau_0_2,0.2539209534996107,0.2118435093863735
c_cpp,0.5,2,29004,27,11801,152,traditional_2_of_6,0.0481479289374139,0.19810527018127616,0.09483203891146046,0.2710028045876833,naive_bayes_tau_0_2,0.27024331163644993,0.22285487565026937
c_cpp,0.75,0,43507,28,18006,152,traditional_2_of_6,0.04112233381277576,0.1962233372861084,0.08832614743302754,0.2626297427706744,bks_tau_0_2,0.2626297427706744,0.22150740895789867
c_cpp,0.75,1,43507,27,17934,152,traditional_2_of_6,0.04183938440958054,0.19424047937292102,0.08912514355671766,0.2659942353837167,bks_tau_0_2,0.2659942353837167,0.22415485097413615
c_cpp,0.75,2,43507,28,18008,152,traditional_2_of_6,0.041414304705478265,0.1893741093531407,0.09008377921046516,0.2646988222498827,naive_bayes_tau_0_2,0.26155581112354803,0.22328451754440445
c_cpp,1.0,0,58009,28,24103,152,traditional_2_of_6,0.039505236749068307,0.1890097810656207,0.08680373084845212,0.2633300840881182,bks_tau_0_2,0.2633300840881182,0.2238248473390499
