fold,tool,family,tp,fp,tn,fn,ppv,npv,fpr,fnr,sensitivity,specificity,positive_support,supported
0,codeql,CWE-20,13,215,191087,1528,0.05701754385964912,0.9920670768112556,0.0011238774294048154,0.9915639195327709,0.008436080467229072,0.9988761225705952,1541,True
0,codeql,CWE-74,0,0,192093,750,,0.9961108259050108,0.0,1.0,0.0,1.0,750,False
0,codeql,CWE-118,71,128,184247,8397,0.35678391959798994,0.9564118269969477,0.0006942372881355932,0.9916154936230515,0.008384506376948512,0.9993057627118644,8468,True
0,codeql,CWE-131,0,5,192822,16,0.0,0.9999170288013773,2.592997868555752e-05,1.0,0.0,0.9999740700213144,16,True
0,codeql,CWE-190,2,102,191616,1123,0.019230769230769232,0.994173467746538,0.0005320314211498138,0.9982222222222222,0.0017777777777777779,0.9994679685788502,1125,True
0,codeql,CWE-191,0,51,192658,134,0.0,0.9993049504128803,0.0002646477331105449,1.0,0.0,0.9997353522668895,134,True
0,codeql,CWE-269,0,0,192750,93,,0.9995177424122214,0.0,1.0,0.0,1.0,93,False
0,codeql,CWE-285,8,138,192478,219,0.0547945205479452,0.998863500729124,0.0007164513851393446,0.9647577092511013,0.03524229074889868,0.9992835486148607,227,True
0,codeql,CWE-287,1,0,192588,254,1.0,0.9986828595430456,0.0,0.996078431372549,0.00392156862745098,1.0,255,True
0,codeql,CWE-311,0,1,192809,33,0.0,0.9998288754524429,5.186452984803693e-06,1.0,0.0,0.9999948135470152,33,True
0,codeql,CWE-327,1,20,192805,17,0.047619047619047616,0.9999118357863729,0.00010372099053545961,0.9444444444444444,0.05555555555555555,0.9998962790094645,18,True
0,codeql,CWE-369,0,2,192621,220,0.0,0.9988591637670412,1.038297607243164e-05,1.0,0.0,0.9999896170239275,220,True
0,codeql,CWE-400,0,18,192363,462,0.0,0.9976040451186309,9.356433327615513e-05,1.0,0.0,0.9999064356667239,462,True
0,codeql,CWE-404,1,74,191787,981,0.013333333333333334,0.9949109810756972,0.0003856958944235671,0.9989816700610998,0.0010183299389002036,0.9996143041055764,982,True
0,codeql,CWE-476,0,0,191496,1347,,0.9930150433253995,0.0,1.0,0.0,1.0,1347,False
0,codeql,CWE-573,0,14,192786,43,0.0,0.9997770044962117,7.261410788381743e-05,1.0,0.0,0.9999273858921162,43,True
0,codeql,CWE-662,1,46,192161,635,0.02127659574468085,0.9967063632025561,0.00023932531073269964,0.9984276729559748,0.0015723270440251573,0.9997606746892673,636,True
0,codeql,CWE-665,2,86,192644,111,0.022727272727272728,0.9994241394516354,0.00044622010065895295,0.9823008849557522,0.017699115044247787,0.999553779899341,113,True
0,codeql,CWE-666,0,14,192806,23,0.0,0.999880723335183,7.260657608131937e-05,1.0,0.0,0.9999273934239187,23,True
0,codeql,CWE-668,1,17,191735,1090,0.05555555555555555,0.9943472060158175,8.865618090032959e-05,0.999083409715857,0.0009165902841429881,0.9999113438190996,1091,True
0,codeql,CWE-669,0,4,192822,17,0.0,0.9999118435586163,2.074409052721106e-05,1.0,0.0,0.9999792559094728,17,True
0,codeql,CWE-670,0,0,192835,8,,0.9999585154763201,0.0,1.0,0.0,1.0,8,False
0,codeql,CWE-704,0,77,192414,352,0.0,0.9981739518379797,0.0004000187021730886,1.0,0.0,0.9995999812978269,352,True
0,codeql,CWE-705,0,0,192632,211,,0.998905845687943,0.0,1.0,0.0,1.0,211,False
0,codeql,CWE-706,0,2,192195,646,0.0,0.9966500899704939,1.040598968766422e-05,1.0,0.0,0.9999895940103123,646,True
0,codeql,CWE-754,2,55,192655,131,0.03508771929824561,0.9993204900770802,0.0002854029370556795,0.9849624060150376,0.015037593984962405,0.9997145970629443,133,True
0,codeql,CWE-834,2,33,192529,279,0.05714285714285714,0.9985529646072777,0.0001713733758477789,0.9928825622775801,0.0071174377224199285,0.9998286266241522,281,True
0,codeql,CWE-1164,0,4668,188116,59,0.0,0.9996864620698818,0.024213627686944975,1.0,0.0,0.975786372313055,59,True
0,cppcheck,CWE-20,0,0,191302,1541,,0.9920090436261623,0.0,1.0,0.0,1.0,1541,False
0,cppcheck,CWE-74,0,0,192093,750,,0.9961108259050108,0.0,1.0,0.0,1.0,750,False
0,cppcheck,CWE-118,55,81,184294,8413,0.40441176470588236,0.9563430492924492,0.0004393220338983051,0.9935049598488427,0.006495040151157298,0.9995606779661017,8468,True
0,cppcheck,CWE-131,0,11,192816,16,0.0,0.9999170262197146,5.7045953108226545e-05,1.0,0.0,0.9999429540468918,16,True
0,cppcheck,CWE-190,4,50,191668,1121,0.07407407407407407,0.994185352898765,0.0002607997162499087,0.9964444444444445,0.0035555555555555557,0.9997392002837501,1125,True
0,cppcheck,CWE-191,0,0,192709,134,,0.999305134228362,0.0,1.0,0.0,1.0,134,False
0,cppcheck,CWE-269,0,0,192750,93,,0.9995177424122214,0.0,1.0,0.0,1.0,93,False
0,cppcheck,CWE-285,0,0,192616,227,,0.9988228766405832,0.0,1.0,0.0,1.0,227,False
0,cppcheck,CWE-287,0,0,192588,255,,0.9986776808077037,0.0,1.0,0.0,1.0,255,False
0,cppcheck,CWE-311,0,0,192810,33,,0.9998288763398204,0.0,1.0,0.0,1.0,33,False
0,cppcheck,CWE-327,0,0,192825,18,,0.9999066598217202,0.0,1.0,0.0,1.0,18,False
0,cppcheck,CWE-369,1,12,192611,219,0.07692307692307693,0.9988642846030182,6.229785643458985e-05,0.9954545454545455,0.004545454545454545,0.9999377021435654,220,True
0,cppcheck,CWE-400,0,1,192380,462,0.0,0.997604256334201,5.198018515341952e-06,1.0,0.0,0.9999948019814846,462,True
0,cppcheck,CWE-404,1,185,191676,981,0.005376344086021506,0.9949080490197605,0.0009642397360589177,0.9989816700610998,0.0010183299389002036,0.999035760263941,982,True
0,cppcheck,CWE-476,22,332,191164,1325,0.062146892655367235,0.9931164897734416,0.0017337176755650248,0.9836674090571641,0.016332590942835932,0.9982662823244349,1347,True
0,cppcheck,CWE-573,0,284,192516,43,0.0,0.9997766918191308,0.0014730290456431536,1.0,0.0,0.9985269709543568,43,True
0,cppcheck,CWE-662,0,0,192207,636,,0.9967019803674492,0.0,1.0,0.0,1.0,636,False
0,cppcheck,CWE-665,3,362,192368,110,0.00821917808219178,0.9994285061149846,0.001878275307424895,0.9734513274336283,0.02654867256637168,0.9981217246925751,113,True
0,cppcheck,CWE-666,0,0,192820,23,,0.9998807319944203,0.0,1.0,0.0,1.0,23,False
0,cppcheck,CWE-668,0,0,191752,1091,,0.9943425480831557,0.0,1.0,0.0,1.0,1091,False
0,cppcheck,CWE-669,0,0,192826,17,,0.9999118453871803,0.0,1.0,0.0,1.0,17,False
0,cppcheck,CWE-670,0,0,192835,8,,0.9999585154763201,0.0,1.0,0.0,1.0,8,False
0,cppcheck,CWE-704,0,12,192479,352,0.0,0.9981745673672802,6.234057696203978e-05,1.0,0.0,0.9999376594230379,352,True
0,cppcheck,CWE-705,0,0,192632,211,,0.998905845687943,0.0,1.0,0.0,1.0,211,False
0,cppcheck,CWE-706,0,0,192197,646,,0.9966501247128493,0.0,1.0,0.0,1.0,646,False
0,cppcheck,CWE-754,0,65,192645,133,0.0,0.9993100872506199,0.0003372943801567122,1.0,0.0,0.9996627056198433,133,True
0,cppcheck,CWE-834,0,0,192562,281,,0.998542856105744,0.0,1.0,0.0,1.0,281,False
0,cppcheck,CWE-1164,0,0,192784,59,,0.9996940516378608,0.0,1.0,0.0,1.0,59,False
0,flawfinder,CWE-20,110,2528,188774,1431,0.04169825625473844,0.992476538471649,0.013214707635048248,0.9286177806619078,0.07138221933809215,0.9867852923649517,1541,True
0,flawfinder,CWE-74,187,342,191751,563,0.3534971644612476,0.9970724960221304,0.0017803876247442646,0.7506666666666667,0.24933333333333332,0.9982196123752557,750,True
0,flawfinder,CWE-118,3191,10428,173947,5277,0.23430501505250018,0.9705563986966032,0.05655864406779661,0.6231695795937647,0.3768304204062352,0.9434413559322034,8468,True
0,flawfinder,CWE-131,0,0,192827,16,,0.9999170309526403,0.0,1.0,0.0,1.0,16,False
0,flawfinder,CWE-190,51,852,190866,1074,0.05647840531561462,0.9944045014066896,0.004444027164898444,0.9546666666666667,0.04533333333333334,0.9955559728351016,1125,True
0,flawfinder,CWE-191,0,0,192709,134,,0.999305134228362,0.0,1.0,0.0,1.0,134,False
0,flawfinder,CWE-269,0,32,192718,93,0.0,0.9995176623740347,0.00016601815823605708,1.0,0.0,0.999833981841764,93,True
0,flawfinder,CWE-285,0,118,192498,227,0.0,0.99882215592165,0.0006126178510611788,1.0,0.0,0.9993873821489389,227,True
0,flawfinder,CWE-287,0,0,192588,255,,0.9986776808077037,0.0,1.0,0.0,1.0,255,False
0,flawfinder,CWE-311,0,0,192810,33,,0.9998288763398204,0.0,1.0,0.0,1.0,33,False
0,flawfinder,CWE-327,0,181,192644,18,0.0,0.9999065721315049,0.0009386749643459095,1.0,0.0,0.999061325035654,18,True
0,flawfinder,CWE-369,0,0,192623,220,,0.9988591755988032,0.0,1.0,0.0,1.0,220,False
0,flawfinder,CWE-400,0,16,192365,462,0.0,0.9976040699694545,8.316829624547123e-05,1.0,0.0,0.9999168317037546,462,True
0,flawfinder,CWE-404,0,0,191861,982,,0.9949077747182942,0.0,1.0,0.0,1.0,982,False
0,flawfinder,CWE-476,0,0,191496,1347,,0.9930150433253995,0.0,1.0,0.0,1.0,1347,False
