cwe,family,level
CWE-14,CWE-1038,pillar_child
CWE-15,CWE-668,pillar_child
CWE-20,CWE-20,pillar_child
CWE-22,CWE-706,pillar_child
CWE-23,CWE-706,pillar_child
CWE-36,CWE-706,pillar_child
CWE-59,CWE-706,pillar_child
CWE-61,CWE-706,pillar_child
CWE-73,CWE-668,pillar_child
CWE-74,CWE-74,pillar_child
CWE-77,CWE-74,pillar_child
CWE-78,CWE-74,pillar_child
CWE-79,CWE-74,pillar_child
CWE-88,CWE-74,pillar_child
CWE-89,CWE-74,pillar_child
CWE-90,CWE-74,pillar_child
CWE-93,CWE-74,pillar_child
CWE-94,CWE-74,pillar_child
CWE-96,CWE-74,pillar_child
CWE-113,CWE-74,pillar_child
CWE-114,CWE-668,pillar_child
CWE-116,CWE-116,pillar_child
CWE-119,CWE-118,pillar_child
CWE-120,CWE-118,pillar_child
CWE-121,CWE-118,pillar_child
CWE-122,CWE-118,pillar_child
CWE-123,CWE-118,pillar_child
CWE-124,CWE-118,pillar_child
CWE-125,CWE-118,pillar_child
CWE-126,CWE-118,pillar_child
CWE-127,CWE-118,pillar_child
CWE-128,CWE-128,pillar_child
CWE-129,CWE-20,pillar_child
CWE-131,CWE-131,pillar_child
CWE-134,CWE-668,pillar_child
CWE-170,CWE-170,pillar_child
CWE-172,CWE-172,pillar_child
CWE-176,CWE-172,pillar_child
CWE-182,CWE-182,pillar_child
CWE-190,CWE-190,pillar_child
CWE-191,CWE-191,pillar_child
CWE-193,CWE-193,pillar_child
CWE-194,CWE-704,pillar_child
CWE-195,CWE-704,pillar_child
CWE-197,CWE-704,pillar_child
CWE-200,CWE-668,pillar_child
CWE-203,CWE-668,pillar_child
CWE-208,CWE-668,pillar_child
CWE-209,CWE-668,pillar_child
CWE-212,CWE-669,pillar_child
CWE-241,CWE-228,pillar_child
CWE-242,CWE-1177,pillar_child
CWE-243,CWE-669,pillar_child
CWE-248,CWE-705,pillar_child
CWE-250,CWE-269,pillar_child
CWE-252,CWE-754,pillar_child
CWE-253,CWE-573,pillar_child
CWE-256,CWE-287,pillar_child
CWE-259,CWE-287,pillar_child
CWE-260,CWE-287,pillar_child
CWE-264,,pillar_child
CWE-269,CWE-269,pillar_child
CWE-273,CWE-754,pillar_child
CWE-276,CWE-285,pillar_child
CWE-281,CWE-285,pillar_child
CWE-284,,pillar_child
CWE-285,CWE-285,pillar_child
CWE-287,CWE-287,pillar_child
CWE-288,CWE-287,pillar_child
CWE-290,CWE-287,pillar_child
CWE-294,CWE-287,pillar_child
CWE-295,CWE-287,pillar_child
CWE-303,CWE-287,pillar_child
CWE-307,CWE-287,pillar_child
CWE-311,CWE-311,pillar_child
CWE-312,CWE-311,pillar_child
CWE-313,CWE-311,pillar_child
CWE-319,CWE-311,pillar_child
CWE-321,CWE-287,pillar_child
CWE-323,CWE-330,pillar_child
CWE-325,CWE-327,pillar_child
CWE-326,CWE-326,pillar_child
CWE-327,CWE-327,pillar_child
CWE-330,CWE-330,pillar_child
CWE-331,CWE-330,pillar_child
CWE-335,CWE-330,pillar_child
CWE-337,CWE-330,pillar_child
CWE-345,CWE-345,pillar_child
CWE-346,CWE-345,pillar_child
CWE-347,CWE-345,pillar_child
CWE-349,CWE-345,pillar_child
CWE-352,CWE-345,pillar_child
CWE-354,CWE-345,pillar_child
CWE-358,CWE-573,pillar_child
CWE-359,CWE-668,pillar_child
CWE-362,CWE-662,pillar_child
CWE-367,CWE-662,pillar_child
CWE-369,CWE-369,pillar_child
CWE-377,CWE-668,pillar_child
CWE-384,CWE-610,pillar_child
CWE-391,CWE-754,pillar_child
CWE-398,,pillar_child
CWE-400,CWE-400,pillar_child
CWE-401,CWE-404,pillar_child
CWE-404,CWE-404,pillar_child
CWE-405,CWE-400,pillar_child
CWE-407,CWE-400,pillar_child
CWE-415,CWE-118,pillar_child
CWE-416,CWE-118,pillar_child
CWE-426,CWE-668,pillar_child
CWE-427,CWE-668,pillar_child
CWE-428,CWE-668,pillar_child
CWE-434,CWE-669,pillar_child
CWE-436,CWE-436,pillar_child
CWE-441,CWE-610,pillar_child
CWE-444,CWE-436,pillar_child
