strategy,n_families,precision_macro,precision_median,precision_weighted,recall_macro,recall_median,recall_weighted,specificity_macro,specificity_median,specificity_weighted,npv_macro,npv_median,npv_weighted,fpr_macro,fpr_median,fpr_weighted,fnr_macro,fnr_median,fnr_weighted,f1_macro,f1_median,f1_weighted,f2_macro,f2_median,f2_weighted,mcc_macro,mcc_median,mcc_weighted,accuracy_macro,accuracy_median,accuracy_weighted,balanced_accuracy_macro,balanced_accuracy_median,balanced_accuracy_weighted,roc_auc_macro,roc_auc_median,roc_auc_weighted,pr_auc_macro,pr_auc_median,pr_auc_weighted
tool:codeql,28,0.07210422908595929,0.008465608465608464,0.2118756029494417,0.005171575395588304,0.0,0.0056059075555783214,0.9989404449815212,0.9999187878624631,0.9994381810807877,0.9964463774162778,0.9988628956122854,0.9782696446690781,0.0010595550184788138,8.12121375369471e-05,0.0005618189192124573,0.9948284246044116,1.0,0.9943940924444217,0.04305035590065527,0.01834862385321101,0.01658030734602146,0.0392800549407308,0.013404825737265416,0.01135298636960094,0.014506791265475272,0.0024313426837014726,0.03141202454929378,0.9953914090038507,0.9985293894779645,0.9777440708889401,0.5020560101885548,0.5,0.5025220443181829,0.5020560101885548,0.5,0.5025220443181829,0.0052973736084297495,0.002369652339716275,0.024062851624033172
tool:cppcheck,28,0.056386064212371495,0.004166666666666667,0.26516043853106697,0.0018140069419634224,0.0,0.004313801875477763,0.9997471864422879,1.0,0.999610416549217,0.9964425415810269,0.9988467101089233,0.9782323229842712,0.0002528135577121486,0.0,0.00038958345078294704,0.9981859930580367,1.0,0.9956861981245222,0.018736477050194593,0.017250857586859222,0.013703266403289362,0.015937117622695667,0.012073401791639519,0.009197316849717106,0.010525524954125266,-7.298805818561151e-05,0.03362797841954905,0.9961929426893004,0.9986102819026086,0.9778670458516784,0.5007805966921256,0.5,0.5019621092123474,0.5007805966921256,0.5,0.5019621092123474,0.0038080079967997165,0.0013569038689016729,0.023719413389023048
tool:flawfinder,28,0.06042729169195529,0.00827448892270082,0.1608432387791186,0.03545758405841437,0.0,0.19570293252629334,0.9961767205344189,1.0,0.9723908012003534,0.9970440937474098,0.9988443293135889,0.9845531131907688,0.0038232794655811944,0.0,0.02760919879964659,0.9645424159415857,1.0,0.8042970674737067,0.11438425007799172,0.05280985355302017,0.20376508053574585,0.1254526691670046,0.06005117484792312,0.23452203633917756,0.0582982436433309,0.005847493722917351,0.17117549520519018,0.9934031304796183,0.9987554769872278,0.9589789859751254,0.5158171522964166,0.5,0.5840468668633233,0.5158171522964166,0.5,0.5840468668633233,0.009101190279039191,0.0011882153746965427,0.060542007324057186
tool:ikos,28,0.19835161109077037,0.09318181818181819,0.42328834787259645,0.0018162836707793695,0.0,0.007551153396975138,0.9998911768283882,1.0,0.9997297433176793,0.9964541299656439,0.9988467355844015,0.978340312764552,0.0001088231716117191,0.0,0.0002702566823206389,0.9981837163292206,1.0,0.9924488466030249,0.03119027314750142,0.029752610144763294,0.02577344572293314,0.020192321982433852,0.0192886330927593,0.016523611403848715,0.03810160762379951,0.02362824324752439,0.06593797777846734,0.9963480639986263,0.9987513273082997,0.9780992509221446,0.5008537302495838,0.5,0.5036404483573272,0.5008537302495838,0.5,0.5036404483573272,0.004388605388752279,0.001254389362218692,0.0256821933202372
tool:joern,28,0.07845974986988773,0.0,0.2158254813858528,0.0003947634793170929,0.0,0.004854167531012737,0.9999299691071762,1.0,0.9992666147045317,0.9964430536344512,0.9988446660157254,0.9782864247552429,7.00308928237634e-05,0.0,0.0007333852954681148,0.9996052365206829,1.0,0.9951458324689872,0.021111725178810735,0.021111725178810735,0.021111725178810735,0.013655796235396927,0.013655796235396927,0.013655796235396925,0.013786151384324034,-6.172974650544069e-05,0.03885476640629734,0.996378879169031,0.9988446660157254,0.9776241566015619,0.5001623662932466,0.5,0.5020603911177722,0.5001623662932466,0.5,0.5020603911177722,0.003538184130553633,0.0011882947933283664,0.02303849008768029
tool:semgrep,28,0.12182926038330268,0.05,0.2842066858608654,0.00029608805842019963,0.0,0.003360547126883268,0.9999685934451742,1.0,0.9996689555779446,0.9964393159510204,0.9988446660157254,0.9782387101215821,3.1406554825780477e-05,0.0,0.00033104442205545044,0.9997039119415797,1.0,0.9966394528731167,0.01098786692366593,0.01098786692366593,0.013895349020460952,0.006976025647582752,0.006976025647582752,0.008838886695113464,0.0160385219984981,0.0052258950885385935,0.038509918625357305,0.9964107331033905,0.9988446660157254,0.9779418355207266,0.5001323407517972,0.5,0.5015147513524139,0.5001323407517972,0.5,0.5015147513524139,0.003542717354926852,0.0011882947933283664,0.022998993970654844
or_1_of_6,28,0.07450012672121627,0.007062178588125292,0.1506203151005716,0.0424460216676067,0.0026988636363636364,0.20450178996711546,0.9948610965789815,0.999460069969597,0.9717726801836115,0.9970742877218043,0.9988667202334035,0.9847829858565759,0.005138903421018309,0.000539930030403069,0.0282273198163884,0.9575539783323934,0.9973011363636364,0.7954982100328845,0.0654751549144684,0.03636363636363636,0.16900396227841985,0.07111744590680805,0.030935652242918433,0.19354313656242428,0.037537875170230425,0.0064874618701243674,0.14494689682446452,0.9921211235801698,0.9980212197167551,0.9586018546749703,0.5186535591232942,0.5012320267347192,0.5881372350753634,0.5186535591232942,0.5012320267347192,0.5881372350753634,0.009960149073351398,0.0023404694342177967,0.062050051014116286
traditional_2_of_6,28,0.05664531896793457,0.025,0.18681379890426378,0.0022141119093438385,0.0,0.013318699466753863,0.9998094023424372,1.0,0.9985289604035557,0.996469725206632,0.9988446270778877,0.9785675269829809,0.00019059765756279193,0.0,0.0014710395964443268,0.9977858880906562,1.0,0.9866813005332461,0.03164079950409052,0.015102820935105449,0.03745428840870267,0.02396965697103297,0.010086209480228994,0.02515885136487561,0.014953158472151512,0.008411881693553622,0.049049680708098335,0.9962911709232635,0.9988114791703808,0.9772345785773013,0.5010117571258905,0.5,0.5059238299351547,0.5186619968748103,0.5012320267347192,0.5882243305604353,0.010838882219006255,0.0025245295457552667,0.06580641385243773
weighted_fire_specificity_silence_sensitivity_tau_0_1,28,0.04070099116985682,0.007062178588125292,0.13896653250433105,0.042204544394879424,0.0019510309667104093,0.20441909326395138,0.9948619864180257,0.999460069969597,0.9717729303217383,0.9970739926349148,0.9988646550986523,0.9847828843126938,0.005138013581974134,0.000539930030403069,0.028227069678261753,0.9577954556051207,0.9980489690332895,0.7955809067360485,0.0677452988804423,0.037273959702987414,0.17099154616357606,0.07436469120385011,0.03506814688927194,0.19602493036785323,0.035191145938806186,0.0064874618701243674,0.14514754841214247,0.9921217162070032,0.9980212197167551,0.9586020023475403,0.5185332654064526,0.5007311597507182,0.5880960117928448,0.5185339609882054,0.5007311597507182,0.5880815013789263,0.010798260745990445,0.0021419918953719166,0.06592251053894672
weighted_fire_specificity_silence_sensitivity_tau_0_2,28,0.04070099116985682,0.007062178588125292,0.13896653250433105,0.042204544394879424,0.0019510309667104093,0.20441909326395138,0.9948619864180257,0.999460069969597,0.9717729303217383,0.9970739926349148,0.9988646550986523,0.9847828843126938,0.005138013581974134,0.000539930030403069,0.028227069678261753,0.9577954556051207,0.9980489690332895,0.7955809067360485,0.0677452988804423,0.037273959702987414,0.17099154616357606,0.07436469120385011,0.03506814688927194,0.19602493036785323,0.035191145938806186,0.0064874618701243674,0.14514754841214247,0.9921217162070032,0.9980212197167551,0.9586020023475403,0.5185332654064526,0.5007311597507182,0.5880960117928448,0.5185339609882054,0.5007311597507182,0.5880815013789263,0.010798260745990445,0.0021419918953719166,0.06592251053894672
