fold,strategy,family,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc
0,tool:codeql,CWE-20,2,46,47782,383,48213,385,47828,0.041666666666666664,0.005194805194805195,0.9990382202893703,0.9920481677566698,0.0009617797106297566,0.9948051948051948,0.9911019849418207,0.5021165127420877,0.009237875288683603,0.006297229219143577,0.011946369879956776,0.5021165127420877,0.010488163349152695
0,tool:codeql,CWE-74,0,0,48025,188,48213,188,48025,,0.0,1.0,0.996100636757721,0.0,1.0,0.996100636757721,0.5,,,,0.5,0.0024120552526767703
0,tool:codeql,CWE-118,23,35,46061,2094,48213,2117,46096,0.39655172413793105,0.01086443079829948,0.9992407150295036,0.9565154189596096,0.0007592849704963554,0.9891355692017005,0.955841785410574,0.5050525729139016,0.021149425287356322,0.013488153882242553,0.05973102182288933,0.5050525729139016,0.04851354188608522
0,tool:codeql,CWE-131,0,1,48208,4,48213,4,48209,0.0,0.0,0.9999792569852103,0.9999170331037915,2.0743014789769545e-05,1.0,0.9998962935307905,0.49998962849260514,,,-4.148473882179304e-05,0.49998962849260514,0.00013844010189100278
0,tool:codeql,CWE-190,1,26,47906,280,48213,281,47932,0.037037037037037035,0.0035587188612099642,0.9994575648835851,0.9941891835802931,0.0005424351164149212,0.99644128113879,0.9936531640843755,0.5015081418723976,0.006493506493506492,0.004344048653344918,0.009705006010273076,0.5015081418723976,0.005630938984197787
0,tool:codeql,CWE-191,0,5,48175,33,48213,33,48180,0.0,0.0,0.9998962224989623,0.9993154663126452,0.00010377750103777501,1.0,0.9992118308340074,0.49994811124948113,,,-0.00026653179069269445,0.49994811124948113,0.0003681103014277632
0,tool:codeql,CWE-269,0,0,48189,24,48213,24,48189,,0.0,1.0,0.9995022089477942,0.0,1.0,0.9995022089477942,0.5,,,,0.5,0.0006125572752626294
0,tool:codeql,CWE-285,1,36,48121,55,48213,56,48157,0.02702702702702703,0.017857142857142856,0.9992524451273959,0.998858352706742,0.0007475548726041905,0.9821428571428571,0.9981125422603861,0.5085547939922693,0.021505376344086023,0.019157088122605363,0.021044908697072418,0.5085547939922693,0.0017820725541429297
0,tool:codeql,CWE-287,0,0,48149,64,48213,64,48149,,0.0,1.0,0.9986725571941177,0.0,1.0,0.9986725571941177,0.5,,,,0.5,0.0013881035405695185
0,tool:codeql,CWE-311,0,0,48205,8,48213,8,48205,,0.0,1.0,0.9998340696492647,0.0,1.0,0.9998340696492647,0.5,,,,0.5,0.00015935985131683848
0,tool:codeql,CWE-327,0,5,48204,4,48213,4,48209,0.0,0.0,0.9998962849260512,0.9999170262197146,0.00010371507394884773,1.0,0.9998133283554228,0.4999481424630256,,,-9.276654439030698e-05,0.4999481424630256,5.6681071232143395e-05
0,tool:codeql,CWE-369,0,0,48159,54,48213,54,48159,,0.0,1.0,0.9988799701325368,0.0,1.0,0.9988799701325368,0.5,,,,0.5,0.0011903001377896777
0,tool:codeql,CWE-400,0,3,48094,116,48213,116,48097,0.0,0.0,0.9999376260473626,0.9975938601949803,6.237395263737863e-05,1.0,0.9975317860328127,0.4999688130236813,,,-0.00038740218150806863,0.4999688130236813,0.0023579189687068926
0,tool:codeql,CWE-404,0,19,47949,245,48213,245,47968,0.0,0.0,0.9996039026017345,0.9949163796323194,0.00039609739826551035,1.0,0.9945242984257358,0.49980195130086724,,,-0.0014190168432431846,0.49980195130086724,0.0032638371199394645
0,tool:codeql,CWE-476,0,0,47877,336,48213,336,47877,,0.0,1.0,0.9930309252691183,0.0,1.0,0.9930309252691183,0.5,,,,0.5,0.008100644137399504
0,tool:codeql,CWE-573,0,2,48200,11,48213,11,48202,0.0,0.0,0.9999585079457284,0.9997718363029184,4.1492054271606986e-05,1.0,0.9997303631800551,0.4999792539728642,,,-9.729840955596021e-05,0.4999792539728642,0.00021956690924567715
0,tool:codeql,CWE-662,1,11,48043,158,48213,159,48054,0.08333333333333333,0.006289308176100629,0.9997710908561201,0.9967220597083049,0.00022890914387980189,0.9937106918238994,0.9964947213407173,0.5030301995161104,0.011695906432748539,0.007716049382716049,0.022026520980708727,0.5030301995161104,0.009846691248082684
0,tool:codeql,CWE-665,0,12,48173,28,48213,28,48185,0.0,0.0,0.9997509598422746,0.9994190991888136,0.0002490401577254332,1.0,0.9991703482463236,0.4998754799211373,,,-0.00038035198124988854,0.4998754799211373,0.0005370068570243982
0,tool:codeql,CWE-666,0,2,48205,6,48213,6,48207,0.0,0.0,0.9999585122492584,0.9998755470743191,4.148775074159354e-05,1.0,0.9998340696492647,0.4999792561246292,,,-7.185591109790228e-05,0.4999792561246292,0.00020254404000638683
0,tool:codeql,CWE-668,0,1,47939,273,48213,273,47940,0.0,0.0,0.9999791405924072,0.9943375093337758,2.0859407592824365e-05,1.0,0.9943168854873167,0.4999895702962036,,,-0.00034368037592701404,0.4999895702962036,0.0046671626635311145
0,tool:codeql,CWE-669,0,3,48206,4,48213,4,48209,0.0,0.0,0.9999377709556307,0.9999170296618959,6.222904436930863e-05,1.0,0.9998548109431066,0.4999688854778154,,,-7.185516579354825e-05,0.4999688854778154,0.00021067161669670518
0,tool:codeql,CWE-670,0,1,48210,2,48213,2,48211,0.0,0.0,0.9999792578457198,0.9999585165518958,2.0742154280143537e-05,1.0,0.9999377761184742,0.4999896289228599,,,-2.9333531677071847e-05,0.4999896289228599,6.131989831517867e-05
0,tool:codeql,CWE-704,1,20,48105,87,48213,88,48125,0.047619047619047616,0.011363636363636364,0.9995844155844156,0.9981947211155379,0.0004155844155844156,0.9886363636363636,0.9977806815589156,0.505474025974026,0.01834862385321101,0.013404825737265416,0.022395792462922132,0.505474025974026,0.003988219646847035
0,tool:codeql,CWE-705,0,0,48160,53,48213,53,48160,,0.0,1.0,0.9989007114263788,0.0,1.0,0.9989007114263788,0.5,,,,0.5,0.0012175650597967855
0,tool:codeql,CWE-706,0,1,48051,161,48213,161,48052,0.0,0.0,0.9999791892116874,0.9966605824276114,2.0810788312661285e-05,1.0,0.9966399103976106,0.4999895946058437,,,-0.00026362077343517664,0.4999895946058437,0.0021394426043865366
0,tool:codeql,CWE-754,0,12,48167,34,48213,34,48179,0.0,0.0,0.9997509288279126,0.9992946204435592,0.00024907117208742397,1.0,0.9990459004832721,0.4998754644139563,,,-0.0004191535671913121,0.4998754644139563,0.0005349383076045889
0,tool:codeql,CWE-834,1,10,48133,69,48213,70,48143,0.09090909090909091,0.014285714285714285,0.9997922854828324,0.9985685241276295,0.00020771451716760484,0.9857142857142858,0.9983614377864891,0.5070389998842734,0.024691358024691357,0.01718213058419244,0.03549177149392602,0.5070389998842734,0.0029604864166199963
0,tool:codeql,CWE-1164,0,1117,47081,15,48213,15,48198,0.0,0.0,0.9768247645130503,0.9996815016137252,0.023175235486949667,1.0,0.976520855370958,0.48841238225652517,,,-0.002716850217463771,0.48841238225652517,0.00016883441948140464
0,tool:cppcheck,CWE-20,0,0,47828,385,48213,385,47828,,0.0,1.0,0.9920146018708647,0.0,1.0,0.9920146018708647,0.5,,,,0.5,0.008797609151159985
0,tool:cppcheck,CWE-74,0,0,48025,188,48213,188,48025,,0.0,1.0,0.996100636757721,0.0,1.0,0.996100636757721,0.5,,,,0.5,0.0024120552526767703
0,tool:cppcheck,CWE-118,14,20,46076,2103,48213,2117,46096,0.4117647058823529,0.006613131790269249,0.999566122874002,0.956350277091679,0.0004338771259979174,0.9933868682097308,0.9559662331736254,0.5030896273321357,0.01301720130172013,0.008233356857210068,0.0476935658714092,0.5030896273321357,0.04755725776849114
0,tool:cppcheck,CWE-131,0,5,48204,4,48213,4,48209,0.0,0.0,0.9998962849260512,0.9999170262197146,0.00010371507394884773,1.0,0.9998133283554228,0.4999481424630256,,,-9.276654439030698e-05,0.4999481424630256,0.00013841023970659685
0,tool:cppcheck,CWE-190,3,20,47912,278,48213,281,47932,0.13043478260869565,0.010676156583629894,0.9995827422181424,0.9942311682921768,0.0004172577818576316,0.9893238434163701,0.9938190944351109,0.5051294494008861,0.01973684210526316,0.013077593722755014,0.03576220594872134,0.5051294494008861,0.00666414877191968
0,tool:cppcheck,CWE-191,0,0,48180,33,48213,33,48180,,0.0,1.0,0.999315537303217,0.0,1.0,0.999315537303217,0.5,,,,0.5,0.0003681124155674978
0,tool:cppcheck,CWE-269,0,0,48189,24,48213,24,48189,,0.0,1.0,0.9995022089477942,0.0,1.0,0.9995022089477942,0.5,,,,0.5,0.0006125572752626294
0,tool:cppcheck,CWE-285,0,0,48157,56,48213,56,48157,,0.0,1.0,0.998838487544853,0.0,1.0,0.998838487544853,0.5,,,,0.5,0.0011582123073866962
