strategy,base_strategy,tau,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
weighted_fire_specificity_silence_sensitivity_tau_0_1,weighted_fire_specificity_silence_sensitivity,0.1,2131.0,2283.0,40995.8,2801.4,48211.2,4932.4,43278.8,0.4827924956918605,0.43203461173843544,0.9472489889415685,0.9360376184206292,0.05275101105843144,0.5679653882615645,0.8945389483001867,0.689641800340002,0.4559860570638058,0.4413027866214329,0.3985598030826576,0.6899967466273672,0.28792113208459463,0.46211625560431885
weighted_fire_specificity_silence_sensitivity_tau_0_2,weighted_fire_specificity_silence_sensitivity,0.2,2131.0,2283.0,40995.8,2801.4,48211.2,4932.4,43278.8,0.4827924956918605,0.43203461173843544,0.9472489889415685,0.9360376184206292,0.05275101105843144,0.5679653882615645,0.8945389483001867,0.689641800340002,0.4559860570638058,0.4413027866214329,0.3985598030826576,0.6899967466273672,0.28792113208459463,0.46211625560431885
weighted_fire_specificity_silence_sensitivity_tau_0_3,weighted_fire_specificity_silence_sensitivity,0.3,2131.0,2283.0,40995.8,2801.4,48211.2,4932.4,43278.8,0.4827924956918605,0.43203461173843544,0.9472489889415685,0.9360376184206292,0.05275101105843144,0.5679653882615645,0.8945389483001867,0.689641800340002,0.4559860570638058,0.4413027866214329,0.3985598030826576,0.6899967466273672,0.28792113208459463,0.46211625560431885
weighted_fire_specificity_silence_sensitivity_tau_0_4,weighted_fire_specificity_silence_sensitivity,0.4,2131.0,2283.0,40995.8,2801.4,48211.2,4932.4,43278.8,0.4827924956918605,0.43203461173843544,0.9472489889415685,0.9360376184206292,0.05275101105843144,0.5679653882615645,0.8945389483001867,0.689641800340002,0.4559860570638058,0.4413027866214329,0.3985598030826576,0.6899967466273672,0.28792113208459463,0.46211625560431885
weighted_fire_specificity_silence_sensitivity_tau_0_5,weighted_fire_specificity_silence_sensitivity,0.5,2131.0,2283.0,40995.8,2801.4,48211.2,4932.4,43278.8,0.4827924956918605,0.43203461173843544,0.9472489889415685,0.9360376184206292,0.05275101105843144,0.5679653882615645,0.8945389483001867,0.689641800340002,0.4559860570638058,0.4413027866214329,0.3985598030826576,0.6899967466273672,0.28792113208459463,0.46211625560431885
weighted_fire_specificity_silence_sensitivity_tau_0_6,weighted_fire_specificity_silence_sensitivity,0.6,2131.0,2283.0,40995.8,2801.4,48211.2,4932.4,43278.8,0.4827924956918605,0.43203461173843544,0.9472489889415685,0.9360376184206292,0.05275101105843144,0.5679653882615645,0.8945389483001867,0.689641800340002,0.4559860570638058,0.4413027866214329,0.3985598030826576,0.6899967466273672,0.28792113208459463,0.46211625560431885
weighted_fire_specificity_silence_sensitivity_tau_0_7,weighted_fire_specificity_silence_sensitivity,0.7,2131.0,2283.0,40995.8,2801.4,48211.2,4932.4,43278.8,0.4827924956918605,0.43203461173843544,0.9472489889415685,0.9360376184206292,0.05275101105843144,0.5679653882615645,0.8945389483001867,0.689641800340002,0.4559860570638058,0.4413027866214329,0.3985598030826576,0.6899967466273672,0.28792113208459463,0.46211625560431885
weighted_fire_specificity_silence_sensitivity_tau_0_8,weighted_fire_specificity_silence_sensitivity,0.8,2125.4,2274.6,41004.2,2807.0,48211.2,4932.4,43278.8,0.4830589248945622,0.43089854047159387,0.9474430848666818,0.9359301842088215,0.0525569151333181,0.5691014595284061,0.8945970153218591,0.6891708126691378,0.45547128470132014,0.4403985612463412,0.39814023004674565,0.6899967466273672,0.28792113208459463,0.4539253649142202
weighted_fire_specificity_silence_sensitivity_tau_0_9,weighted_fire_specificity_silence_sensitivity,0.9,2124.2,2274.4,41004.4,2808.2,48211.2,4932.4,43278.8,0.48293837006488693,0.43065496679414983,0.9474477057252374,0.9359048681377289,0.05255229427476259,0.5693450332058502,0.8945762746299973,0.6890513362596936,0.45528129716875015,0.44017478662256976,0.3979450820431465,0.6899967466273672,0.28792113208459463,0.45324071917928677
dst_dempster_fire_specificity_silence_sensitivity_tau_0_1,dst_dempster_fire_specificity_silence_sensitivity,0.1,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.1023081521020742,1.0,0.0,,1.0,0.0,0.1023081521020742,0.5,0.18562524341324693,0.36299205435750653,,0.6905250267549302,0.3104130154788404,0.9612828075749359
dst_dempster_fire_specificity_silence_sensitivity_tau_0_2,dst_dempster_fire_specificity_silence_sensitivity,0.2,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.1023081521020742,1.0,0.0,,1.0,0.0,0.1023081521020742,0.5,0.18562524341324693,0.36299205435750653,,0.6905250267549302,0.3104130154788404,0.9612828075749359
dst_dempster_fire_specificity_silence_sensitivity_tau_0_3,dst_dempster_fire_specificity_silence_sensitivity,0.3,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.1023081521020742,1.0,0.0,,1.0,0.0,0.1023081521020742,0.5,0.18562524341324693,0.36299205435750653,,0.6905250267549302,0.3104130154788404,0.7536788116597002
