tools,n_tools,count
∅ (missed),0,19174
flawfinder,1,4413
ikos,1,115
flawfinder+joern,2,65
flawfinder+semgrep,2,55
codeql+flawfinder,2,51
flawfinder+ikos,2,40
cppcheck,1,34
codeql+cppcheck+flawfinder,3,30
cppcheck+flawfinder,2,28
codeql,1,23
joern,1,15
flawfinder+joern+semgrep,3,9
semgrep,1,8
codeql+flawfinder+joern,3,8
codeql+flawfinder+ikos+joern,4,7
codeql+flawfinder+ikos,3,7
cppcheck+ikos,2,4
ikos+joern,2,4
codeql+cppcheck+ikos+joern+semgrep,5,3
codeql+cppcheck,2,2
codeql+semgrep,2,1
flawfinder+ikos+joern+semgrep,4,1
codeql+cppcheck+flawfinder+joern,4,1
joern+semgrep,2,1
ikos+joern+semgrep,3,1
codeql+cppcheck+joern+semgrep,4,1
cppcheck+flawfinder+joern,3,1
codeql+flawfinder+semgrep,3,1
