tool_a,tool_b,double_fault,disagreement,q_statistic
codeql,cppcheck,0.014771722614471154,0.005427729194730867,0.9993657155637249
codeql,flawfinder,0.012257334453028224,0.022049534185582042,0.9825012001586653
codeql,ikos,0.014684297756752031,0.004957974501493611,0.9996951687223788
codeql,joern,0.014721853505490528,0.0047548040574984666,0.9998001586040149
codeql,semgrep,0.014712002817296824,0.004642136811282978,0.9998749852566488
cppcheck,flawfinder,0.011975974171495556,0.019281490803151235,0.9898217141925262
cppcheck,ikos,0.014673831400546221,0.0016481432684090891,0.9999203021400872
cppcheck,joern,0.014713849821333143,0.0014400474803170937,0.9999489957959307
cppcheck,semgrep,0.014729857189647911,0.0012756641210846594,0.999972118830936
flawfinder,ikos,0.011907635022151735,0.018773564693163377,0.9912581877921254
flawfinder,joern,0.01211388380620741,0.018233008178533874,0.9923869904006947
flawfinder,semgrep,0.012036309636681992,0.018255787894981813,0.9924431254145658
ikos,joern,0.014665827716388836,0.0008914872815302059,0.9999730448139913
ikos,semgrep,0.014680603748679391,0.0007295665943461975,0.9999839342335581
joern,semgrep,0.014741554881877936,0.0004796053814309602,0.9999926811123379
