sample_id,row_index,fold
ae766203063e0342,0,3
f6e1b1069503c1a6,1,2
160cf15cbe1a6ee2,2,2
cd319a44906839a4,3,4
aedafaf89796da73,4,4
a7ff279dcfc13e9d,5,2
a46756d05e8a6527,6,1
98f13634051ec581,7,3
f5b272c043218844,8,2
37d220f89db84a1a,9,0
ad188a9e5330e426,10,4
37b747fc7e7fb2d8,11,1
87fd70b871ff299f,12,4
1e0c1003fa533e37,13,3
ba98922728895bb2,14,3
04b04cdb6827569a,15,2
43ee63414bda1ed8,16,3
7ad0a5c9be40e8a9,17,4
713ea03c8005f225,18,3
f5a64b4c4414f4a2,19,0
2aa03e27791dbb40,20,4
80e0ecf66a0424c4,21,4
0ea3d234ed379833,22,2
0883f5b50d16fef2,23,1
5cf3c814c845efc2,24,0
f183e17d364bfabd,25,0
0f90d544432b347e,26,4
a4c324f85d7276ec,27,4
94d2c2792b6f7b3f,28,0
f1dce7832a963283,29,2
900d7b298b59a524,30,0
d1b44350e25989ff,31,3
71b64971957a71eb,32,2
cf2cbd1645352687,33,0
51f8781e7d3c8d17,34,0
40a816abeecf6007,35,3
b3215a248a7fcf83,36,0
767146116e62a7bb,37,3
149fc7bb60fc6ce4,38,2
2c6ee7aef131d84f,39,3
e3f831e841ab202d,40,2
7b962131f08ca319,41,3
9cf73cbcdd119346,42,3
40cc4fd15a4300de,43,1
038c868c28baafd3,44,1
3ee8c85ae8d4c400,45,1
4f2257a2f8abf318,46,1
6b1392a9df674097,47,2
b3b32536ecfed19c,48,0
2ba6faab91095825,49,0
9039f8d6c4844f42,50,0
ee08292e525f43f6,51,3
02b26b9e8355aaa9,52,2
80c5d7a050bfd0d6,53,1
a6096549f5be6dbb,54,2
92f209c47313a0cb,55,4
a920fe2249a97cd6,56,2
4138a4fb76e51c74,57,0
b78fe663d13d5292,58,3
4d3e93a17831fdeb,59,4
b1551d8d7c7044ec,60,1
da48935bd78c8049,61,4
23c46a4a695f9822,62,1
4cc0b9dc77ad6419,63,3
83324f97885fd895,64,4
5f9bae96220b2c8c,65,4
479633d6a06f7923,66,1
187def53ed87232e,67,4
5065154a3d63120d,68,3
21d2598254e7ab57,69,2
f26ad71bb1298741,70,2
3b65cc8c0b364351,71,0
3896387d58ab547b,72,3
764077ae6b61a2bf,73,0
a55b89ec6ae52a78,74,1
e31f620cad38d329,75,1
2d7aa66e6017ab5e,76,4
88677aeb227aea4d,77,4
5b99ee6c698cbe71,78,0
210864d5470386c1,79,1
daf0545abb53c738,80,1
e9d3e547a0f5321c,81,2
198ed828badd836e,82,2
06179eb052ec1d62,83,4
d75a46607539f01d,84,3
6d6e279635b42bc9,85,3
bcc618c695bae018,86,2
2958fc02f4143cad,87,0
89af66f7972070c2,88,3
a4f505e1d768d99e,89,0
54261ba1688f46a2,90,3
32cd6185bcbb097e,91,2
dbe42e2946ff8cd1,92,1
d30550cbabef6215,93,2
d2f74ac10c73d96e,94,3
ce1d686210a82b1c,95,1
4b0881b225551276,96,3
1bd1e9b3b85d48ff,97,2
a42dece3b40193fc,98,3
c4702797ce0bc7d2,99,4
59fbfc3449bdaf06,100,2
9d4db08628cbeef7,101,4
abc393a7312d73ec,102,2
3af7555dcd650606,103,1
9c20776889fc74ab,104,1
a1e979c7ea242f7d,105,4
c528c1eafc3e39bd,106,2
eaff4b0fa676b361,107,4
fa3b752a5db599ec,108,0
1f76f59ae3ddb6f9,109,0
df8631be638d17cf,110,1
3dbf52551289f9f3,111,4
9ca22d2f266c6159,112,4
9e0e855d37be149c,113,3
29114977ca091d90,114,0
b3f6d50c41aa6e9f,115,3
c236fd0287415a16,116,2
8cab1d629ec915c0,117,4
de729bcf7ecf59eb,118,1
589767cf29d18a6a,119,0
e2f93973b1517e29,120,0
58293c857eb04bd1,121,3
535d965696f95e34,122,2
56b8c31695d94dd7,123,2
3018473b9e6cb53f,124,3
dc1fa66983663b2b,125,4
860a0960e244921f,126,3
b84e4b25f79f416b,127,2
a726ce3e54c6a8a3,128,4
09e6061fecc8685e,129,3
2f5a99a799feb8b3,130,4
355d796a39b850e6,131,3
04c5468e6d12d52a,132,1
791d76dfc9c63d45,133,0
47d404ce5a46153a,134,4
6e3a019a18c785c9,135,0
c10f747ce09411b1,136,3
c6d1fb8897c3ab5c,137,2
82ac691e0ca9be51,138,3
168aa7303eb4b850,139,3
03d5f99b524b041f,140,1
99d62d79695cc309,141,3
decee442ac67b083,142,1
2eb825b18a6237d4,143,1
ae65fbc42a6d8e2a,144,0
cb7fbd99a1c4142b,145,1
7671baceeb7b01d2,146,4
8c9b905f7b7def06,147,1
f4188f71c3d5b2a0,148,0
266c9293287d05b3,149,0
42eeb0fa19293afb,150,0
9a3d03514d3051f6,151,1
2d56e3b5a6e5b31e,152,4
c4dae33c51e0149c,153,1
