strategy,n_families,precision_macro,precision_median,precision_weighted,recall_macro,recall_median,recall_weighted,specificity_macro,specificity_median,specificity_weighted,npv_macro,npv_median,npv_weighted,fpr_macro,fpr_median,fpr_weighted,fnr_macro,fnr_median,fnr_weighted,f1_macro,f1_median,f1_weighted,f2_macro,f2_median,f2_weighted,mcc_macro,mcc_median,mcc_weighted,accuracy_macro,accuracy_median,accuracy_weighted,balanced_accuracy_macro,balanced_accuracy_median,balanced_accuracy_weighted,roc_auc_macro,roc_auc_median,roc_auc_weighted,pr_auc_macro,pr_auc_median,pr_auc_weighted
tool:codeql,20,0.10428744358871309,0.02222222222222222,0.21364300854097526,0.004738792678447187,0.0014728577663606574,0.005623026285262041,0.9988489147175436,0.9991430949267313,0.997714303183561,0.979517835624218,0.9912259074748015,0.9083954224999715,0.0011510852824565359,0.0008569050732687095,0.0022856968164389224,0.9952612073215528,0.9985271422336394,0.994376973714738,0.030107992379959925,0.020473746954854093,0.017044362703988115,0.024070880520946917,0.01434767280747063,0.011568966117862362,0.015442379152276838,0.0028740835981266805,0.01982829635956939,0.9784697201690872,0.9902170619620048,0.9067840851369046,0.5017938536979951,0.5001037095953962,0.5016686647344115,0.5017938536979951,0.5001037095953962,0.5016686647344115,0.02503644031425318,0.012809884733142134,0.10759917621877599
tool:cppcheck,20,0.06632240315377008,0.006904020576688777,0.2749261653211949,0.00253999014873709,0.0,0.004363299746693637,0.9988076489845812,1.0,0.9982234204056072,0.9795040415247064,0.9912243626709609,0.9083291729708933,0.0011923510154188187,0.0,0.0017765795943928229,0.9974600098512628,1.0,0.9956367002533063,0.01868768873019632,0.01737565003044471,0.013726291851195402,0.016049195744746735,0.012101492418187622,0.00921033079749046,0.007385922423835825,0.007797343606953418,0.022403861725263867,0.978392141163703,0.9899843345310998,0.9070032314502896,0.5006738195666591,0.5,0.5012933600761506,0.5006738195666591,0.5,0.5012933600761506,0.023534487938517125,0.009632711043156779,0.1075896685209787
tool:flawfinder,20,0.07090238229595468,0.02857142857142857,0.16096717290863136,0.04964168650812349,0.0,0.1979293004038473,0.9757906129432602,0.9997048347938223,0.8660917455615619,0.9809253083259714,0.9912240397054108,0.9177351331414024,0.02420938705673984,0.0002951652061775671,0.1339082544384382,0.9503583134918765,1.0,0.8020706995961527,0.11432963875784632,0.05252929047719709,0.20376020395260186,0.1254315226089089,0.06002050202710233,0.23452594012335976,0.043154385532565225,0.0034770810883385885,0.06925546613817035,0.9620654015896115,0.9910789816379223,0.8276120002351405,0.5127161497256918,0.5,0.5320105229827046,0.5127161497256918,0.5,0.5320105229827046,0.027490750313751405,0.009600081358938127,0.11399610297306162
tool:ikos,20,0.22714956371127906,0.18773633773633774,0.4304961378942642,0.0025419895320547186,0.0,0.007636025591450807,0.9994520853275759,1.0,0.9987132535956847,0.9795719190003813,0.9912254954815654,0.9087198630878838,0.0005479146724242384,0.0,0.0012867464043152884,0.9974580104679454,1.0,0.9923639744085491,0.03130696544936497,0.03006325648380439,0.02576163042094308,0.020207129711131658,0.019337483771413352,0.016519914427188528,0.03491691045903423,0.042466945484478866,0.05322935779782872,0.9790937501877293,0.9912254954815654,0.9079721316466457,0.5009970374298153,0.5,0.5031746395935678,0.5009970374298153,0.5,0.5031746395935678,0.024537661955245246,0.009861050554950148,0.11118326071136303
tool:joern,20,0.11807329354445288,0.11807329354445288,0.21692368518060118,0.0005526688710439301,0.0,0.004909365558912387,0.9995399552333293,1.0,0.9964028377302305,0.9794804250108514,0.9912254954815654,0.9082257116085517,0.00046004476667081456,0.0,0.0035971622697694495,0.999447331128956,1.0,0.9950906344410876,0.02111605758383806,0.02111605758383806,0.02111605758383806,0.013656529120623415,0.013656529120623415,0.013656529120623413,0.004263325213919027,0.004263325213919027,0.011469097621252962,0.9791730491688453,0.9912254954815654,0.9059690107664498,0.5000463120521866,0.5,0.5006561016445714,0.5000463120521866,0.5,0.5006561016445714,0.022826405917204518,0.009633163488494696,0.10474060691376226
tool:semgrep,20,0.17093073893321376,0.17093073893321376,0.2807889028671012,0.0004146579510405957,0.0,0.003398914953695476,0.9997942777914244,1.0,0.9983774814945163,0.97948836646695,0.9912254954815654,0.9082866550594598,0.00020572220857567985,0.0,0.0016225185054836964,0.9995853420489593,1.0,0.9966010850463045,0.010958116710274324,0.010958116710274324,0.0138825820013029,0.006977471603647156,0.006977471603647156,0.008838233410173243,0.011921263144887983,0.011921263144887983,0.020279449313347384,0.9793557869241372,0.9912254954815654,0.9073041856007467,0.5001044678712325,0.5,0.5008881982241059,0.5001044678712325,0.5,0.5008881982241059,0.023006959809267574,0.009633163488494696,0.10618588551925363
or_1_of_6,20,0.10370194773048338,0.02843704770991128,0.15224850359608622,0.05692365910856821,0.010168067226890756,0.2067810349641495,0.9735603977551375,0.9962020238008056,0.8636392950708436,0.9810747844822881,0.9912233163461186,0.9186240171484678,0.026439602244862675,0.003797976199194541,0.13636070492915645,0.9430763408914318,0.9898319327731093,0.7932189650358505,0.0681948869115831,0.03733481173456116,0.1693539273518681,0.0714923169979013,0.02956175825256698,0.19380600274513385,0.03585843829343389,0.009291070412137146,0.0632540908499579,0.9600674362328911,0.9874847333252652,0.8263581595880565,0.5152420284318528,0.5037096703252752,0.5352101650174965,0.5152420284318528,0.5037096703252752,0.5352101650174965,0.02878614712817219,0.012260523000174724,0.11522339414696234
traditional_2_of_6,20,0.06647611359322535,0.03076923076923077,0.18651826342162195,0.00309989134233369,0.0,0.013470304087964567,0.9987843374715772,1.0,0.992851263751552,0.9795688125081204,0.9912254954815654,0.908876180875088,0.0012156625284226647,0.0,0.007148736248448046,0.9969001086576663,1.0,0.9865296959120354,0.03461253566890673,0.02020843098498008,0.038077832390201016,0.025554333018034548,0.013374200466767364,0.02555283150872749,0.010866268590222921,0.004782940024362978,0.024404334587305607,0.9786662260626615,0.9912254954815654,0.9043319019768049,0.5009421144069555,0.5,0.5031607839197583,0.515298067835021,0.5037096703252752,0.535634963291495,0.029918971110457337,0.01386435838946483,0.11810664128096815
traditional_3_of_6,20,0.1409224893095861,0.0,0.3385530071134745,0.00033065658951346243,0.0,0.0029372272574689495,0.9998971951423936,1.0,0.9991074146746207,0.9794927834836902,0.9912254954815654,0.9083281478729289,0.00010280485760631025,0.0,0.0008925853253792762,0.9996693434104866,1.0,0.9970627727425311,0.013021371545374697,0.013021371545374697,0.013021371545374697,0.008234021734511683,0.008234021734511683,0.008234021734511683,0.010159812857448864,-0.0013634143462787924,0.026389018979279973,0.9794342236902551,0.9912254954815654,0.9078276887211543,0.5001139258659536,0.5,0.5010223209660449,0.515298067835021,0.5037096703252752,0.535634963291495,0.029918971110457337,0.01386435838946483,0.11810664128096815
weighted_fire_specificity_silence_sensitivity_tau_0_1,20,0.05652836603208775,0.028302666848393988,0.14074709044791928,0.05676740910856822,0.010168067226890756,0.20673920570097395,0.9735629999803418,0.9962020238008056,0.8636401155086261,0.9810739435992275,0.9912234025753146,0.9186237936034648,0.026437000019658263,0.003797976199194541,0.1363598844913741,0.9432325908914319,0.9898319327731093,0.7932607942990261,0.0706899306544066,0.03741534319011154,0.17132866796963114,0.07496145460320887,0.030952488334105792,0.19629038605664334,0.031190172129476345,0.008909079755166267,0.0624227322176069,0.9600691591819663,0.9874933510432934,0.8263587430558222,0.515165204544455,0.5037183290836091,0.5351896606048,0.5151663323354472,0.503718171610734,0.5351162762673406,0.029844661189857773,0.012260967137330804,0.1181686324831521
