fold,strategy,family,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc
0,tool:codeql,CWE-20,2,47,11174,383,11606,385,11221,0.04081632653061224,0.005194805194805195,0.9958114250066838,0.9668599117418015,0.0041885749933161034,0.9948051948051948,0.9629501981733586,0.5005031151007445,0.009216589861751152,0.0062932662051604785,0.0027792198156189733,0.5005031151007445,0.034717719395142406
0,tool:codeql,CWE-74,0,0,11418,188,11606,188,11418,,0.0,1.0,0.9838014819920731,0.0,1.0,0.9838014819920731,0.5,,,,0.5,0.012465006468512929
0,tool:codeql,CWE-118,17,30,9459,2100,11606,2117,9489,0.3617021276595745,0.00803023145961266,0.9968384445147013,0.8183233843758111,0.003161555485298767,0.9919697685403873,0.816474237463381,0.502434337987157,0.015711645101663584,0.009982384028185555,0.02960550430596037,0.502434337987157,0.21301024330663315
0,tool:codeql,CWE-190,1,29,11296,280,11606,281,11325,0.03333333333333333,0.0035587188612099642,0.997439293598234,0.9758120248790602,0.0025607064017660044,0.99644128113879,0.9733758400827158,0.500499006229722,0.006430868167202571,0.004332755632582322,0.0030211225466781075,0.500499006229722,0.03602950213387351
0,tool:codeql,CWE-191,0,13,11560,33,11606,33,11573,0.0,0.0,0.9988766957573663,0.9971534546709221,0.0011233042426337164,1.0,0.9960365328278477,0.49943834787868313,,,-0.001788165664865083,0.49943834787868313,0.0022937451326738773
0,tool:codeql,CWE-269,0,0,11582,24,11606,24,11582,,0.0,1.0,0.9979321040840944,0.0,1.0,0.9979321040840944,0.5,,,,0.5,0.0024053610877627974
0,tool:codeql,CWE-285,3,28,11521,54,11606,57,11549,0.0967741935483871,0.05263157894736842,0.9975755476664646,0.9953347732181426,0.002424452333535371,0.9473684210526315,0.9929346889539893,0.5251035633069165,0.06818181818181818,0.05791505791505792,0.06800387163034538,0.5251035633069165,0.010207620784359757
0,tool:codeql,CWE-287,0,0,11543,63,11606,63,11543,,0.0,1.0,0.9945717732207479,0.0,1.0,0.9945717732207479,0.5,,,,0.5,0.006832698966124183
0,tool:codeql,CWE-369,0,0,11552,54,11606,54,11552,,0.0,1.0,0.9953472341892124,0.0,1.0,0.9953472341892124,0.5,,,,0.5,0.004592182396563703
0,tool:codeql,CWE-400,0,6,11485,115,11606,115,11491,0.0,0.0,0.9994778522321817,0.9900862068965517,0.0005221477678182926,1.0,0.9895743580906428,0.49973892611609083,,,-0.0022751845946159845,0.49973892611609083,0.011306918664790078
0,tool:codeql,CWE-404,0,16,11345,245,11606,245,11361,0.0,0.0,0.9985916732681982,0.9788610871440897,0.001408326731801778,1.0,0.977511631914527,0.4992958366340991,,,-0.00545623460421257,0.4992958366340991,0.01642528021063094
0,tool:codeql,CWE-476,0,0,11270,336,11606,336,11270,,0.0,1.0,0.971049457177322,0.0,1.0,0.971049457177322,0.5,,,,0.5,0.03933018475512671
0,tool:codeql,CWE-662,0,4,11443,159,11606,159,11447,0.0,0.0,0.9996505634664105,0.986295466298914,0.0003494365335895868,1.0,0.9859555402378081,0.49982528173320523,,,-0.0021883474931941615,0.49982528173320523,0.01399057169971208
0,tool:codeql,CWE-665,0,18,11560,28,11606,28,11578,0.0,0.0,0.9984453273449646,0.9975837072833966,0.001554672655035412,1.0,0.9960365328278477,0.4992226636724823,,,-0.0019381806451062578,0.4992226636724823,0.0024904013390799717
0,tool:codeql,CWE-668,0,3,11330,273,11606,273,11333,0.0,0.0,0.999735286331951,0.9764716021718521,0.00026471366804906027,1.0,0.976219196967086,0.4998676431659755,,,-0.0024956539208004325,0.4998676431659755,0.02159161627312396
0,tool:codeql,CWE-704,1,20,11498,87,11606,88,11518,0.047619047619047616,0.011363636363636364,0.998263587428373,0.9924902891670263,0.0017364125716270186,0.9886363636363636,0.9907806307082544,0.5048136118960047,0.01834862385321101,0.013404825737265416,0.01965048501662508,0.5048136118960047,0.008945664092551573
0,tool:codeql,CWE-705,0,0,11553,53,11606,53,11553,,0.0,1.0,0.9954333965190418,0.0,1.0,0.9954333965190418,0.5,,,,0.5,0.008382958369916869
0,tool:codeql,CWE-706,0,0,11445,161,11606,161,11445,,0.0,1.0,0.9861278648974668,0.0,1.0,0.9861278648974668,0.5,,,,0.5,0.012135330698916818
0,tool:codeql,CWE-754,0,12,11561,33,11606,33,11573,0.0,0.0,0.9989631037760304,0.9971537001897534,0.0010368962239695845,1.0,0.996122695157677,0.4994815518880152,,,-0.0017179399074269525,0.4994815518880152,0.002376964164662543
0,tool:codeql,CWE-834,0,13,11523,70,11606,70,11536,0.0,0.0,0.998873092926491,0.9939618735443803,0.0011269070735090152,1.0,0.9928485266241599,0.4994365464632455,,,-0.002608525908167262,0.4994365464632455,0.007768420786183453
0,tool:cppcheck,CWE-20,0,0,11221,385,11606,385,11221,,0.0,1.0,0.9668275030156815,0.0,1.0,0.9668275030156815,0.5,,,,0.5,0.03410175199313509
0,tool:cppcheck,CWE-74,0,0,11418,188,11606,188,11418,,0.0,1.0,0.9838014819920731,0.0,1.0,0.9838014819920731,0.5,,,,0.5,0.012465006468512929
0,tool:cppcheck,CWE-118,15,20,9469,2102,11606,2117,9489,0.42857142857142855,0.007085498346717053,0.9978922963431341,0.8183389508253393,0.0021077036568658445,0.992914501653283,0.8171635361020162,0.5024888973449256,0.013940520446096654,0.008820416323650477,0.03505808288298688,0.5024888973449256,0.2143107189253426
0,tool:cppcheck,CWE-190,1,16,11309,280,11606,281,11325,0.058823529411764705,0.0035587188612099642,0.9985871964679912,0.9758391578220726,0.00141280353200883,0.99644128113879,0.974495950370498,0.5010729576646006,0.006711409395973153,0.0043821209465381246,0.008624569084098989,0.5010729576646006,0.03636739869878982
0,tool:cppcheck,CWE-191,0,0,11573,33,11606,33,11573,,0.0,1.0,0.9971566431156298,0.0,1.0,0.9971566431156298,0.5,,,,0.5,0.00232432383487632
0,tool:cppcheck,CWE-269,0,0,11582,24,11606,24,11582,,0.0,1.0,0.9979321040840944,0.0,1.0,0.9979321040840944,0.5,,,,0.5,0.0024053610877627974
0,tool:cppcheck,CWE-285,0,0,11549,57,11606,57,11549,,0.0,1.0,0.9950887471997243,0.0,1.0,0.9950887471997243,0.5,,,,0.5,0.005442888046909243
0,tool:cppcheck,CWE-287,0,0,11543,63,11606,63,11543,,0.0,1.0,0.9945717732207479,0.0,1.0,0.9945717732207479,0.5,,,,0.5,0.006832698966124183
0,tool:cppcheck,CWE-369,0,1,11551,54,11606,54,11552,0.0,0.0,0.9999134349030471,0.9953468332615252,8.656509695290859e-05,1.0,0.9952610718593831,0.49995671745152354,,,-0.0006346667076931955,0.49995671745152354,0.0045896271361415
0,tool:cppcheck,CWE-400,0,0,11491,115,11606,115,11491,,0.0,1.0,0.9900913320696192,0.0,1.0,0.9900913320696192,0.5,,,,0.5,0.01132531975731848
0,tool:cppcheck,CWE-404,0,40,11321,245,11606,245,11361,0.0,0.0,0.9964791831704956,0.9788172228946913,0.003520816829504445,1.0,0.9754437359986214,0.4982395915852478,,,-0.008636010544690887,0.4982395915852478,0.01637883060983815
0,tool:cppcheck,CWE-476,4,71,11199,332,11606,336,11270,0.05333333333333334,0.011904761904761904,0.9937000887311447,0.9712080478709566,0.006299911268855369,0.9880952380952381,0.9652765810787524,0.5028024253179533,0.019464720194647202,0.01409443269908386,0.011728204297712796,0.5028024253179533,0.04016928875157295
0,tool:cppcheck,CWE-662,0,0,11447,159,11606,159,11447,,0.0,1.0,0.9863001895571256,0.0,1.0,0.9863001895571256,0.5,,,,0.5,0.013996030026100574
0,tool:cppcheck,CWE-665,0,91,11487,28,11606,28,11578,0.0,0.0,0.9921402660217654,0.9975683890577508,0.007859733978234583,1.0,0.9897466827503015,0.4960701330108827,,,-0.004371706205206769,0.4960701330108827,0.0024536885651200535
0,tool:cppcheck,CWE-668,0,0,11333,273,11606,273,11333,,0.0,1.0,0.9764776839565742,0.0,1.0,0.9764776839565742,0.5,,,,0.5,0.02159675401232569
0,tool:cppcheck,CWE-704,0,3,11515,88,11606,88,11518,0.0,0.0,0.999739538114256,0.9924157545462381,0.0002604618857440528,1.0,0.9921592279855247,0.499869769057128,,,-0.0014054916836582843,0.499869769057128,0.0069064320196078
0,tool:cppcheck,CWE-705,0,0,11553,53,11606,53,11553,,0.0,1.0,0.9954333965190418,0.0,1.0,0.9954333965190418,0.5,,,,0.5,0.008382958369916869
0,tool:cppcheck,CWE-706,0,0,11445,161,11606,161,11445,,0.0,1.0,0.9861278648974668,0.0,1.0,0.9861278648974668,0.5,,,,0.5,0.012135330698916818
0,tool:cppcheck,CWE-754,0,11,11562,33,11606,33,11573,0.0,0.0,0.9990495117946946,0.9971539456662355,0.0009504882053054523,1.0,0.9962088574875064,0.4995247558973473,,,-0.001644731308117431,0.4995247558973473,0.0023790395407710086
0,tool:cppcheck,CWE-834,0,0,11536,70,11606,70,11536,,0.0,1.0,0.9939686369119421,0.0,1.0,0.9939686369119421,0.5,,,,0.5,0.007804882623999828
0,tool:flawfinder,CWE-20,26,635,10586,359,11606,385,11221,0.039334341906202726,0.06753246753246753,0.9434096782817931,0.967199634536318,0.05659032171820693,0.9324675324675324,0.9143546441495778,0.5054710729071303,0.0497131931166348,0.05906406179009541,0.008455514353426702,0.5054710729071303,0.03633997670840326
0,tool:flawfinder,CWE-74,45,90,11328,143,11606,188,11418,0.3333333333333333,0.2393617021276596,0.9921177088807147,0.9875337808386365,0.007882291119285338,0.7606382978723404,0.9799241771497501,0.6157397055041871,0.27863777089783287,0.25366403607666294,0.27253280646645894,0.6157397055041871,0.06652763974386326
0,tool:flawfinder,CWE-118,804,2581,6908,1313,11606,2117,9489,0.23751846381093059,0.379782711384034,0.7280008430814627,0.8402870696995499,0.27199915691853727,0.620217288615966,0.6644838876443219,0.5538917772327484,0.292257360959651,0.3391546443938243,0.09157596277868942,0.5538917772327484,0.22254958401295735
0,tool:flawfinder,CWE-190,9,211,11114,272,11606,281,11325,0.04090909090909091,0.03202846975088968,0.9813686534216336,0.9761110135253821,0.018631346578366445,0.9679715302491103,0.9583835946924005,0.5066985615862616,0.035928143712574856,0.033482142857142856,0.015100345542994806,0.5066985615862616,0.03619395909363549
0,tool:flawfinder,CWE-191,0,0,11573,33,11606,33,11573,,0.0,1.0,0.9971566431156298,0.0,1.0,0.9971566431156298,0.5,,,,0.5,0.00232432383487632
