base_strategy,strategy,tau,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
or_1_of_6,or_1_of_6,,1904.4,2005.8,4663.6,3028.0,11601.8,4932.4,6669.4,0.48700873905752207,0.3860875930350932,0.6992474710543115,0.6063237619325947,0.30075252894568844,0.6139124069649068,0.5661189942436462,0.5426675320447024,0.43070541670523177,0.40277575053001585,0.08924392758719171,0.5426675320447024,0.46300923074368994,0.5173514284379754
traditional_2_of_6,traditional_2_of_6,,148.8,112.8,6556.6,4783.6,11601.8,4932.4,6669.4,0.5679154825705345,0.03017346462785226,0.9830883845674698,0.5781759573646517,0.01691161543253018,0.9698265353721478,0.577962406544405,0.506630924597661,0.057288453324258984,0.03721997856980113,0.043992723653701264,0.5439441605753821,0.4732081000720754,0.4317399077379207
traditional_3_of_6,traditional_3_of_6,,19.6,13.4,6656.0,4912.8,11601.8,4932.4,6669.4,0.5891443517249969,0.003974762940955773,0.9979908985200158,0.5753411769695056,0.0020091014799842113,0.9960252370590442,0.5753939015657832,0.5009828307304858,0.007895915392119795,0.004960034177437544,0.017967722250905226,0.5439441605753821,0.4732081000720754,0.7189314087895323
weighted_fire_specificity_silence_sensitivity,weighted_fire_specificity_silence_sensitivity_tau_0_1,0.1,1904.4,2005.8,4663.6,3028.0,11601.8,4932.4,6669.4,0.48700873905752207,0.3860875930350932,0.6992474710543115,0.6063237619325947,0.30075252894568844,0.6139124069649068,0.5661189942436462,0.5426675320447024,0.43070541670523177,0.40277575053001585,0.08924392758719171,0.5457748585481201,0.4806286627229765,0.5172429685681272
dst_dempster_fire_specificity_silence_sensitivity,dst_dempster_fire_specificity_silence_sensitivity_tau_0_8,0.8,1904.4,2005.8,4663.6,3028.0,11601.8,4932.4,6669.4,0.48700873905752207,0.3860875930350932,0.6992474710543115,0.6063237619325947,0.30075252894568844,0.6139124069649068,0.5661189942436462,0.5426675320447024,0.43070541670523177,0.40277575053001585,0.08924392758719171,0.5472560086757989,0.49094520595099755,0.5172429685681272
dst_pcr6_fire_specificity_silence_sensitivity,dst_pcr6_fire_specificity_silence_sensitivity_tau_0_8,0.8,1904.4,2005.8,4663.6,3028.0,11601.8,4932.4,6669.4,0.48700873905752207,0.3860875930350932,0.6992474710543115,0.6063237619325947,0.30075252894568844,0.6139124069649068,0.5661189942436462,0.5426675320447024,0.43070541670523177,0.40277575053001585,0.08924392758719171,0.5472588610194691,0.48987144031510094,0.5172429685681272
dst_yager_fire_specificity_silence_sensitivity,dst_yager_fire_specificity_silence_sensitivity_tau_0_8,0.8,1897.4,1996.8,4672.6,3035.0,11601.8,4932.4,6669.4,0.48721561835954147,0.3846679726436329,0.7005962302837758,0.6062313002156061,0.2994037697162241,0.6153320273563672,0.5662914139948674,0.5426321014637043,0.42990096670251365,0.4015670141833662,0.08926151412959675,0.5470883490522545,0.4882304888740592,0.5168281853622915
naive_bayes,naive_bayes_tau_0_2,0.2,1700.0,1778.0,4891.4,3232.4,11601.8,4932.4,6669.4,0.4887742894430425,0.3446541469675877,0.7334087747431969,0.6021077495193305,0.2665912252568031,0.6553458530324123,0.5681359771841714,0.5390314608553923,0.4042506127207698,0.36625156703429007,0.08422885358595092,0.5407755160109418,0.4822889357735357,0.5088419941987413
bks,bks_tau_0_2,0.2,1676.8,1753.2,4916.2,3255.6,11601.8,4932.4,6669.4,0.48885317282818674,0.33995024974811,0.7371273412283192,0.6016051751428745,0.26287265877168076,0.66004975025189,0.5682737893691985,0.5385387954882146,0.40102436273796016,0.362002572365901,0.08350030444701242,0.5405061185723089,0.48072260622537666,0.5079717621705819
logistic_regression,logistic_regression_tau_0_6,0.6,707.0,686.8,5982.6,4225.4,11601.8,4932.4,6669.4,0.5071008761709767,0.1433464115884401,0.8970178463400202,0.5860754260692472,0.10298215365997967,0.8566535884115598,0.5766008887897238,0.5201821289642302,0.22345444647524562,0.1673407606614772,0.061318581917035674,0.5429412374556646,0.48109998884680183,0.2804662513788302
logistic_interactions,logistic_interactions_tau_0_6,0.6,701.6,677.4,5992.0,4230.8,11601.8,4932.4,6669.4,0.5086203196671727,0.14225066859615676,0.8984265590105174,0.5861446537952497,0.10157344098948266,0.8577493314038431,0.5769456940855286,0.520338613803337,0.2222954262754945,0.1661859460100804,0.062082703905636596,0.5428442957201421,0.4812460177944005,0.2807597395633243
decision_tree,decision_tree_tau_0_6,0.6,681.4,661.8,6007.6,4251.0,11601.8,4932.4,6669.4,0.5071734378057414,0.13815411323578727,0.9007657994795324,0.5856188352410954,0.09923420052046757,0.8618458867642127,0.576549215153566,0.5194599563576598,0.21713036285019757,0.1616755459008647,0.060091487805824594,0.5421385054341752,0.4798331633638447,0.25061159023167506
random_forest,random_forest_tau_0_6,0.6,697.2,674.2,5995.2,4235.2,11601.8,4932.4,6669.4,0.5082715778609666,0.14135687685540732,0.8989060866677111,0.5860204979647248,0.10109391333228883,0.8586431231445927,0.5768422339177757,0.5201314817615592,0.2211751596253297,0.16520376934053288,0.06161211605732699,0.5434726023088172,0.4813690063932633,0.2726486066505446
gradient_boosting,gradient_boosting_tau_0_6,0.6,704.6,681.0,5988.4,4227.8,11601.8,4932.4,6669.4,0.5083551658938648,0.14286408563694847,0.8978889974528194,0.5861725920482479,0.10211100254718067,0.8571359143630515,0.5768939699509269,0.520376541544884,0.22303065240391023,0.1668531493645963,0.062065122762554735,0.5429319447454124,0.4807626475883363,0.285570995270006
