strategy,base_strategy,tau,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
weighted_fire_specificity_silence_sensitivity_tau_0_1,weighted_fire_specificity_silence_sensitivity,0.1,1904.4,2005.8,4663.6,3028.0,11601.8,4932.4,6669.4,0.48700873905752207,0.3860875930350932,0.6992474710543115,0.6063237619325947,0.30075252894568844,0.6139124069649068,0.5661189942436462,0.5426675320447024,0.43070541670523177,0.40277575053001585,0.08924392758719171,0.5457748585481201,0.4806286627229765,0.5172429685681272
weighted_fire_specificity_silence_sensitivity_tau_0_2,weighted_fire_specificity_silence_sensitivity,0.2,1904.4,2005.8,4663.6,3028.0,11601.8,4932.4,6669.4,0.48700873905752207,0.3860875930350932,0.6992474710543115,0.6063237619325947,0.30075252894568844,0.6139124069649068,0.5661189942436462,0.5426675320447024,0.43070541670523177,0.40277575053001585,0.08924392758719171,0.5457748585481201,0.4806286627229765,0.5172429685681272
weighted_fire_specificity_silence_sensitivity_tau_0_3,weighted_fire_specificity_silence_sensitivity,0.3,1904.4,2005.8,4663.6,3028.0,11601.8,4932.4,6669.4,0.48700873905752207,0.3860875930350932,0.6992474710543115,0.6063237619325947,0.30075252894568844,0.6139124069649068,0.5661189942436462,0.5426675320447024,0.43070541670523177,0.40277575053001585,0.08924392758719171,0.5457748585481201,0.4806286627229765,0.5172429685681272
weighted_fire_specificity_silence_sensitivity_tau_0_4,weighted_fire_specificity_silence_sensitivity,0.4,1904.4,2005.8,4663.6,3028.0,11601.8,4932.4,6669.4,0.48700873905752207,0.3860875930350932,0.6992474710543115,0.6063237619325947,0.30075252894568844,0.6139124069649068,0.5661189942436462,0.5426675320447024,0.43070541670523177,0.40277575053001585,0.08924392758719171,0.5457748585481201,0.4806286627229765,0.5172429685681272
weighted_fire_specificity_silence_sensitivity_tau_0_5,weighted_fire_specificity_silence_sensitivity,0.5,1904.4,2005.8,4663.6,3028.0,11601.8,4932.4,6669.4,0.48700873905752207,0.3860875930350932,0.6992474710543115,0.6063237619325947,0.30075252894568844,0.6139124069649068,0.5661189942436462,0.5426675320447024,0.43070541670523177,0.40277575053001585,0.08924392758719171,0.5457748585481201,0.4806286627229765,0.5172429685681272
weighted_fire_specificity_silence_sensitivity_tau_0_6,weighted_fire_specificity_silence_sensitivity,0.6,1904.4,2005.8,4663.6,3028.0,11601.8,4932.4,6669.4,0.48700873905752207,0.3860875930350932,0.6992474710543115,0.6063237619325947,0.30075252894568844,0.6139124069649068,0.5661189942436462,0.5426675320447024,0.43070541670523177,0.40277575053001585,0.08924392758719171,0.5457748585481201,0.4806286627229765,0.5172429685681272
weighted_fire_specificity_silence_sensitivity_tau_0_7,weighted_fire_specificity_silence_sensitivity,0.7,1904.4,2005.8,4663.6,3028.0,11601.8,4932.4,6669.4,0.48700873905752207,0.3860875930350932,0.6992474710543115,0.6063237619325947,0.30075252894568844,0.6139124069649068,0.5661189942436462,0.5426675320447024,0.43070541670523177,0.40277575053001585,0.08924392758719171,0.5457748585481201,0.4806286627229765,0.5172429685681272
weighted_fire_specificity_silence_sensitivity_tau_0_8,weighted_fire_specificity_silence_sensitivity,0.8,1895.4,1996.0,4673.4,3037.0,11601.8,4932.4,6669.4,0.4870510157325573,0.3842634518679914,0.7007164226348762,0.6061157374077791,0.2992835773651238,0.6157365481320086,0.5661880013600857,0.5424899372514338,0.4295840938876022,0.40119188613327045,0.08897887596195757,0.5457748585481201,0.4806286627229765,0.5091378988111981
weighted_fire_specificity_silence_sensitivity_tau_0_9,weighted_fire_specificity_silence_sensitivity,0.9,1894.6,1995.4,4674.0,3037.8,11601.8,4932.4,6669.4,0.48702081215573845,0.3841013606132916,0.7008064047032756,0.6060834212949402,0.29919359529672446,0.6158986393867083,0.5661707584958584,0.5424538826582835,0.4294714442944388,0.4010466398013336,0.08891128003119567,0.5457748585481201,0.4806286627229765,0.5082958355761061
dst_dempster_fire_specificity_silence_sensitivity_tau_0_1,dst_dempster_fire_specificity_silence_sensitivity,0.1,4932.4,6669.4,0.0,0.0,11601.8,4932.4,6669.4,0.4251405857067784,1.0,0.0,,1.0,0.0,0.4251405857067784,0.5,0.5966285333073972,0.7871317548888508,,0.5472560086757989,0.49094520595099755,0.9506058369092116
