fold,tool,family,tp,fp,tn,fn,ppv,npv,fpr,fnr,sensitivity,specificity,positive_support,supported
0,codeql,CWE-20,12,204,191096,1529,0.05555555555555555,0.9920622972096041,0.0010663878724516465,0.9922128487994809,0.007787151200519144,0.9989336121275484,1541,True
0,codeql,CWE-74,0,0,192091,750,,0.9961107855694588,0.0,1.0,0.0,1.0,750,False
0,codeql,CWE-118,82,126,184247,8386,0.3942307692307692,0.9564664413677822,0.0006833972436311173,0.99031648559282,0.009683514407179971,0.9993166027563689,8468,True
0,codeql,CWE-190,2,103,191613,1123,0.01904761904761905,0.9941733770546239,0.0005372530200922198,0.9982222222222222,0.0017777777777777779,0.9994627469799078,1125,True
0,codeql,CWE-191,0,44,192663,134,0.0,0.9993049684383056,0.00022832590409274184,1.0,0.0,0.9997716740959073,134,True
0,codeql,CWE-269,0,0,192747,94,,0.9995125517913722,0.0,1.0,0.0,1.0,94,False
0,codeql,CWE-285,7,141,192473,220,0.0472972972972973,0.9988582875350946,0.0007320340162189664,0.9691629955947136,0.030837004405286344,0.999267965983781,227,True
0,codeql,CWE-287,1,0,192585,255,1.0,0.9986776602364654,0.0,0.99609375,0.00390625,1.0,256,True
0,codeql,CWE-311,0,1,192807,33,0.0,0.9998288736776603,5.186506783950873e-06,1.0,0.0,0.9999948134932161,33,True
0,codeql,CWE-369,0,2,192619,220,0.0,0.9988591519350339,1.0383083879743123e-05,1.0,0.0,0.9999896169161202,220,True
0,codeql,CWE-400,0,17,192361,463,0.0,0.9975988466166037,8.836769277152273e-05,1.0,0.0,0.9999116323072285,463,True
0,codeql,CWE-404,1,71,191789,980,0.013888888888888888,0.9949161950313588,0.00037006150317940166,0.9989806320081549,0.0010193679918450561,0.9996299384968206,981,True
0,codeql,CWE-476,0,0,191494,1347,,0.9930149708827479,0.0,1.0,0.0,1.0,1347,False
0,codeql,CWE-573,0,12,192786,43,0.0,0.9997770044962117,6.224130955715308e-05,1.0,0.0,0.9999377586904429,43,True
0,codeql,CWE-662,2,47,192158,634,0.04081632653061224,0.9967114818042242,0.0002445305793293619,0.9968553459119497,0.0031446540880503146,0.9997554694206706,636,True
0,codeql,CWE-665,2,84,192644,111,0.023255813953488372,0.9994241394516354,0.00043584741189655886,0.9823008849557522,0.017699115044247787,0.9995641525881035,113,True
0,codeql,CWE-668,1,12,191738,1090,0.07692307692307693,0.9943472939614579,6.258148631029987e-05,0.999083409715857,0.0009165902841429881,0.9999374185136897,1091,True
0,codeql,CWE-704,0,81,192408,352,0.0,0.9981738949989625,0.00042080326668017396,1.0,0.0,0.9995791967333199,352,True
0,codeql,CWE-705,0,0,192630,211,,0.9989058343402077,0.0,1.0,0.0,1.0,211,False
0,codeql,CWE-706,0,2,192194,645,0.0,0.9966552409004402,1.0406043830256614e-05,1.0,0.0,0.9999895939561697,645,True
0,codeql,CWE-754,2,59,192648,132,0.03278688524590164,0.9993152816682228,0.00030616428048799475,0.9850746268656716,0.014925373134328358,0.999693835719512,134,True
0,codeql,CWE-834,2,34,192526,279,0.05555555555555555,0.9985529420917507,0.00017656834233485666,0.9928825622775801,0.0071174377224199285,0.9998234316576652,281,True
0,codeql,CWE-1164,0,4645,188137,59,0.0,0.9996864970562604,0.024094573144795677,1.0,0.0,0.9759054268552043,59,True
0,cppcheck,CWE-20,0,0,191300,1541,,0.992008960750048,0.0,1.0,0.0,1.0,1541,False
0,cppcheck,CWE-74,0,0,192091,750,,0.9961107855694588,0.0,1.0,0.0,1.0,750,False
0,cppcheck,CWE-118,62,81,184292,8406,0.43356643356643354,0.9563773365577225,0.0004393267994771469,0.992678318375059,0.007321681624940954,0.9995606732005229,8468,True
0,cppcheck,CWE-190,4,62,191654,1121,0.06060606060606061,0.9941849306185968,0.00032339502180308373,0.9964444444444445,0.0035555555555555557,0.9996766049781969,1125,True
0,cppcheck,CWE-191,0,0,192707,134,,0.9993051270217433,0.0,1.0,0.0,1.0,134,False
0,cppcheck,CWE-269,0,0,192747,94,,0.9995125517913722,0.0,1.0,0.0,1.0,94,False
0,cppcheck,CWE-285,0,0,192614,227,,0.9988228644323562,0.0,1.0,0.0,1.0,227,False
0,cppcheck,CWE-287,0,0,192585,256,,0.9986724814743753,0.0,1.0,0.0,1.0,256,False
0,cppcheck,CWE-311,0,0,192808,33,,0.9998288745650562,0.0,1.0,0.0,1.0,33,False
0,cppcheck,CWE-369,1,10,192611,219,0.09090909090909091,0.9988642846030182,5.191541939871561e-05,0.9954545454545455,0.004545454545454545,0.9999480845806012,220,True
0,cppcheck,CWE-400,0,1,192377,463,0.0,0.9975990458411118,5.198099574795455e-06,1.0,0.0,0.9999948019004252,463,True
0,cppcheck,CWE-404,1,178,191682,980,0.00558659217877095,0.9949133716041565,0.0009277598248723027,0.9989806320081549,0.0010193679918450561,0.9990722401751277,981,True
0,cppcheck,CWE-476,19,331,191163,1328,0.054285714285714284,0.9931009761495343,0.0017285136871129122,0.985894580549369,0.014105419450631032,0.9982714863128871,1347,True
0,cppcheck,CWE-573,0,279,192519,43,0.0,0.9997766952981377,0.001447110447203809,1.0,0.0,0.9985528895527962,43,True
0,cppcheck,CWE-662,0,0,192205,636,,0.9967019461629011,0.0,1.0,0.0,1.0,636,False
0,cppcheck,CWE-665,3,370,192358,110,0.00804289544235925,0.9994284764220546,0.0019198040762110331,0.9734513274336283,0.02654867256637168,0.9980801959237889,113,True
0,cppcheck,CWE-668,0,0,191750,1091,,0.9943424894083727,0.0,1.0,0.0,1.0,1091,False
0,cppcheck,CWE-704,0,14,192475,352,0.0,0.9981745295005368,7.273142880891895e-05,1.0,0.0,0.9999272685711911,352,True
0,cppcheck,CWE-705,0,0,192630,211,,0.9989058343402077,0.0,1.0,0.0,1.0,211,False
0,cppcheck,CWE-706,0,0,192196,645,,0.9966552755897345,0.0,1.0,0.0,1.0,645,False
0,cppcheck,CWE-754,0,65,192642,134,0.0,0.9993048927252355,0.0003372996310460959,1.0,0.0,0.9996627003689539,134,True
0,cppcheck,CWE-834,0,0,192560,281,,0.9985428409933572,0.0,1.0,0.0,1.0,281,False
0,cppcheck,CWE-1164,0,0,192782,59,,0.9996940484647974,0.0,1.0,0.0,1.0,59,False
0,flawfinder,CWE-20,104,2513,188787,1437,0.039740160489109666,0.9924457481705778,0.013136434918975431,0.9325113562621674,0.06748864373783257,0.9868635650810246,1541,True
0,flawfinder,CWE-74,191,358,191733,559,0.34790528233151186,0.9970929627857633,0.0018637000171793578,0.7453333333333333,0.25466666666666665,0.9981362999828206,750,True
0,flawfinder,CWE-118,3186,10418,173955,5282,0.2341958247574243,0.9705306382052813,0.0565050197154681,0.6237600377893245,0.37623996221067546,0.9434949802845319,8468,True
0,flawfinder,CWE-190,51,833,190883,1074,0.057692307692307696,0.9944049969524424,0.004344968599386593,0.9546666666666667,0.04533333333333334,0.9956550314006134,1125,True
0,flawfinder,CWE-191,0,0,192707,134,,0.9993051270217433,0.0,1.0,0.0,1.0,134,False
0,flawfinder,CWE-269,0,32,192715,94,0.0,0.9995124708908817,0.00016602074221648067,1.0,0.0,0.9998339792577835,94,True
0,flawfinder,CWE-285,0,116,192498,227,0.0,0.99882215592165,0.0006022407509319157,1.0,0.0,0.999397759249068,227,True
0,flawfinder,CWE-287,0,0,192585,256,,0.9986724814743753,0.0,1.0,0.0,1.0,256,False
0,flawfinder,CWE-311,0,0,192808,33,,0.9998288745650562,0.0,1.0,0.0,1.0,33,False
0,flawfinder,CWE-369,0,0,192621,220,,0.9988591637670412,0.0,1.0,0.0,1.0,220,False
0,flawfinder,CWE-400,0,14,192364,463,0.0,0.9975988839737173,7.277339404713637e-05,1.0,0.0,0.9999272266059529,463,True
0,flawfinder,CWE-404,0,0,191860,981,,0.9949129075248521,0.0,1.0,0.0,1.0,981,False
