strategy,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
tool:codeql,614.6,660.8,42618.0,4317.8,48211.2,4932.4,43278.8,0.48169734256755925,0.12459896091183949,0.9847314955838277,0.9080065492832631,0.015268504416172385,0.8754010390881606,0.8967335272133352,0.5546652282478336,0.19795924036188772,0.14628185440626415,0.20639343342369942,0.5546652282478336,0.14924729591856334,0.04298069410512908
tool:cppcheck,165.2,147.4,43131.4,4767.2,48211.2,4932.4,43278.8,0.5275122905709299,0.03348845429326945,0.9965941167792097,0.9004731504568829,0.003405883220790189,0.9665115457067305,0.8980610176940385,0.5150412855362396,0.06295707589132661,0.041202709659892964,0.11337687139825026,0.5150412855362396,0.11223142630977963,0.12587119163909127
tool:flawfinder,1867.0,1970.6,41308.2,3065.4,48211.2,4932.4,43278.8,0.4865344520351461,0.3785170298307711,0.9544672309289106,0.9309184421249581,0.045532769071089316,0.6214829701692288,0.8955428871110109,0.6664921303798409,0.42577026215327274,0.39609925782200506,0.3728298030961111,0.6664921303798409,0.2560331092471004,0.5052155079588636
tool:ikos,72.6,2.0,43276.8,4859.8,48211.2,4932.4,43278.8,0.9725574004055015,0.01471704604944378,0.9999537877798463,0.8990414695045249,4.621222015365761e-05,0.9852829539505562,0.8991562106737293,0.507335416914645,0.028992844874989838,0.018326574746977353,0.11299264906818789,0.507335416914645,0.11059316159999896,0.5003800410116199
tool:joern,51.2,59.4,43219.4,4881.2,48211.2,4932.4,43278.8,0.46255683093438316,0.010380360574603129,0.9986274962414623,0.8985210163302142,0.001372503758537637,0.989619639425397,0.8975217208197106,0.5045039284080327,0.020302985164288377,0.012902721254508162,0.05699785714797854,0.5045039284080327,0.0999714470270808,0.45500736262884606
tool:semgrep,31.0,26.0,43252.8,4901.4,48211.2,4932.4,43278.8,0.5479501659818857,0.006284541645018349,0.9993992611166096,0.8982145042511137,0.0006007388833904082,0.9937154583549817,0.897795530938656,0.502841901380814,0.01242201170118572,0.007832487085544725,0.05016002676971252,0.502841901380814,0.09832730172892756,0.514510582010582
or_1_of_6,2125.8,2275.0,41003.8,2806.6,48211.2,4932.4,43278.8,0.48308963133966476,0.43098539658813734,0.9474337135376423,0.9359374595723541,0.05256628646235765,0.5690146034118627,0.8945970388476395,0.6892095550628898,0.45554319259939396,0.44048187429538765,0.3982024964025221,0.6892095550628898,0.2709234972860693,0.46335794066349295
traditional_2_of_6,148.8,112.8,43166.0,4783.6,48211.2,4932.4,43278.8,0.5686486716861385,0.030165875191382314,0.9973936561390013,0.9002369198330402,0.002606343860998667,0.9698341248086176,0.8984385361760141,0.5137797656651918,0.05729021613549966,0.0372134138191258,0.11366468464898145,0.6894414971499085,0.2841981253969181,0.43035449778398444
weighted_fire_specificity_silence_sensitivity_tau_0_1,2125.8,2275.0,41003.8,2806.6,48211.2,4932.4,43278.8,0.48308963133966476,0.43098539658813734,0.9474337135376423,0.9359374595723541,0.05256628646235765,0.5690146034118627,0.8945970388476395,0.6892095550628898,0.45554319259939396,0.44048187429538765,0.3982024964025221,0.6895632353747136,0.2878555969086729,0.46326355652002904
weighted_fire_specificity_silence_sensitivity_tau_0_2,2125.8,2275.0,41003.8,2806.6,48211.2,4932.4,43278.8,0.48308963133966476,0.43098539658813734,0.9474337135376423,0.9359374595723541,0.05256628646235765,0.5690146034118627,0.8945970388476395,0.6892095550628898,0.45554319259939396,0.44048187429538765,0.3982024964025221,0.6895632353747136,0.2878555969086729,0.46326355652002904
weighted_fire_specificity_silence_sensitivity_tau_0_3,2125.8,2275.0,41003.8,2806.6,48211.2,4932.4,43278.8,0.48308963133966476,0.43098539658813734,0.9474337135376423,0.9359374595723541,0.05256628646235765,0.5690146034118627,0.8945970388476395,0.6892095550628898,0.45554319259939396,0.44048187429538765,0.3982024964025221,0.6895632353747136,0.2878555969086729,0.46326355652002904
weighted_fire_specificity_silence_sensitivity_tau_0_4,2125.8,2275.0,41003.8,2806.6,48211.2,4932.4,43278.8,0.48308963133966476,0.43098539658813734,0.9474337135376423,0.9359374595723541,0.05256628646235765,0.5690146034118627,0.8945970388476395,0.6892095550628898,0.45554319259939396,0.44048187429538765,0.3982024964025221,0.6895632353747136,0.2878555969086729,0.46326355652002904
weighted_fire_specificity_silence_sensitivity_tau_0_5,2125.8,2275.0,41003.8,2806.6,48211.2,4932.4,43278.8,0.48308963133966476,0.43098539658813734,0.9474337135376423,0.9359374595723541,0.05256628646235765,0.5690146034118627,0.8945970388476395,0.6892095550628898,0.45554319259939396,0.44048187429538765,0.3982024964025221,0.6895632353747136,0.2878555969086729,0.46326355652002904
weighted_fire_specificity_silence_sensitivity_tau_0_6,2125.8,2275.0,41003.8,2806.6,48211.2,4932.4,43278.8,0.48308963133966476,0.43098539658813734,0.9474337135376423,0.9359374595723541,0.05256628646235765,0.5690146034118627,0.8945970388476395,0.6892095550628898,0.45554319259939396,0.44048187429538765,0.3982024964025221,0.6895632353747136,0.2878555969086729,0.46326355652002904
