strategy,n_families,precision_macro,precision_median,precision_weighted,recall_macro,recall_median,recall_weighted,specificity_macro,specificity_median,specificity_weighted,npv_macro,npv_median,npv_weighted,fpr_macro,fpr_median,fpr_weighted,fnr_macro,fnr_median,fnr_weighted,f1_macro,f1_median,f1_weighted,f2_macro,f2_median,f2_weighted,mcc_macro,mcc_median,mcc_weighted,accuracy_macro,accuracy_median,accuracy_weighted,balanced_accuracy_macro,balanced_accuracy_median,balanced_accuracy_weighted,roc_auc_macro,roc_auc_median,roc_auc_weighted,pr_auc_macro,pr_auc_median,pr_auc_weighted
tool:codeql,23,0.08999006854544037,0.019111111111111113,0.21294255131988366,0.004112536100046219,0.0007326007326007326,0.005582065675545969,0.9987200265572191,0.9998213582653916,0.9994360078607843,0.9956920689080432,0.9985560759015856,0.9781776825889145,0.0012799734427810022,0.00017864173460845368,0.0005639921392157247,0.9958874638999538,0.9992673992673993,0.9944179343244541,0.021413065604981754,0.018191793250305573,0.01564912973234919,0.016371129906971857,0.012291562177368709,0.010424005441859728,0.016232623261925993,0.005236684166132889,0.0316511683331281,0.9944176773722404,0.997776444577202,0.9776500937132516,0.5014162813286326,0.500214276492646,0.502509036768165,0.5014162813286326,0.500214276492646,0.502509036768165,0.005677168288507027,0.0024497442413196706,0.02410889454664532
tool:cppcheck,23,0.07740568510090987,0.005560247888450198,0.27502279764438337,0.0021975705509177192,0.0,0.004330563929948554,0.9996951109465843,1.0,0.9996088123428807,0.9956875779190263,0.9985439065268225,0.9781402030713691,0.00030488905341581667,0.0,0.0003911876571192877,0.9978024294490824,1.0,0.9956694360700514,0.018623670368521514,0.017347818753556125,0.013558777378284807,0.01568556818504958,0.012093320302171003,0.009067082410554322,0.01277708028820169,0.005229776773913702,0.03453120897664921,0.9953866026600978,0.998108322661367,0.9777734299246307,0.500946340748751,0.5,0.5019696881364146,0.500946340748751,0.5,0.5019696881364146,0.004736439931483899,0.0022076588292831664,0.02381939248620778
tool:flawfinder,23,0.07472394304714597,0.040125996932479945,0.16275786043439114,0.04316674388491201,0.0,0.1965355246674782,0.9953895866652452,1.0,0.972274405786824,0.9964198985150889,0.9985439065268225,0.984487717658965,0.004610413334754659,0.0,0.027725594213176025,0.9568332561150881,1.0,0.8034644753325217,0.11435822214986506,0.05240120881512807,0.20375503919912877,0.12539306052686014,0.060022427789166874,0.23450228798759856,0.06921979612679939,0.008507941048323838,0.17169795417426523,0.9920314362320394,0.9982535107725903,0.9588059757446895,0.5192781652750788,0.5,0.5844049652271512,0.5192781652750788,0.5,0.5844049652271512,0.011110658743368139,0.0014428917328409285,0.0608489413566336
tool:ikos,23,0.19897945787887306,0.09656095787231832,0.4237187154571622,0.0022111279470357543,0.0,0.007583244461784582,0.9998675179010045,1.0,0.9997285834847437,0.995701685802418,0.9985439065268225,0.9782486540207677,0.00013248209899555298,0.0,0.0002714165152561814,0.9977888720529642,1.0,0.9924167555382154,0.03130250543021814,0.030057850507700545,0.025761077155727646,0.020209876421954286,0.019337886464420168,0.016521294122823636,0.034533774208179255,0.023919413015601704,0.06527309038173926,0.995572559861345,0.9983198891081433,0.9780065534326841,0.5010393229240201,0.5,0.5036559139732643,0.5010393229240201,0.5,0.5036559139732643,0.005185015917153261,0.0015444459764825857,0.02544268213442859
tool:joern,23,0.11752642891508899,0.11752642891508899,0.21591898812222807,0.0004805816269947218,0.0,0.004874796883463189,0.9999160078769195,1.0,0.9992635222779088,0.9956882017604645,0.9985439065268225,0.9781945387824704,8.399212308050208e-05,0.0,0.0007364777220910204,0.9995194183730053,1.0,0.9951252031165368,0.021110197187904346,0.021110197187904346,0.021110197187904346,0.0136555382218401,0.0136555382218401,0.0136555382218401,0.02069587768256284,0.02069587768256284,0.03889256923962353,0.9956113389785061,0.9985439065268225,0.9775294800187356,0.5001982947519571,0.5,0.5020691595806861,0.5001982947519571,0.5,0.5020691595806861,0.004278853332313062,0.0014428917328409285,0.023152763347011673
tool:semgrep,23,0.11237726098191214,0.02,0.28224519787161134,0.0003604550276419821,0.0,0.003374828857100429,0.9999617663099067,1.0,0.9996675528502283,0.9956836515028735,0.9985439065268225,0.9781466216476168,3.823369009324145e-05,0.0,0.0003324471497716175,0.999639544972358,1.0,0.9966251711428996,0.010910903931057835,0.010910903931057835,0.013877124318518579,0.006963532345586719,0.006963532345586719,0.008835920302786392,0.015326005819168355,0.003002629934998108,0.03834084107613307,0.9956488552678541,0.9985439065268225,0.9778484885633636,0.5001611106687743,0.5,0.5015211908536644,0.5001611106687743,0.5,0.5015211908536644,0.004273969011858744,0.0014428917328409285,0.023054400476960203
or_1_of_6,23,0.09784833253726985,0.0127789046653144,0.15416896096983387,0.04949103544999144,0.007272727272727273,0.20532398584430017,0.9938014826445243,0.9988033149271065,0.971653940987053,0.9964564743220967,0.9985560759015856,0.9847185335832089,0.00619851735547579,0.0011966850728936454,0.028346059012947133,0.9505089645500086,0.9927272727272728,0.7946760141556999,0.06540044460815646,0.0307838098882875,0.16890515417624483,0.06869401523908962,0.028965244036796185,0.1933579790980218,0.045675398822538835,0.0084775444510621,0.1457975824489908,0.9904840754688277,0.9974404277853066,0.9584275166343654,0.5216462590472579,0.5036052148696847,0.5884889634156767,0.5216462590472579,0.5036052148696847,0.5884889634156767,0.012086817638196525,0.0029035820340743306,0.06236008451618145
traditional_2_of_6,23,0.06310071072254535,0.04218004218004218,0.1868384529819966,0.0026847316540394898,0.0,0.013373854597022167,0.9997685084952085,1.0,0.9985227123462678,0.9957206697191807,0.9985439065268225,0.9784768188707256,0.00023149150479136242,0.0,0.001477287653732101,0.9973152683459605,1.0,0.9866261454029778,0.025387442099987306,0.015140977398807775,0.037150550832918176,0.0177232714728727,0.010093103293385097,0.02483727642629969,0.017022599380492963,0.00806353486357337,0.0492203730692538,0.9955038415562983,0.9985439065268225,0.9771382285710669,0.501226620074624,0.5,0.505948283471645,0.5216566298922661,0.5036052148696847,0.5885761324748041,0.013130905443270367,0.0032437918366981693,0.06608980987228102
weighted_fire_specificity_silence_sensitivity_tau_0_1,23,0.056841438561691174,0.011652610227394042,0.14277549329604688,0.049355165884774045,0.007272727272727273,0.2052824511165805,0.9938022049727333,0.9988033149271065,0.9716541430432559,0.996456295055607,0.9985560759015856,0.9847184788642683,0.006197795027266615,0.0011966850728936454,0.028345856956744134,0.9506448341152259,0.9927272727272728,0.7947175488834195,0.06770919219741818,0.030798389007344235,0.17087350007193597,0.07197659939380974,0.030211756115370574,0.19583597836774685,0.042075240735237336,0.008232981569078418,0.14607931858948772,0.9904846165423208,0.9974445764743208,0.9584276631995532,0.5215786854287537,0.503609367607377,0.5884682970799183,0.5215801515709417,0.5036091788152126,0.5884538828155387,0.013650621042275246,0.0029035820340743306,0.06635661132316857
weighted_fire_specificity_silence_sensitivity_tau_0_2,23,0.056841438561691174,0.011652610227394042,0.14277549329604688,0.049355165884774045,0.007272727272727273,0.2052824511165805,0.9938022049727333,0.9988033149271065,0.9716541430432559,0.996456295055607,0.9985560759015856,0.9847184788642683,0.006197795027266615,0.0011966850728936454,0.028345856956744134,0.9506448341152259,0.9927272727272728,0.7947175488834195,0.06770919219741818,0.030798389007344235,0.17087350007193597,0.07197659939380974,0.030211756115370574,0.19583597836774685,0.042075240735237336,0.008232981569078418,0.14607931858948772,0.9904846165423208,0.9974445764743208,0.9584276631995532,0.5215786854287537,0.503609367607377,0.5884682970799183,0.5215801515709417,0.5036091788152126,0.5884538828155387,0.013650621042275246,0.0029035820340743306,0.06635661132316857
weighted_fire_specificity_silence_sensitivity_tau_0_3,23,0.056841438561691174,0.011652610227394042,0.14277549329604688,0.049355165884774045,0.007272727272727273,0.2052824511165805,0.9938022049727333,0.9988033149271065,0.9716541430432559,0.996456295055607,0.9985560759015856,0.9847184788642683,0.006197795027266615,0.0011966850728936454,0.028345856956744134,0.9506448341152259,0.9927272727272728,0.7947175488834195,0.06770919219741818,0.030798389007344235,0.17087350007193597,0.07197659939380974,0.030211756115370574,0.19583597836774685,0.042075240735237336,0.008232981569078418,0.14607931858948772,0.9904846165423208,0.9974445764743208,0.9584276631995532,0.5215786854287537,0.503609367607377,0.5884682970799183,0.5215801515709417,0.5036091788152126,0.5884538828155387,0.013650621042275246,0.0029035820340743306,0.06635661132316857
