fold,strategy,family,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc
0,tool:codeql,CWE-20,3,57,47773,382,48215,385,47830,0.05,0.007792207792207792,0.9988082793226009,0.9920672827328418,0.0011917206773991219,0.9922077922077922,0.9908949497044488,0.5033002435574043,0.013483146067415729,0.009375,0.016663269716149228,0.5033002435574043,0.010930424261603474
0,tool:codeql,CWE-74,0,0,48027,188,48215,188,48027,,0.0,1.0,0.9961007985066888,0.0,1.0,0.9961007985066888,0.5,,,,0.5,0.002473216996770199
0,tool:codeql,CWE-118,12,37,46061,2105,48215,2117,46098,0.24489795918367346,0.005668398677373642,0.9991973621415245,0.956296972968484,0.000802637858475422,0.9943316013226263,0.9555739914964223,0.5024328804094491,0.011080332409972301,0.007044734061289187,0.03128843904426767,0.5024328804094491,0.04679120341244998
0,tool:codeql,CWE-190,1,25,47909,280,48215,281,47934,0.038461538461538464,0.0035587188612099642,0.9994784495347769,0.9941895453319223,0.000521550465223015,0.99644128113879,0.9936741677901069,0.5015185841979934,0.006514657980456025,0.004347826086956522,0.009958254856761824,0.5015185841979934,0.005625607306673103
0,tool:codeql,CWE-191,0,12,48170,33,48215,33,48182,0.0,0.0,0.9997509443360592,0.999315395307346,0.0002490556639408908,1.0,0.9990666804936223,0.4998754721680296,,,-0.00041292211888682777,0.4998754721680296,0.00035528861161439584
0,tool:codeql,CWE-269,0,0,48192,23,48215,23,48192,,0.0,1.0,0.9995229700300736,0.0,1.0,0.9995229700300736,0.5,,,,0.5,0.0005875953074850901
0,tool:codeql,CWE-285,2,33,48126,54,48215,56,48159,0.05714285714285714,0.03571428571428571,0.9993147698249548,0.9988792029887921,0.0006852301750451629,0.9642857142857143,0.9981955822876698,0.5175145277696203,0.04395604395604395,0.03861003861003861,0.04429898255913123,0.5175145277696203,0.003077314970935229
0,tool:codeql,CWE-287,0,0,48152,63,48215,63,48152,,0.0,1.0,0.9986933526910713,0.0,1.0,0.9986933526910713,0.5,,,,0.5,0.001372373842629499
0,tool:codeql,CWE-311,0,0,48207,8,48215,8,48207,,0.0,1.0,0.9998340765321996,0.0,1.0,0.9998340765321996,0.5,,,,0.5,0.0001444707511886529
0,tool:codeql,CWE-369,0,0,48161,54,48215,54,48161,,0.0,1.0,0.9988800165923468,0.0,1.0,0.9988800165923468,0.5,,,,0.5,0.0012023764950229731
0,tool:codeql,CWE-400,0,4,48096,115,48215,115,48100,0.0,0.0,0.9999168399168399,0.9976146522577835,8.316008316008316e-05,1.0,0.9975318884164679,0.49995841995841994,,,-0.00044538266312064875,0.49995841995841994,0.001987737628423374
0,tool:codeql,CWE-404,0,22,47947,246,48215,246,47969,0.0,0.0,0.9995413704684275,0.9948955242462598,0.00045862953157247387,1.0,0.994441563828684,0.49977068523421375,,,-0.001530053372879817,0.49977068523421375,0.0031703596262449042
0,tool:codeql,CWE-476,0,0,47879,336,48215,336,47879,,0.0,1.0,0.99303121435238,0.0,1.0,0.99303121435238,0.5,,,,0.5,0.0081511781807958
0,tool:codeql,CWE-573,0,4,48200,11,48215,11,48204,0.0,0.0,0.9999170193344951,0.9997718363029184,8.298066550493735e-05,1.0,0.9996888934978742,0.49995850966724753,,,-0.00013759787581171576,0.49995850966724753,0.00020386790272118827
0,tool:codeql,CWE-662,0,10,48046,159,48215,159,48056,0.0,0.0,0.9997919094389879,0.9967015869723058,0.0002080905610121525,1.0,0.9964948667427149,0.49989595471949394,,,-0.000828473667283809,0.49989595471949394,0.003710410207525104
0,tool:codeql,CWE-665,0,14,48173,28,48215,28,48187,0.0,0.0,0.9997094652084587,0.9994190991888136,0.00029053479154128706,1.0,0.9991289017940475,0.49985473260422936,,,-0.0004108185683294165,0.49985473260422936,0.0005848047020205228
0,tool:codeql,CWE-668,0,6,47936,273,48215,273,47942,0.0,0.0,0.9998748487756038,0.9943371569623929,0.00012515122439614535,1.0,0.9942134190604583,0.4999374243878019,,,-0.0008418501884062946,0.4999374243878019,0.004772257304382439
0,tool:codeql,CWE-704,1,16,48111,87,48215,88,48127,0.058823529411764705,0.011363636363636364,0.9996675462837908,0.9981949458483754,0.0003324537162091965,0.9886363636363636,0.9978637353520688,0.5055155913237136,0.019047619047619046,0.013550135501355016,0.025079497899128948,0.5055155913237136,0.004006001970803776
