base_strategy,strategy,tau,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
or_1_of_6,or_1_of_6,,2125.8,2275.0,41003.8,2806.6,48211.2,4932.4,43278.8,0.48308963133966476,0.43098539658813734,0.9474337135376423,0.9359374595723541,0.05256628646235765,0.5690146034118627,0.8945970388476395,0.6892095550628898,0.45554319259939396,0.44048187429538765,0.3982024964025221,0.6892095550628898,0.2709234972860693,0.46335794066349295
traditional_2_of_6,traditional_2_of_6,,148.8,112.8,43166.0,4783.6,48211.2,4932.4,43278.8,0.5686486716861385,0.030165875191382314,0.9973936561390013,0.9002369198330402,0.002606343860998667,0.9698341248086176,0.8984385361760141,0.5137797656651918,0.05729021613549966,0.0372134138191258,0.11366468464898145,0.6894414971499085,0.2841981253969181,0.43035449778398444
weighted_fire_specificity_silence_sensitivity,weighted_fire_specificity_silence_sensitivity_tau_0_1,0.1,2125.8,2275.0,41003.8,2806.6,48211.2,4932.4,43278.8,0.48308963133966476,0.43098539658813734,0.9474337135376423,0.9359374595723541,0.05256628646235765,0.5690146034118627,0.8945970388476395,0.6892095550628898,0.45554319259939396,0.44048187429538765,0.3982024964025221,0.6895632353747136,0.2878555969086729,0.46326355652002904
dst_dempster_fire_specificity_silence_sensitivity,dst_dempster_fire_specificity_silence_sensitivity_tau_0_6,0.6,2125.8,2275.0,41003.8,2806.6,48211.2,4932.4,43278.8,0.48308963133966476,0.43098539658813734,0.9474337135376423,0.9359374595723541,0.05256628646235765,0.5690146034118627,0.8945970388476395,0.6892095550628898,0.45554319259939396,0.44048187429538765,0.3982024964025221,0.6901005086364768,0.31045971472645806,0.46326355652002904
dst_pcr6_fire_specificity_silence_sensitivity,dst_pcr6_fire_specificity_silence_sensitivity_tau_0_7,0.7,2125.8,2275.0,41003.8,2806.6,48211.2,4932.4,43278.8,0.48308963133966476,0.43098539658813734,0.9474337135376423,0.9359374595723541,0.05256628646235765,0.5690146034118627,0.8945970388476395,0.6892095550628898,0.45554319259939396,0.44048187429538765,0.3982024964025221,0.6900976975327751,0.30882216334113527,0.46326355652002904
dst_yager_fire_specificity_silence_sensitivity,dst_yager_fire_specificity_silence_sensitivity_tau_0_6,0.6,2125.8,2275.0,41003.8,2806.6,48211.2,4932.4,43278.8,0.48308963133966476,0.43098539658813734,0.9474337135376423,0.9359374595723541,0.05256628646235765,0.5690146034118627,0.8945970388476395,0.6892095550628898,0.45554319259939396,0.44048187429538765,0.3982024964025221,0.6900176918906566,0.30646630440224476,0.46326355652002904
naive_bayes,naive_bayes_tau_0_1,0.1,1700.6,1782.0,41496.8,3231.8,48211.2,4932.4,43278.8,0.4883750943048836,0.34478069522667554,0.9588250046688156,0.927746337158186,0.041174995331184384,0.6552193047733245,0.8960033508062979,0.6518028499477456,0.40419158091242346,0.3663165016948392,0.3554342870644006,0.6653022466923941,0.27358651492100244,0.5099272225234054
bks,bks_tau_0_1,0.1,1699.4,1779.2,41499.6,3233.0,48211.2,4932.4,43278.8,0.4885929916370384,0.3445368838754475,0.9588897001104619,0.9277259740830754,0.04111029988953794,0.6554631161245525,0.896036539716093,0.6517132919929548,0.4040980881305867,0.36612056924460873,0.3554135760025469,0.665573490681476,0.2766533452830929,0.5111045205795107
logistic_regression,logistic_regression_tau_0_6,0.6,1889.8,1991.2,41287.6,3042.6,48211.2,4932.4,43278.8,0.4869584095520019,0.3831373829289851,0.9539912290840482,0.931365051007569,0.04600877091595185,0.6168626170710149,0.895588517613545,0.6685643060065166,0.4288470289864855,0.40019869817697956,0.37553548391773084,0.6496902564764586,0.28286608524392204,0.5176608209678651
logistic_interactions,logistic_interactions_tau_0_6,0.6,1895.8,1999.0,41279.8,3036.6,48211.2,4932.4,43278.8,0.4867760076381494,0.3843539890165048,0.9538109995747066,0.9314790726292758,0.04618900042529351,0.6156460109834951,0.8955511800147358,0.6690824942956056,0.42953637802314565,0.4012348967819356,0.3760812644256831,0.6499733011952351,0.27895307555255927,0.5181231286697541
decision_tree,decision_tree_tau_0_6,0.6,1885.8,1987.4,41291.4,3046.6,48211.2,4932.4,43278.8,0.48690376521900935,0.38232678606366394,0.9540790338377338,0.9312869303243897,0.045920966162266146,0.617673213936336,0.8955843696128563,0.668202909950699,0.428317609473371,0.399483563982993,0.37507315855540524,0.6486910661078212,0.27706749055298285,0.5170663089864578
