language,fraction,repeat,n_samples,families_kept,gt_kept,n_strategies,baseline_strategy,traditional_f1,or_f1,fusion_f1_mean,fusion_f1_max,best_fusion_strategy,bks_f1,best_fusion_minus_traditional
java,0.1,0,874,18,661,149,traditional_2_of_3,0.5381337115585195,0.4567806979620694,0.4606606545780693,0.8617604617604618,dst_yager_fire_ppv_silence_npv_tau_0_9,0.7707314907314908,0.3236267502019423
java,0.1,1,874,18,700,149,traditional_2_of_3,0.5111566445061385,0.4569889846840306,0.43114540934242324,0.7601851851851852,bks_tau_0_8,0.7601851851851852,0.24902854067904667
java,0.1,2,874,16,638,149,traditional_2_of_3,0.4865888784868394,0.4301340376651339,0.43427312616392666,0.9136363636363637,bks_tau_0_8,0.9136363636363637,0.4270474851495243
java,0.25,0,2184,22,1810,149,traditional_2_of_3,0.4874255898654643,0.3572458099917264,0.398976940024012,0.7324974364562464,dst_yager_fire_ppv_silence_npv_tau_0_9,0.6259645523558567,0.24507184659078213
java,0.25,1,2184,23,1763,149,traditional_2_of_3,0.5185451257500646,0.3653395032927768,0.3783568495868157,0.8697619047619047,bks_tau_0_9,0.8697619047619047,0.3512167790118401
java,0.25,2,2184,21,1708,149,traditional_2_of_3,0.4498266534627279,0.35412884658981464,0.37934283173509964,0.8979344729344729,bks_tau_0_9,0.8979344729344729,0.44810781947174505
java,0.5,0,4369,26,3622,149,traditional_2_of_3,0.43791283112832957,0.3130586867592472,0.3551716383278392,0.6391962502620444,bks_tau_0_7,0.6391962502620444,0.20128341913371484
java,0.5,1,4369,25,3587,149,traditional_2_of_3,0.4653956890653067,0.3409075665321864,0.35194650281403156,0.625833158371217,bks_tau_0_9,0.625833158371217,0.1604374693059103
java,0.5,2,4369,23,3467,149,traditional_2_of_3,0.451237532138271,0.33506760840729743,0.36346728854437416,0.6797656694681422,bks_tau_0_7,0.6797656694681422,0.2285281373298712
java,0.75,0,6554,26,5476,149,traditional_2_of_3,0.4250933602388911,0.3098177658936606,0.33860748619824577,0.6351202713008746,bks_tau_0_7,0.6351202713008746,0.21002691106198346
java,0.75,1,6554,25,5397,149,traditional_2_of_3,0.4507670768078798,0.3247282817956908,0.33858843172097214,0.6412085088070419,bks_tau_0_7,0.6412085088070419,0.19044143199916214
java,0.75,2,6554,25,5261,149,traditional_2_of_3,0.4336058746260808,0.3096205266721431,0.3446261326187094,0.6706840949729072,bks_tau_0_7,0.6706840949729072,0.23707822034682635
java,1.0,0,8738,27,7269,149,traditional_2_of_3,0.4172609786885403,0.30313445100358,0.33343812001963874,0.6441796935746045,bks_tau_0_7,0.6441796935746045,0.2269187148860642
