fold,tool,family,tp,fp,tn,fn,ppv,npv,fpr,fnr,sensitivity,specificity,positive_support,supported
0,codeql,CWE-20,10,1234,5492,262,0.008038585209003215,0.9544664581160931,0.18346714243235207,0.9632352941176471,0.03676470588235294,0.8165328575676479,272,True
0,codeql,CWE-74,544,834,5023,597,0.39477503628447025,0.8937722419928825,0.1423937169199249,0.523225241016652,0.4767747589833479,0.8576062830800751,1141,True
0,codeql,CWE-116,0,19,6932,47,0.0,0.9932655108181688,0.002733419651848655,1.0,0.0,0.9972665803481513,47,True
0,codeql,CWE-190,4,4,6882,108,0.5,0.984549356223176,0.0005808887598024978,0.9642857142857143,0.03571428571428571,0.9994191112401976,112,True
0,codeql,CWE-191,0,5,6919,74,0.0,0.9894179894179894,0.0007221259387637204,1.0,0.0,0.9992778740612362,74,True
0,codeql,CWE-269,0,0,6929,69,,0.9901400400114319,0.0,1.0,0.0,1.0,69,False
0,codeql,CWE-285,1,22,6743,232,0.043478260869565216,0.9667383512544803,0.0032520325203252032,0.9957081545064378,0.004291845493562232,0.9967479674796748,233,True
0,codeql,CWE-287,35,52,6448,463,0.40229885057471265,0.9330053537838229,0.008,0.929718875502008,0.07028112449799197,0.992,498,True
0,codeql,CWE-311,70,123,6566,239,0.3626943005181347,0.9648787656135195,0.01838839886380625,0.7734627831715211,0.22653721682847897,0.9816116011361937,309,True
0,codeql,CWE-326,0,2,6976,20,0.0,0.9971412235563178,0.00028661507595299513,1.0,0.0,0.999713384924047,20,True
0,codeql,CWE-327,191,71,6647,89,0.7290076335877863,0.9867874109263658,0.010568621613575468,0.31785714285714284,0.6821428571428572,0.9894313783864245,280,True
0,codeql,CWE-330,176,0,6798,24,1.0,0.9964819700967458,0.0,0.12,0.88,1.0,200,True
0,codeql,CWE-345,26,19,6555,398,0.5777777777777777,0.9427585215015102,0.002890173410404624,0.9386792452830188,0.06132075471698113,0.9971098265895953,424,True
0,codeql,CWE-400,1,4,6792,201,0.2,0.9712569712569713,0.0005885815185403178,0.995049504950495,0.0049504950495049506,0.9994114184814596,202,True
0,codeql,CWE-501,47,24,6902,25,0.6619718309859155,0.996390934026274,0.0034652035807103665,0.3472222222222222,0.6527777777777778,0.9965347964192897,72,True
0,codeql,CWE-610,5,5,6779,209,0.5,0.9700915855752719,0.0007370283018867925,0.9766355140186916,0.02336448598130841,0.9992629716981132,214,True
0,codeql,CWE-662,1,1,6921,75,0.5,0.9892795883361921,0.0001444669170759896,0.9868421052631579,0.013157894736842105,0.999855533082924,76,True
0,codeql,CWE-665,0,40,6945,13,0.0,0.9981316470250072,0.00572655690765927,1.0,0.0,0.9942734430923408,13,True
0,codeql,CWE-668,13,464,5657,864,0.027253668763102725,0.8675049838981751,0.07580460709034471,0.9851767388825542,0.014823261117445839,0.9241953929096552,877,True
0,codeql,CWE-704,0,3,6962,33,0.0,0.9952823445318084,0.00043072505384063173,1.0,0.0,0.9995692749461593,33,True
0,codeql,CWE-705,0,1449,5545,4,0.0,0.9992791493962876,0.20717758078352874,1.0,0.0,0.7928224192164712,4,True
0,codeql,CWE-706,12,19,6741,226,0.3870967741935484,0.967561360700445,0.0028106508875739645,0.9495798319327731,0.05042016806722689,0.9971893491124261,238,True
0,codeql,CWE-754,0,3,6977,18,0.0,0.9974267333809864,0.0004297994269340974,1.0,0.0,0.9995702005730659,18,True
0,codeql,CWE-807,1,0,6980,17,1.0,0.9975703873088466,0.0,0.9444444444444444,0.05555555555555555,1.0,18,True
0,codeql,CWE-834,0,3,6974,21,0.0,0.9969978556111508,0.0004299842339114232,1.0,0.0,0.9995700157660886,21,True
