cwe,family,level
CWE-1,,pillar_child
CWE-3,,pillar_child
CWE-6,CWE-330,pillar_child
CWE-7,CWE-755,pillar_child
CWE-9,CWE-269,pillar_child
CWE-11,CWE-489,pillar_child
CWE-15,CWE-668,pillar_child
CWE-20,CWE-20,pillar_child
CWE-22,CWE-706,pillar_child
CWE-23,CWE-706,pillar_child
CWE-24,CWE-706,pillar_child
CWE-25,CWE-706,pillar_child
CWE-34,CWE-706,pillar_child
CWE-35,CWE-706,pillar_child
CWE-36,CWE-706,pillar_child
CWE-40,CWE-706,pillar_child
CWE-41,CWE-706,pillar_child
CWE-46,CWE-706,pillar_child
CWE-47,CWE-706,pillar_child
CWE-48,CWE-706,pillar_child
CWE-58,CWE-706,pillar_child
CWE-59,CWE-706,pillar_child
CWE-61,CWE-706,pillar_child
CWE-64,CWE-706,pillar_child
CWE-67,CWE-706,pillar_child
CWE-69,CWE-706,pillar_child
CWE-73,CWE-668,pillar_child
CWE-74,CWE-74,pillar_child
CWE-75,CWE-74,pillar_child
CWE-77,CWE-74,pillar_child
CWE-78,CWE-74,pillar_child
CWE-79,CWE-74,pillar_child
CWE-80,CWE-74,pillar_child
CWE-81,CWE-74,pillar_child
CWE-82,CWE-74,pillar_child
CWE-83,CWE-74,pillar_child
CWE-84,CWE-74,pillar_child
CWE-85,CWE-74,pillar_child
CWE-86,CWE-74,pillar_child
CWE-87,CWE-74,pillar_child
CWE-88,CWE-74,pillar_child
CWE-89,CWE-74,pillar_child
CWE-90,CWE-74,pillar_child
CWE-91,CWE-74,pillar_child
CWE-93,CWE-74,pillar_child
CWE-94,CWE-74,pillar_child
CWE-95,CWE-74,pillar_child
CWE-96,CWE-74,pillar_child
CWE-97,CWE-74,pillar_child
CWE-98,CWE-669,pillar_child
CWE-99,CWE-74,pillar_child
CWE-106,CWE-20,pillar_child
CWE-111,CWE-573,pillar_child
CWE-112,CWE-20,pillar_child
CWE-113,CWE-74,pillar_child
CWE-114,CWE-668,pillar_child
CWE-115,CWE-436,pillar_child
CWE-116,CWE-116,pillar_child
CWE-117,CWE-116,pillar_child
CWE-118,CWE-118,pillar_child
CWE-119,CWE-118,pillar_child
CWE-120,CWE-118,pillar_child
CWE-121,CWE-118,pillar_child
CWE-122,CWE-118,pillar_child
CWE-125,CWE-118,pillar_child
CWE-126,CWE-118,pillar_child
CWE-127,CWE-118,pillar_child
CWE-128,CWE-128,pillar_child
CWE-129,CWE-20,pillar_child
CWE-130,CWE-228,pillar_child
CWE-131,CWE-131,pillar_child
CWE-134,CWE-668,pillar_child
CWE-138,CWE-138,pillar_child
CWE-140,CWE-138,pillar_child
CWE-146,CWE-138,pillar_child
CWE-147,CWE-138,pillar_child
CWE-149,CWE-138,pillar_child
CWE-150,CWE-138,pillar_child
CWE-158,CWE-138,pillar_child
CWE-162,CWE-138,pillar_child
CWE-172,CWE-172,pillar_child
CWE-173,CWE-172,pillar_child
CWE-176,CWE-172,pillar_child
CWE-177,CWE-172,pillar_child
CWE-179,CWE-696,pillar_child
CWE-180,CWE-696,pillar_child
CWE-181,CWE-696,pillar_child
CWE-182,CWE-182,pillar_child
CWE-183,CWE-183,pillar_child
CWE-184,CWE-184,pillar_child
CWE-185,CWE-185,pillar_child
CWE-188,CWE-758,pillar_child
CWE-190,CWE-190,pillar_child
CWE-191,CWE-191,pillar_child
CWE-192,CWE-704,pillar_child
CWE-194,CWE-704,pillar_child
CWE-196,CWE-704,pillar_child
CWE-197,CWE-704,pillar_child
CWE-200,CWE-668,pillar_child
CWE-201,CWE-668,pillar_child
CWE-202,CWE-285,pillar_child
CWE-203,CWE-668,pillar_child
CWE-204,CWE-668,pillar_child
CWE-205,CWE-668,pillar_child
CWE-207,CWE-668,pillar_child
CWE-208,CWE-668,pillar_child
CWE-209,CWE-668,pillar_child
CWE-210,CWE-668,pillar_child
CWE-211,CWE-668,pillar_child
CWE-212,CWE-669,pillar_child
CWE-213,CWE-668,pillar_child
CWE-214,CWE-668,pillar_child
CWE-215,CWE-668,pillar_child
CWE-219,CWE-668,pillar_child
CWE-222,CWE-221,pillar_child
