strategy,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
tool:codeql,357.4,262.0,363.2,765.0,1747.6,1122.4,625.2,0.5769070252124664,0.31843248514151246,0.5809416990251495,0.32195974847186015,0.41905830097485053,0.6815675148584875,0.41233778092376633,0.44968709208333096,0.41033704290259365,0.3497654896101953,-0.10087874363995442,0.44968709208333096,0.5557898877507096,0.779325408626829
tool:joern,5.2,0.2,625.0,1117.2,1747.6,1122.4,625.2,0.9714285714285715,0.0046364149672005455,0.99968,0.35874593337361,0.00032,0.9953635850327995,0.36061237388485107,0.5021582074836003,0.009223451432650985,0.0057877707128450055,0.036977267682327654,0.5021582074836003,0.5554820652975734,0.858095238095238
tool:semgrep,469.2,150.4,474.8,653.2,1747.6,1122.4,625.2,0.7573471617853433,0.4180424953749945,0.7594425788482019,0.4209274792028168,0.24055742115179815,0.5819575046250055,0.5401761484127905,0.5887425371115982,0.538681291454522,0.4591717083548052,0.1778780800128179,0.5887425371115982,0.6439920790095951,0.6944996864800912
or_1_of_3,525.2,289.4,335.8,597.2,1747.6,1122.4,625.2,0.6447590421604057,0.467936520782704,0.5371210829851725,0.35991631391614687,0.46287891701482753,0.532063479217296,0.4926782153500252,0.5025288018839382,0.5422534306816535,0.4950702197199243,0.004862724199636731,0.5025288018839382,0.5792355973192974,0.7444113125294259
traditional_2_of_3,232.2,74.0,551.2,890.2,1747.6,1122.4,625.2,0.7584638877163197,0.20687050952494151,0.881641812075039,0.382400223219575,0.11835818792496108,0.7931294904750585,0.44826578031191777,0.5442561607999903,0.32505555302795874,0.242075693272162,0.11165828792529849,0.5228423126948041,0.638733816658531,0.9294239107126104
weighted_fire_specificity_silence_sensitivity_tau_0_1,525.0,289.4,335.8,597.4,1747.6,1122.4,625.2,0.6446719678275443,0.4677571485853946,0.5371210829851725,0.35983783896910004,0.46287891701482753,0.5322428514146054,0.49256327282128953,0.5024391157852836,0.5421022796519979,0.49489936613237706,0.00469040189727942,0.48274010583311017,0.5830334499479669,0.7443109574138036
weighted_fire_specificity_silence_sensitivity_tau_0_2,525.0,289.4,335.8,597.4,1747.6,1122.4,625.2,0.6446719678275443,0.4677571485853946,0.5371210829851725,0.35983783896910004,0.46287891701482753,0.5322428514146054,0.49256327282128953,0.5024391157852836,0.5421022796519979,0.49489936613237706,0.00469040189727942,0.48274010583311017,0.5830334499479669,0.7443109574138036
weighted_fire_specificity_silence_sensitivity_tau_0_3,525.0,289.4,335.8,597.4,1747.6,1122.4,625.2,0.6446719678275443,0.4677571485853946,0.5371210829851725,0.35983783896910004,0.46287891701482753,0.5322428514146054,0.49256327282128953,0.5024391157852836,0.5421022796519979,0.49489936613237706,0.00469040189727942,0.48274010583311017,0.5830334499479669,0.7443109574138036
weighted_fire_specificity_silence_sensitivity_tau_0_4,525.0,289.4,335.8,597.4,1747.6,1122.4,625.2,0.6446719678275443,0.4677571485853946,0.5371210829851725,0.35983783896910004,0.46287891701482753,0.5322428514146054,0.49256327282128953,0.5024391157852836,0.5421022796519979,0.49489936613237706,0.00469040189727942,0.48274010583311017,0.5830334499479669,0.7443109574138036
weighted_fire_specificity_silence_sensitivity_tau_0_5,524.8,289.4,335.8,597.6,1747.6,1122.4,625.2,0.644587126198585,0.46757857715682316,0.5371210829851725,0.35975826864882954,0.46287891701482753,0.5324214228431768,0.4924487252840616,0.5023498300709978,0.5419539160583672,0.4947302112519859,0.004519056370224463,0.48274010583311017,0.5830334499479669,0.7445902850962115
weighted_fire_specificity_silence_sensitivity_tau_0_6,511.8,284.4,340.8,610.6,1747.6,1122.4,625.2,0.6427978472741642,0.4560182763248569,0.545120075366593,0.35825152382548187,0.45487992463340704,0.5439817236751431,0.4878732161378272,0.5005691758457249,0.5334242506523813,0.4841025461837935,0.001092948895312357,0.48274010583311017,0.5830334499479669,0.7451248666450194
weighted_fire_specificity_silence_sensitivity_tau_0_7,474.0,268.0,357.2,648.4,1747.6,1122.4,625.2,0.6388205030584413,0.4223251909346654,0.5713452707462932,0.3552262181791331,0.4286547292537069,0.5776748090653345,0.475624923951672,0.49683523084047926,0.5084303876821906,0.45300547119228635,-0.006138540666259015,0.48274010583311017,0.5830334499479669,0.6714563904032926
weighted_fire_specificity_silence_sensitivity_tau_0_8,471.2,267.0,358.2,651.2,1747.6,1122.4,625.2,0.6383192052356754,0.41983166607102335,0.5729437371999673,0.3548781529875834,0.4270562628000327,0.5801683339289767,0.4745959557578342,0.4963877016354953,0.5064682498591759,0.4506614943879321,-0.007010456938274208,0.48274010583311017,0.5830334499479669,0.6375047743221268
weighted_fire_specificity_silence_sensitivity_tau_0_9,417.6,266.4,358.8,704.8,1747.6,1122.4,625.2,0.6106328292970924,0.3720651862026719,0.5739042500204801,0.33730082610882595,0.42609574997951993,0.6279348137973282,0.44426577108695564,0.472984718111576,0.4623480965467711,0.4035836235161477,-0.053039106060533546,0.48274010583311017,0.5830334499479669,0.6684892448802489
dst_dempster_fire_specificity_silence_sensitivity_tau_0_1,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.5442293032813371,0.6978209311749299,0.9194310280019001
dst_dempster_fire_specificity_silence_sensitivity_tau_0_2,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.5442293032813371,0.6978209311749299,0.8538802338711008
dst_dempster_fire_specificity_silence_sensitivity_tau_0_3,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.5442293032813371,0.6978209311749299,0.831250206731383
dst_dempster_fire_specificity_silence_sensitivity_tau_0_4,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.5442293032813371,0.6978209311749299,0.8066600161485752
dst_dempster_fire_specificity_silence_sensitivity_tau_0_5,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.5442293032813371,0.6978209311749299,0.4542252403153283
dst_dempster_fire_specificity_silence_sensitivity_tau_0_6,525.0,289.4,335.8,597.4,1747.6,1122.4,625.2,0.6446719678275443,0.4677571485853946,0.5371210829851725,0.35983783896910004,0.46287891701482753,0.5322428514146054,0.49256327282128953,0.5024391157852836,0.5421022796519979,0.49489936613237706,0.00469040189727942,0.5442293032813371,0.6978209311749299,0.7443109574138036
dst_dempster_fire_specificity_silence_sensitivity_tau_0_7,525.0,289.4,335.8,597.4,1747.6,1122.4,625.2,0.6446719678275443,0.4677571485853946,0.5371210829851725,0.35983783896910004,0.46287891701482753,0.5322428514146054,0.49256327282128953,0.5024391157852836,0.5421022796519979,0.49489936613237706,0.00469040189727942,0.5442293032813371,0.6978209311749299,0.7443109574138036
dst_dempster_fire_specificity_silence_sensitivity_tau_0_8,511.2,281.8,343.4,611.2,1747.6,1122.4,625.2,0.6446579113441646,0.4554572651619135,0.5492749586302941,0.3597354008931659,0.45072504136970587,0.5445427348380865,0.48901463486199565,0.5023661118961038,0.533744344175662,0.48383801514126423,0.004559611701883103,0.5442293032813371,0.6978209311749299,0.7402095909716733
dst_dempster_fire_specificity_silence_sensitivity_tau_0_9,472.0,248.8,376.4,650.4,1747.6,1122.4,625.2,0.6548631889515889,0.42054136810482445,0.6020591693290734,0.36658159683232244,0.39794083067092656,0.5794586318951755,0.4854688749033354,0.5113002687169489,0.5121256424121367,0.4529352448870643,0.02201498592235074,0.5442293032813371,0.6978209311749299,0.7210406493817146
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_1,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.5408777385802026,0.6951291748977887,0.9194310280019001
dst_pcr6_fire_specificity_silence_sensitivity_tau_0_2,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422493702209586,1.0,0.0,,1.0,0.0,0.6422493702209586,0.5,0.7821576161569329,0.899761064143448,,0.5408777385802026,0.6951291748977887,0.8538802338711008
