strategy,family,precision,recall,specificity,npv,fpr,fnr,f1,f2,mcc,accuracy,balanced_accuracy,roc_auc,pr_auc,positive_support
tool:codeql,CWE-116,0.0,0.0,0.9975840108940979,0.9933466979090909,0.0024159891059020297,1.0,,,-0.0038625171733067025,0.9909631198531299,0.49879200544704894,0.49879200544704894,0.004224029237446174,58
tool:codeql,CWE-190,0.375,0.02857142857142857,0.9993015077079221,0.9844180323902257,0.0006984922920779795,0.9714285714285715,0.08673835125448028,0.05809814391050089,0.11145508122731246,0.9837484049127619,0.5139364681396753,0.5139364681396753,0.02644364776454114,140
tool:codeql,CWE-191,0.0,0.0,0.9994214961912771,0.9894652752136299,0.0005785038087229346,1.0,,,-0.003170174949541319,0.9888990288942431,0.49971074809563854,0.49971074809563854,0.011199938317574827,92
tool:codeql,CWE-20,0.008247338972667186,0.03823529411764706,0.8160268611874757,0.9544590824094111,0.1839731388125242,0.9617647058823529,0.01356719726377586,0.02213460938222813,-0.07371849213796913,0.7857620426274236,0.4271310776525614,0.4271310776525614,0.02547518316808207,340
tool:codeql,CWE-269,,0.0,1.0,0.9900428049565541,0.0,1.0,,,,0.9900428049565541,0.5,0.5,0.006911903694493654,87
tool:codeql,CWE-285,0.02857142857142857,0.0034482758620689655,0.9965682211965046,0.9666966417832056,0.0034317788034954255,0.9965517241379309,0.03076923076923077,0.02092050209205021,-0.00028300158192530575,0.9634932510878352,0.5000082485292868,0.5000082485292868,0.04068886658153682,291
tool:codeql,CWE-287,0.38706949089557785,0.0690451612903226,0.9914967484210688,0.932759862861797,0.008503251578931104,0.9309548387096773,0.1168924650731353,0.08255607700501758,0.13881093463676103,0.925724375059205,0.5302709548556958,0.5302709548556958,0.06957835236861584,623
tool:codeql,CWE-311,0.33801629502572894,0.20196470196470195,0.9822851092549714,0.9638193851929296,0.01771489074502856,0.798035298035298,0.25162164478514637,0.2191490968912695,0.23525055384901467,0.9478129574134353,0.5921249056098367,0.5921249056098367,0.1330349983589083,386
tool:codeql,CWE-326,0.0,0.0,0.9996553012694074,0.9970229170025071,0.00034469873059259087,1.0,,,-0.0013239872075725178,0.9966803224548997,0.4998276506347037,0.4998276506347037,0.003652429867716807,26
tool:codeql,CWE-327,0.7453424544968981,0.6857142857142857,0.9901115882761335,0.9869318556524922,0.009888411723866421,0.3142857142857143,0.7129535412173773,0.6960708071316575,0.7028761616411268,0.9779177060042281,0.8379129369952096,0.8379129369952096,0.5117713490462442,350
tool:codeql,CWE-330,0.9954545454545455,0.876,0.9998816568047337,0.9963628343537658,0.00011834319526627219,0.124,0.9313485246087334,0.8972132021624836,0.9317790948174126,0.9963378522068357,0.9379408284023668,0.9379408284023668,0.8711912070379626,250
tool:codeql,CWE-345,0.5709956709956711,0.06037735849056604,0.9970767063857195,0.9426392588095245,0.0029232936142803427,0.939622641509434,0.10896274809140412,0.0734800668038779,0.1712377248621926,0.9402601045206845,0.5287270324381429,0.5287270324381429,0.0867625226263012,530
tool:codeql,CWE-400,0.16666666666666666,0.00392156862745098,0.9995294792169748,0.9712584737589385,0.0004705207830251109,0.996078431372549,0.03773584905660377,0.024271844660194174,0.028243951576004626,0.9708180646312338,0.5017255239222129,0.5017255239222129,0.02508349827053969,252
tool:codeql,CWE-501,0.6563157894736842,0.6333333333333333,0.996531494604959,0.9961850773259261,0.0034685053950409815,0.36666666666666664,0.6430424232281817,0.6368088433305825,0.6403139211725425,0.9927897366992509,0.8149324139691462,0.8149324139691462,0.4249876080868165,90
tool:codeql,CWE-610,0.3833333333333333,0.026415094339622643,0.9991734067527516,0.9701976185836131,0.0008265932472484413,0.9735849056603774,0.08228905597326651,0.05408412288257249,0.09514935081686655,0.9694434860682344,0.5127942505461871,0.5127942505461871,0.048849859441915576,267
tool:codeql,CWE-662,0.5,0.010526315789473684,0.9998847262247839,0.9893549317615851,0.00011527377521613833,0.9894736842105264,0.1,0.06493506493506494,0.1128650158803385,0.9892433241232588,0.5052055210071288,0.5052055210071288,0.0190014225845472,94
tool:codeql,CWE-665,0.0,0.0,0.9942675908198282,0.9981583908689181,0.005732409180171837,1.0,,,-0.003243654837687654,0.9924475357717111,0.4971337954099141,0.4971337954099141,0.001808520595097704,16
tool:codeql,CWE-668,0.02978215711496593,0.016409298464092982,0.923689758790651,0.8673906986743948,0.07631024120934896,0.9835907015359069,0.021150705072099547,0.01802472631422974,-0.07845576588815771,0.8097870954158843,0.47004952862737204,0.47004952862737204,0.07935126580622023,1097
tool:codeql,CWE-704,0.0,0.0,0.9994246205209987,0.9953056043851424,0.0005753794790013301,1.0,,,-0.002073085901499879,0.9947354882986836,0.49971231026049934,0.49971231026049934,0.005515093919368464,41
tool:codeql,CWE-705,0.0,0.0,0.7919248153987226,0.9992774886697801,0.20807518460127733,1.0,,,-0.012260626171263982,0.7914716697010048,0.3959624076993613,0.3959624076993613,0.0006640461415802463,5
tool:codeql,CWE-706,0.3919408369408369,0.05378531073446328,0.9971562993360893,0.9675788949461444,0.002843700663910681,0.9462146892655368,0.09391827294487905,0.06486268527310793,0.1341439358648077,0.9649796356800971,0.5254708050352763,0.5254708050352763,0.06272015668502812,298
tool:codeql,CWE-74,0.3925798753517224,0.47934241197399097,0.8551448781715896,0.8937973961555491,0.14485512182841045,0.520657588026009,0.4314997820599302,0.4589413554283908,0.30946950706251236,0.7937739716498268,0.6672436450727902,0.6672436450727902,0.30525835553156255,1427
tool:codeql,CWE-754,0.0,0.0,0.9995407540418931,0.9973668242147973,0.0004592459581069357,1.0,,,-0.0013956921387708468,0.9969099426864861,0.49977037702094657,0.49977037702094657,0.0024351446285045372,23
tool:codeql,CWE-807,1.0,0.04,1.0,0.9975963199260918,0.0,0.96,0.33333333333333337,0.23809523809523808,0.44670249408097223,0.9975965807033644,0.52,0.52,0.041807500673760864,22
tool:codeql,CWE-834,0.0,0.0,0.999425873826319,0.9970231146556289,0.0005741261736810094,1.0,,,-0.0016368168442753028,0.9964522722838621,0.4997129369131595,0.4997129369131595,0.00313424695783421,26
tool:codeql,CWE-913,0.5,0.009523809523809523,0.9997673065735893,0.9878651774786595,0.00023269342641070388,0.9904761904761905,0.0909090909090909,0.058823529411764705,0.10660717682464496,0.9876393829544974,0.5046455580486995,0.5046455580486995,0.05202552843581685,107
tool:codeql,CWE-923,0.0,0.0,0.9998808814770698,0.9621146703322635,0.00011911852293031567,1.0,,,-0.004782052476925189,0.9620045208953188,0.4999404407385349,0.4999404407385349,0.021698273675510128,331
tool:joern,CWE-116,,0.0,1.0,0.9933628747877409,0.0,1.0,,,,0.9933628747877409,0.5,0.5,0.004226745645185005,58
tool:joern,CWE-190,,0.0,1.0,0.9839778976841469,0.0,1.0,,,,0.9839778976841469,0.5,0.5,0.012120947940244603,140
tool:joern,CWE-191,,0.0,1.0,0.9894713742942963,0.0,1.0,,,,0.9894713742942963,0.5,0.5,0.011208041703251927,92
tool:joern,CWE-20,,0.0,1.0,0.9610891800900709,0.0,1.0,,,,0.9610891800900709,0.5,0.5,0.02537153736270973,340
tool:joern,CWE-269,,0.0,1.0,0.9900428049565541,0.0,1.0,,,,0.9900428049565541,0.5,0.5,0.006911903694493654,87
tool:joern,CWE-285,,0.0,1.0,0.9666968119513619,0.0,1.0,,,,0.9666968119513619,0.5,0.5,0.037761383896875465,291
tool:joern,CWE-287,,0.0,1.0,0.9287013301412594,0.0,1.0,,,,0.9287013301412594,0.5,0.5,0.043063600552858246,623
