fold,strategy,family,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc
0,tool:codeql,CWE-20,3,311,1361,65,1740,68,1672,0.009554140127388535,0.04411764705882353,0.8139952153110048,0.9544179523141655,0.18600478468899523,0.9558823529411765,0.7839080459770115,0.42905643118491416,0.015706806282722512,0.025597269624573378,-0.07149752917599549,0.42905643118491416,0.024740372114385286
0,tool:codeql,CWE-74,140,225,1229,146,1740,286,1454,0.3835616438356164,0.48951048951048953,0.8452544704264099,0.8938181818181818,0.15474552957359008,0.5104895104895105,0.7867816091954023,0.6673824799684497,0.43010752688172044,0.4638833664678595,0.3047245415490815,0.6673824799684497,0.3266899072344848
0,tool:codeql,CWE-116,0,2,1727,11,1740,11,1729,0.0,0.0,0.9988432620011567,0.9936708860759493,0.001156737998843262,1.0,0.9925287356321839,0.49942163100057835,,,-0.0027057580407267305,0.49942163100057835,0.004013512638471244
0,tool:codeql,CWE-190,0,2,1710,28,1740,28,1712,0.0,0.0,0.9988317757009346,0.9838895281933256,0.0011682242990654205,1.0,0.9827586206896551,0.4994158878504673,,,-0.004338276689420046,0.4994158878504673,0.011769746487802124
0,tool:codeql,CWE-191,0,0,1722,18,1740,18,1722,,0.0,1.0,0.9896551724137931,0.0,1.0,0.9896551724137931,0.5,,,,0.5,0.010489158976604712
0,tool:codeql,CWE-269,0,0,1722,18,1740,18,1722,,0.0,1.0,0.9896551724137931,0.0,1.0,0.9896551724137931,0.5,,,,0.5,0.006755075473406221
0,tool:codeql,CWE-285,0,7,1675,58,1740,58,1682,0.0,0.0,0.9958382877526754,0.966532025389498,0.004161712247324614,1.0,0.9626436781609196,0.4979191438763377,,,-0.01180186764159281,0.4979191438763377,0.04095315097400989
0,tool:codeql,CWE-287,8,17,1598,117,1740,125,1615,0.32,0.064,0.9894736842105263,0.9317784256559767,0.010526315789473684,0.936,0.9229885057471264,0.5267368421052632,0.10666666666666667,0.07619047619047618,0.11603240937148195,0.5267368421052632,0.07141450482991764
0,tool:codeql,CWE-311,8,25,1638,69,1740,77,1663,0.24242424242424243,0.1038961038961039,0.9849669272399278,0.9595782073813708,0.01503307276007216,0.8961038961038961,0.9459770114942528,0.5444315155680158,0.14545454545454545,0.11730205278592376,0.13397966258589733,0.5444315155680158,0.09650683313183589
0,tool:codeql,CWE-326,0,1,1733,6,1740,6,1734,0.0,0.0,0.9994232987312572,0.9965497412305923,0.0005767012687427913,1.0,0.9959770114942529,0.4997116493656286,,,-0.0014105915815034364,0.4997116493656286,0.004085229530856284
