base_strategy,strategy,tau,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
or_1_of_3,or_1_of_3,,525.2,289.4,335.8,597.2,1747.6,1122.4,625.2,0.6447590421604057,0.467936520782704,0.5371210829851725,0.35991631391614687,0.46287891701482753,0.532063479217296,0.4926782153500252,0.5025288018839382,0.5422534306816535,0.4950702197199243,0.004862724199636731,0.5025288018839382,0.5792355973192974,0.7444113125294259
traditional_2_of_3,traditional_2_of_3,,232.2,74.0,551.2,890.2,1747.6,1122.4,625.2,0.7584638877163197,0.20687050952494151,0.881641812075039,0.382400223219575,0.11835818792496108,0.7931294904750585,0.44826578031191777,0.5442561607999903,0.32505555302795874,0.242075693272162,0.11165828792529849,0.5228423126948041,0.638733816658531,0.9294239107126104
weighted_fire_specificity_silence_sensitivity,weighted_fire_specificity_silence_sensitivity_tau_0_4,0.4,525.0,289.4,335.8,597.4,1747.6,1122.4,625.2,0.6446719678275443,0.4677571485853946,0.5371210829851725,0.35983783896910004,0.46287891701482753,0.5322428514146054,0.49256327282128953,0.5024391157852836,0.5421022796519979,0.49489936613237706,0.00469040189727942,0.48274010583311017,0.5830334499479669,0.7443109574138036
dst_dempster_fire_specificity_silence_sensitivity,dst_dempster_fire_specificity_silence_sensitivity_tau_0_9,0.9,472.0,248.8,376.4,650.4,1747.6,1122.4,625.2,0.6548631889515889,0.42054136810482445,0.6020591693290734,0.36658159683232244,0.39794083067092656,0.5794586318951755,0.4854688749033354,0.5113002687169489,0.5121256424121367,0.4529352448870643,0.02201498592235074,0.5442293032813371,0.6978209311749299,0.7210406493817146
dst_pcr6_fire_specificity_silence_sensitivity,dst_pcr6_fire_specificity_silence_sensitivity_tau_0_9,0.9,457.2,241.4,383.8,665.2,1747.6,1122.4,625.2,0.6544819401091307,0.40735894722198757,0.613895092979438,0.3658854132441937,0.38610490702056194,0.5926410527780124,0.4812360864309285,0.5106270201007128,0.502107950694017,0.4406102475281191,0.020805818895929036,0.5408777385802026,0.6951291748977887,0.6692108520854273
dst_yager_fire_specificity_silence_sensitivity,dst_yager_fire_specificity_silence_sensitivity_tau_0_6,0.6,522.6,288.2,337.0,599.8,1747.6,1122.4,625.2,0.6445884804737508,0.46561727358554605,0.5390415990824936,0.35972400037317454,0.46095840091750634,0.534382726414454,0.49187480262339883,0.5023294363340198,0.5406273417797209,0.49296919327691063,0.004482329945942979,0.5286437519135168,0.681673643940342,0.7473553759129319
naive_bayes,naive_bayes_tau_0_9,0.9,79.6,3.8,621.4,1042.8,1747.6,1122.4,625.2,0.9545109439124486,0.0709137346263558,0.9939215302695175,0.3733937354405058,0.00607846973048251,0.9290862653736441,0.4011191410112569,0.5324176324479366,0.13201004767698526,0.08702411124371148,0.14578965803791963,0.5570073830062203,0.6939061057652498,0.9674030084354259
bks,bks_tau_0_7,0.7,64.4,0.2,625.0,1058.0,1747.6,1122.4,625.2,0.996875,0.057378305351916924,0.99968,0.37136439852454683,0.00032,0.9426216946480832,0.394486595815021,0.5285291526759585,0.10850434137920625,0.07070429700073558,0.14493308282693668,0.5851968239925172,0.693868588322273,0.9878615375769076
logistic_regression,logistic_regression_tau_0_9,0.9,275.4,60.8,564.4,847.0,1747.6,1122.4,625.2,0.8192427580639112,0.2453511762254747,0.9027582485459164,0.39989140479873975,0.09724175145408373,0.7546488237745252,0.48054305694418165,0.5740547123856955,0.3775557864590492,0.2853104497189032,0.18014279885595103,0.6160623725143667,0.71300776968773,0.7279722827933278
logistic_interactions,logistic_interactions_tau_0_8,0.8,418.2,129.6,495.6,704.2,1747.6,1122.4,625.2,0.763319796310054,0.3725967616304494,0.7927154648971901,0.4131118517032948,0.20728453510280986,0.6274032383695506,0.5228881001472208,0.5826561132638198,0.5007051098220009,0.4150718335422723,0.17077886773681242,0.6158663638548101,0.7173301297216997,0.800242623140144
