strategy,family,precision,recall,specificity,npv,fpr,fnr,f1,f2,mcc,accuracy,balanced_accuracy,roc_auc,pr_auc,positive_support
tool:codeql,CWE-190,0.41111111111111115,0.02857142857142857,0.9993015670347101,0.9844186702470662,0.0006984329652900278,0.9714285714285715,0.08413163897034864,0.057602665154152556,0.1330237238465335,0.9837488652933695,0.5139364978030694,0.5139364978030693,0.02269542447174419,140
tool:codeql,CWE-20,0.008094373910570872,0.03823529411764706,0.8160448296958703,0.954458872197546,0.18395517030412958,0.9617647058823529,0.013354475109235172,0.021898242624968374,-0.07384684807580907,0.7857756693158986,0.42714006190675874,0.42714006190675874,0.025557042779287286,340
tool:codeql,CWE-285,0.02857142857142857,0.003389830508474576,0.9965673322919641,0.9666965507553391,0.0034326677080357033,0.9966101694915255,0.030303030303030297,0.0205761316872428,-0.0008479581088675595,0.9634924674023784,0.49997858140021945,0.49997858140021945,0.03762503427140404,291
tool:codeql,CWE-287,0.36899896800825593,0.06907096774193548,0.9914903788433966,0.9327675520608688,0.00850962115660344,0.9309290322580646,0.11553816035898903,0.08229080806284761,0.1343057870978635,0.9257225758861406,0.530280673292666,0.530280673292666,0.07003499246477658,623
tool:codeql,CWE-311,0.3452352472089314,0.20213120213120211,0.9822771277108482,0.9638075273360236,0.017722872289151842,0.7978687978687978,0.25447620872759213,0.22020114275180194,0.2384800945121705,0.9478023409848998,0.5922041649210252,0.5922041649210252,0.1440383263249384,386
tool:codeql,CWE-327,0.7462012884343638,0.6857142857142857,0.9901041062172634,0.986933712597504,0.009895893782736632,0.3142857142857143,0.7129111993301107,0.6959499443764249,0.7030899633557367,0.977911287806258,0.8379091959657746,0.8379091959657746,0.5159652834906705,350
tool:codeql,CWE-330,0.9955555555555555,0.876,0.9998816568047337,0.9963592159717433,0.00011834319526627219,0.124,0.9316643490887613,0.8973911256904639,0.9319536349557691,0.996335243440415,0.9379408284023668,0.9379408284023668,0.8711213220459977,250
tool:codeql,CWE-345,0.596025641025641,0.06037735849056604,0.9970779976048016,0.9426380620473548,0.00292200239519838,0.939622641509434,0.10916234562400502,0.07351296275580255,0.1747966758307676,0.9402603944685808,0.5287276780476838,0.5287276780476838,0.08720299011041789,530
tool:codeql,CWE-400,0.2,0.004,0.999527806690329,0.9712571194999992,0.0004721933096709749,0.9960000000000001,0.0392156862745098,0.02487562189054727,0.024579787418949152,0.9708150414741737,0.5017639033451645,0.5017639033451645,0.025188206828006238,252
tool:codeql,CWE-610,0.5666666666666667,0.026205450733752623,0.9991701937992659,0.9701938273465078,0.0008298062007342053,0.9737945492662474,0.0625,0.040457648815873694,0.11611251994548173,0.9694371696171891,0.5126878222665092,0.5126878222665092,0.05483296365092908,267
tool:codeql,CWE-668,0.029647941693313744,0.016409298464092982,0.9237036769207811,0.8673923841522481,0.07629632307921884,0.9835907015359069,0.021118581891956267,0.018015527689777464,-0.07851080085076577,0.8097940728480404,0.470056487692437,0.470056487692437,0.08023430316200358,1097
tool:codeql,CWE-706,0.40341880341880343,0.053672316384180796,0.9971511350514127,0.9675798174207543,0.002848864948587215,0.9463276836158192,0.09235729801513605,0.06445094453931374,0.13172538009956242,0.9649751523876942,0.5254117257177968,0.5254117257177968,0.06626932877662024,298
tool:codeql,CWE-74,0.39234796258494814,0.479332597227334,0.8551783859626813,0.8938297683525483,0.1448216140373188,0.520667402772666,0.4311493526538608,0.4587143004106987,0.30932894137964656,0.7937795893841301,0.6672554915950076,0.6672554915950076,0.3044987241898562,1427
tool:codeql,CWE-913,0.3333333333333333,0.00909090909090909,0.999767441546027,0.9878653667673138,0.00023255845397303132,0.990909090909091,0.08695652173913045,0.056179775280898875,0.06887054652150768,0.9876397743759519,0.504429175318468,0.504429175318468,0.054054409735776285,107
tool:codeql,CWE-923,0.0,0.0,0.9998818665091553,0.9621149053338234,0.00011813349084465446,1.0,,,-0.004709058149656511,0.9620054730043313,0.49994093325457767,0.49994093325457767,0.0217081353565692,331
tool:joern,CWE-190,,0.0,1.0,0.98397763821482,0.0,1.0,,,,0.98397763821482,0.5,0.5,0.012019388512822183,140
tool:joern,CWE-20,,0.0,1.0,0.9610885499502771,0.0,1.0,,,,0.9610885499502771,0.5,0.5,0.0255323438101945,340
tool:joern,CWE-285,,0.0,1.0,0.9666969916236979,0.0,1.0,,,,0.9666969916236979,0.5,0.5,0.03764300635990953,291
tool:joern,CWE-287,,0.0,1.0,0.9287000448328196,0.0,1.0,,,,0.9287000448328196,0.5,0.5,0.04269088482499978,623
tool:joern,CWE-311,,0.0,1.0,0.9558235625620194,0.0,1.0,,,,0.9558235625620194,0.5,0.5,0.026229357261573417,386
tool:joern,CWE-327,0.8099999999999999,0.06285714285714286,0.9994048867327523,0.9623463084641319,0.0005951132672476722,0.9371428571428572,0.11649691797060217,0.07704602044854084,0.218674593040075,0.9618911147464384,0.5311310147949475,0.5311310147949475,0.10772646780377867,350
tool:joern,CWE-330,,0.0,1.0,0.9713886396693214,0.0,1.0,,,,0.9713886396693214,0.5,0.5,0.03565418421908503,250
tool:joern,CWE-345,,0.0,1.0,0.9393439160989614,0.0,1.0,,,,0.9393439160989614,0.5,0.5,0.04025500328030896,530
tool:joern,CWE-400,,0.0,1.0,0.9711598667478709,0.0,1.0,,,,0.9711598667478709,0.5,0.5,0.021049834982468547,252
tool:joern,CWE-610,,0.0,1.0,0.9694431851280303,0.0,1.0,,,,0.9694431851280303,0.5,0.5,0.030817750690717904,267
tool:joern,CWE-668,,0.0,1.0,0.8744522905972453,0.0,1.0,,,,0.8744522905972453,0.5,0.5,0.07419490689769297,1097
tool:joern,CWE-706,,0.0,1.0,0.9658948132627019,0.0,1.0,,,,0.9658948132627019,0.5,0.5,0.03942215941822754,298
tool:joern,CWE-74,,0.0,1.0,0.8366852949607496,0.0,1.0,,,,0.8366852949607496,0.5,0.5,0.1908531096177317,1427
tool:joern,CWE-913,,0.0,1.0,0.9877545851659212,0.0,1.0,,,,0.9877545851659212,0.5,0.5,0.04569921257720512,107
tool:joern,CWE-923,,0.0,1.0,0.9621191739707895,0.0,1.0,,,,0.9621191739707895,0.5,0.5,0.0217081353565692,331
tool:semgrep,CWE-190,,0.0,1.0,0.98397763821482,0.0,1.0,,,,0.98397763821482,0.5,0.5,0.012019388512822183,140
tool:semgrep,CWE-20,,0.0,1.0,0.9610885499502771,0.0,1.0,,,,0.9610885499502771,0.5,0.5,0.0255323438101945,340
tool:semgrep,CWE-285,0.0125,0.0034482758620689655,0.9908880569497514,0.9665128801465013,0.009111943050248662,0.9965517241379309,0.027027027027027025,0.020161290322580648,-0.010824301835850893,0.9580036201725857,0.4971681664059101,0.4971681664059101,0.03583336350972975,291
tool:semgrep,CWE-287,0.75,0.011264516129032258,0.999877450980392,0.9294375790923335,0.00012254901960784314,0.9887354838709678,0.03682872974211557,0.023353586750240376,0.09696865629604086,0.929387867703489,0.5055709835547122,0.5055709835547122,0.05449059168814032,623
tool:semgrep,CWE-311,0.3915016997977188,0.45864135864135863,0.9670758596411086,0.9747722191605612,0.032924140358891275,0.5413586413586413,0.4220109345808403,0.4431299820246548,0.3947055324358782,0.9446031643677791,0.7128586091412337,0.7128586091412337,0.22912023631142722,386
tool:semgrep,CWE-327,0.7759469696969697,0.35428571428571426,0.9957101336334702,0.9736524140937748,0.0042898663665298644,0.6457142857142857,0.48633162002665137,0.39744085228729154,0.5121313375103969,0.9700166640570727,0.6749979239595922,0.6749979239595922,0.37524293803412095,350
tool:semgrep,CWE-330,0.9209456264775413,0.8720000000000001,0.9977556401276603,0.9962328874817802,0.0022443598723397035,0.128,0.8955387732955364,0.8812060459550152,0.8930268891014146,0.9941551955349437,0.9348778200638301,0.9348778200638301,0.7526723549793851,250
tool:semgrep,CWE-345,0.0,0.0,0.9986608812147967,0.9392675306673969,0.0013391187852032239,1.0,,,-0.008513297751461323,0.9380859636350294,0.49933044060739834,0.49933044060739834,0.04009771790570148,530
tool:semgrep,CWE-400,,0.0,1.0,0.9711598667478709,0.0,1.0,,,,0.9711598667478709,0.5,0.5,0.021049834982468547,252
tool:semgrep,CWE-610,0.6207147375079064,0.33717679944095036,0.9934988075305785,0.9794023715829419,0.006501192469421368,0.6628232005590495,0.43545778583625516,0.3704784181047536,0.4446430590783311,0.9734395318417318,0.6653378034857644,0.6653378034857645,0.2544970325272518,267
tool:semgrep,CWE-668,0.0,0.0,0.9998701298701299,0.8744381264836762,0.00012987012987012987,1.0,,,-0.008993987127036179,0.874338589630787,0.49993506493506495,0.49993506493506495,0.07418852306018928,1097
tool:semgrep,CWE-706,0.48320294099127814,0.43271186440677967,0.9836607551357138,0.9800627019428836,0.016339244864286177,0.5672881355932203,0.4548555772853036,0.4409471758358291,0.43842161020403986,0.9648816602850048,0.7081863097712467,0.7081863097712467,0.28161378024153794,298
tool:semgrep,CWE-74,0.5497951679965319,0.5711495522021838,0.9086362502179155,0.9156303435601831,0.09136374978208447,0.4288504477978162,0.5601939913435185,0.5666970268097776,0.4725313646049667,0.853505095837009,0.7398929012100497,0.7398929012100497,0.4081233034660179,1427
tool:semgrep,CWE-913,0.3414005602240896,0.24415584415584415,0.994208060283422,0.9906486456058413,0.005791939716577986,0.7558441558441558,0.2842976811397864,0.2587063739066595,0.2811312069723386,0.9850088488048361,0.6191819522196331,0.6191819522196331,0.13144595300004708,107
tool:semgrep,CWE-923,,0.0,1.0,0.9621191739707895,0.0,1.0,,,,0.9621191739707895,0.5,0.5,0.0217081353565692,331
or_1_of_3,CWE-190,0.41111111111111115,0.02857142857142857,0.9993015670347101,0.9844186702470662,0.0006984329652900278,0.9714285714285715,0.08413163897034864,0.057602665154152556,0.1330237238465335,0.9837488652933695,0.5139364978030694,0.5139364978030693,0.02269542447174419,140
