base_strategy,strategy,tau,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
or_1_of_3,or_1_of_3,,499.8,283.4,341.8,622.6,1747.6,1122.4,625.2,0.6381435424413278,0.44527732537803344,0.5466798306797436,0.3544182987156598,0.4533201693202565,0.5547226746219666,0.481578326190273,0.4959785780288885,0.5245216046154171,0.47391366376108024,-0.007734433930895011,0.4959785780288885,0.5774406990216987,0.752771141646013
traditional_2_of_3,traditional_2_of_3,,225.4,71.6,553.6,897.0,1747.6,1122.4,625.2,0.7591868738828684,0.2008113178382304,0.8854813714546654,0.38165073601685134,0.11451862854533448,0.7991886821617695,0.445772554679538,0.543146344646448,0.3175207571918916,0.2354211889624433,0.1102261331046777,0.5160789953101801,0.6362130052984197,0.9290402887541365
weighted_fire_specificity_silence_sensitivity,weighted_fire_specificity_silence_sensitivity_tau_0_8,0.8,425.6,237.2,388.0,696.8,1747.6,1122.4,625.2,0.6421120593039784,0.3791579081741502,0.620463374555953,0.35762826686050836,0.3795366254440471,0.6208420918258498,0.4655703583707953,0.49981064136505154,0.47674217693463694,0.412965582986772,-0.0003182976928838864,0.482770272761177,0.5880884104777071,0.6879379205896823
dst_dempster_fire_specificity_silence_sensitivity,dst_dempster_fire_specificity_silence_sensitivity_tau_0_9,0.9,436.0,242.6,382.6,686.4,1747.6,1122.4,625.2,0.6424647299199385,0.38843922290943356,0.6118477675225528,0.35788792949158843,0.38815223247744723,0.6115607770905663,0.4684332601302602,0.5001434952159932,0.48412183475475884,0.42178013536024245,0.0003206803244059853,0.5337836657708699,0.6926598411693479,0.7472500561097523
dst_pcr6_fire_specificity_silence_sensitivity,dst_pcr6_fire_specificity_silence_sensitivity_tau_0_9,0.9,426.2,237.4,387.8,696.2,1747.6,1122.4,625.2,0.642239104204779,0.3796893519296861,0.6201459142384926,0.35770853680027165,0.3798540857615074,0.620310648070314,0.46579776030371167,0.4999176330840894,0.47719286287091434,0.41347860058594454,-0.00010767490114589121,0.5295983830502751,0.6877176016109875,0.7026597701463044
dst_yager_fire_specificity_silence_sensitivity,dst_yager_fire_specificity_silence_sensitivity_tau_0_8,0.8,426.2,237.6,387.6,696.2,1747.6,1122.4,625.2,0.6420444262960225,0.3796893519296861,0.619826934972145,0.35759038361999645,0.3801730650278551,0.620310648070314,0.46568275167806483,0.4997581434509155,0.47713797639759103,0.4134619839423782,-0.0004235668343721889,0.5182666673598043,0.6733280142130045,0.7026597701463044
naive_bayes,naive_bayes_tau_0_9,0.9,72.8,1.4,623.8,1049.6,1747.6,1122.4,625.2,0.9811395955642531,0.0648738829234035,0.9977585893587045,0.3727964809348353,0.0022414106412954778,0.9351261170765965,0.3986174853203396,0.5313162361410539,0.12168561761656974,0.079770938741967,0.14886339758514086,0.5566246218589174,0.6937042807869639,0.9699336214042097
bks,bks_tau_0_7,0.7,65.4,0.2,625.0,1057.0,1747.6,1122.4,625.2,0.9971428571428571,0.058264207577306514,0.9996742671009772,0.37159820943068034,0.0003257328990228013,0.9417357924226935,0.39506584268880396,0.5289692373391419,0.11007184809418029,0.07177751439975744,0.14609509541733556,0.5851641292093619,0.6920783661881533,0.9824770557152128
logistic_regression,logistic_regression_tau_0_9,0.9,258.4,52.8,572.4,864.0,1747.6,1122.4,625.2,0.8304126159565343,0.23025670147235275,0.9154874688902865,0.3985221297752363,0.08451253110971349,0.7697432985276473,0.47540123452615646,0.5728720851813197,0.36049736630823237,0.2691505706313832,0.18265506988169236,0.6253804489342821,0.7230392053032931,0.7215904029960118
logistic_interactions,logistic_interactions_tau_0_8,0.8,401.8,123.0,502.2,720.6,1747.6,1122.4,625.2,0.7657258477171831,0.35800835950461507,0.8032160152180797,0.4107034938209019,0.19678398478192027,0.6419916404953849,0.5173073597552194,0.5806121873613475,0.4878788917751378,0.40066887426949493,0.1686517471069383,0.625068694479584,0.7224274193123758,0.7962513082788022
decision_tree,decision_tree_tau_0_8,0.8,402.4,122.8,502.4,720.0,1747.6,1122.4,625.2,0.76628826088426,0.3585468517415017,0.8035349944844274,0.41100389766247797,0.1964650055155726,0.6414531482584983,0.5177660205017072,0.5810409231129645,0.4884923192851205,0.4012389811249809,0.16951279160274002,0.6245007091518472,0.7205672493786246,0.7965606891941126
random_forest,random_forest_tau_0_8,0.8,398.4,119.8,505.4,724.0,1747.6,1122.4,625.2,0.7689923139637072,0.3549692994547403,0.8083503727328154,0.41109562447908976,0.19164962726718465,0.6450307005452597,0.5171928789947504,0.5816598360937778,0.4856905600282748,0.39779216581449905,0.17149444118489393,0.6266229357644141,0.7255724970044758,0.7975980905618835
gradient_boosting,gradient_boosting_tau_0_8,0.8,402.0,122.6,502.6,720.4,1747.6,1122.4,625.2,0.7663950803959436,0.358188215619723,0.8038591435930174,0.4109665482197803,0.19614085640698264,0.6418117843802771,0.5176521216995712,0.5810236796063701,0.4881813071400559,0.40088558604539004,0.16952785543748777,0.6252509472575508,0.7225344221044098,0.7963426975138624
