fold,tool,family,tp,fp,tn,fn,ppv,npv,fpr,fnr,sensitivity,specificity,positive_support,supported
0,codeql,CWE-20,9,1231,5472,263,0.007258064516129033,0.9541412380122057,0.1836491123377592,0.9669117647058824,0.03308823529411765,0.8163508876622408,272,True
0,codeql,CWE-74,551,860,4973,591,0.3905031892274982,0.8937814521926671,0.14743699639979427,0.5175131348511384,0.48248686514886163,0.8525630036002058,1142,True
0,codeql,CWE-116,0,17,6911,47,0.0,0.9932451853981029,0.002453810623556582,1.0,0.0,0.9975461893764435,47,True
0,codeql,CWE-190,4,3,6860,108,0.5714285714285714,0.9845005740528129,0.0004371266210112196,0.9642857142857143,0.03571428571428571,0.9995628733789887,112,True
0,codeql,CWE-191,0,5,6897,73,0.0,0.9895265423242467,0.0007244277021153289,1.0,0.0,0.9992755722978847,73,True
0,codeql,CWE-269,0,0,6905,70,,0.9899641577060931,0.0,1.0,0.0,1.0,70,False
0,codeql,CWE-285,1,23,6719,232,0.041666666666666664,0.9666235074090059,0.003411450608128152,0.9957081545064378,0.004291845493562232,0.9965885493918718,233,True
0,codeql,CWE-287,31,53,6423,468,0.36904761904761907,0.9320853286895951,0.008184064237183446,0.9378757515030061,0.06212424849699399,0.9918159357628166,499,True
0,codeql,CWE-311,57,108,6558,252,0.34545454545454546,0.9629955947136564,0.016201620162016202,0.8155339805825242,0.18446601941747573,0.9837983798379838,309,True
0,codeql,CWE-327,196,69,6626,84,0.7396226415094339,0.9874813710879284,0.010306198655713219,0.3,0.7,0.9896938013442867,280,True
0,codeql,CWE-330,179,1,6774,21,0.9944444444444445,0.9969094922737307,0.00014760147601476016,0.105,0.895,0.9998523985239852,200,True
0,codeql,CWE-345,26,20,6531,398,0.5652173913043478,0.942560254004907,0.0030529690123645243,0.9386792452830188,0.06132075471698113,0.9969470309876355,424,True
0,codeql,CWE-400,1,3,6770,201,0.25,0.9711662602209152,0.0004429351838181013,0.995049504950495,0.0049504950495049506,0.9995570648161819,202,True
0,codeql,CWE-501,45,24,6879,27,0.6521739130434783,0.9960903562119896,0.003476749239461104,0.375,0.625,0.9965232507605389,72,True
0,codeql,CWE-610,4,4,6758,209,0.5,0.9700014353380221,0.0005915409642117716,0.9812206572769953,0.018779342723004695,0.9994084590357882,213,True
0,codeql,CWE-662,0,1,6899,75,0.0,0.9892457700028678,0.00014492753623188405,1.0,0.0,0.9998550724637681,75,True
0,codeql,CWE-668,13,471,5626,865,0.026859504132231406,0.8667385610845787,0.07725110710185337,0.9851936218678815,0.014806378132118452,0.9227488928981467,878,True
0,codeql,CWE-704,0,2,6940,33,0.0,0.9952674602036427,0.0002881014116969173,1.0,0.0,0.9997118985883031,33,True
0,codeql,CWE-706,14,17,6719,225,0.45161290322580644,0.9675979262672811,0.0025237529691211403,0.9414225941422594,0.058577405857740586,0.9974762470308789,239,True
0,codeql,CWE-913,1,1,6888,85,0.5,0.9878101247669583,0.00014515894904920887,0.9883720930232558,0.011627906976744186,0.9998548410509508,86,True
0,codeql,CWE-923,0,0,6710,265,,0.9620071684587813,0.0,1.0,0.0,1.0,265,False
0,joern,CWE-20,0,0,6703,272,,0.9610035842293907,0.0,1.0,0.0,1.0,272,False
0,joern,CWE-74,0,0,5833,1142,,0.8362724014336917,0.0,1.0,0.0,1.0,1142,False
0,joern,CWE-116,0,0,6928,47,,0.9932616487455197,0.0,1.0,0.0,1.0,47,False
0,joern,CWE-190,0,0,6863,112,,0.9839426523297491,0.0,1.0,0.0,1.0,112,False
0,joern,CWE-191,0,0,6902,73,,0.9895340501792115,0.0,1.0,0.0,1.0,73,False
0,joern,CWE-269,0,0,6905,70,,0.9899641577060931,0.0,1.0,0.0,1.0,70,False
0,joern,CWE-285,0,0,6742,233,,0.9665949820788531,0.0,1.0,0.0,1.0,233,False
0,joern,CWE-287,0,0,6476,499,,0.9284587813620072,0.0,1.0,0.0,1.0,499,False
0,joern,CWE-311,0,0,6666,309,,0.9556989247311828,0.0,1.0,0.0,1.0,309,False
0,joern,CWE-327,18,4,6691,262,0.8181818181818182,0.9623184237019992,0.000597460791635549,0.9357142857142857,0.06428571428571428,0.9994025392083644,280,True
0,joern,CWE-330,0,0,6775,200,,0.9713261648745519,0.0,1.0,0.0,1.0,200,False
0,joern,CWE-345,0,0,6551,424,,0.9392114695340502,0.0,1.0,0.0,1.0,424,False
