sample_id,row_index,fold
7e5ff33c6115230d,0,4
a42e28301f592e79,1,3
a856960e41f7eaff,2,3
c29aba78836b9590,3,3
ba36099b5638d88d,4,0
f9d7db23f3d6d452,5,4
d5558cd419c8d46b,6,4
dbdbe77faa5213ff,7,3
8aa5ce41b6d8fa0f,8,4
32f8d814f7770c45,9,3
63df25afff97ff9a,10,1
02a76b02480aa0d9,11,3
4b24c0144415ed2d,12,0
0e63ddb4ad360553,13,2
9e7558df3c37f4bf,14,2
1315e8bab303d033,15,4
a2fef5591162b004,16,4
fb33db3cc269e691,17,1
d362cc58d3af6b1b,18,2
05f32fafcf60699c,19,2
0723444db4b7f211,20,4
893a38cf4d8f4a0a,21,1
755ca3c8fb4fb7c6,22,4
bfa565aba18937ab,23,4
3923648e3cbfb752,24,3
22deae58032b7fd4,25,2
84158a38e6ce626c,26,4
27120149b93f2c2c,27,3
338642c3812cf608,28,4
82e1e47db45502c7,29,3
adedf41a72f51ad0,30,2
c47efae8e3a48c01,31,3
7972ad1e85aab289,32,3
b873885ce5800a69,33,0
638a327e4ad7a574,34,0
d9aa0d1c335da385,35,1
ef4c3dd4727a5cdf,36,2
3e61c3e886343139,37,2
9f3dab2d51367dff,38,2
5d68b8c35c2fe485,39,2
fae48290c92c978e,40,3
7f3b9e669f32a43f,41,2
e8e462c3beb8ea73,42,3
1c4d3a5ce1cd03ca,43,4
13a707a70bb98e2d,44,1
704e9691f712195e,45,2
710a105b1e9c8081,46,2
d577647570604199,47,1
aa946fc6ef3a4818,48,2
adf57a6bd2305239,49,2
0a609023be9bc3bd,50,0
5a0403636901313b,51,4
c337f892bc76333c,52,3
f2a61467d0e34226,53,4
0691f0b46d33f7cb,54,2
1d2a764301129c54,55,4
cd5b7fd4145677c6,56,4
5b5818d4960e7797,57,3
5a34c164e8d59106,58,3
f70110a8fc435192,59,3
022f4789cdf49259,60,4
a63ac737385cd804,61,3
b94bf58b6d2870aa,62,0
f4cacd10d724ca41,63,1
41593ee4c1993d47,64,3
1a7fdca7a0b02b65,65,0
071210eb9043590b,66,4
7fdbbf403b02c729,67,0
2c4ff1cc511f1a71,68,0
6abc182d6fd47914,69,4
01c3b77e9dfab920,70,1
feca025ec2ab0d22,71,4
645f43a814db9021,72,2
7e0df1ebd1e48821,73,1
7acc17f86dab9b74,74,0
fd872c5330cdf237,75,1
803003e1f63397ba,76,3
e6a81e7223bc01da,77,1
80ba1007118bc297,78,2
ed6729d04e59c671,79,3
cb0d688c6dd55fb2,80,4
5cf856d638c716c9,81,0
99e73f0b5bbfecd0,82,2
1de81dbc4985c55e,83,0
99ada30c3ba5fcd2,84,1
a5186f7e73ab336f,85,0
c5855e506e68b9ec,86,3
1fad19772052951d,87,4
6273ccdc5d082ca1,88,3
9b8e04e0d2e1cad7,89,2
ec458b8d79f67c3e,90,3
1b074ad01fdec978,91,3
5453a8a324a5f723,92,2
54f8dc5ff2e28697,93,0
92cba83733424b20,94,4
a9e08dcb0a7fc21d,95,3
cb3facb8071e3488,96,1
05b6a134aa1143a7,97,2
0677ee6c95ccb5b3,98,3
080dbe8c2821169a,99,0
293a095e3c8cf5a1,100,0
37c0678a220320f0,101,1
c12c4827882dc607,102,1
aea7b0ad1070d665,103,2
5a6e850e7ffb3f7e,104,3
aeea2a14eee90082,105,3
5b2913cc1a6e0e93,106,3
334cafae54add33a,107,4
08e2c5fffba135d9,108,2
6d7dedc233f24e83,109,2
fc4aaffde0c80674,110,3
bc2bb8c5a95fbb3e,111,3
d68d19ac047160f6,112,4
7a74b9429e7e1d57,113,3
320410ba65d2f334,114,1
6a3c51be506c6936,115,4
26b4c6609e27e454,116,2
6e5788c6c5e03abb,117,0
70a0bc9d720bc975,118,4
73c38dfbc2a60ae5,119,2
4a95282417e71bc1,120,2
81b80147693a5711,121,3
eb6dbbe7c116d745,122,2
0d99414227e523e9,123,1
2703f82bdd1158a8,124,4
d917de9b8a23eea8,125,2
bb28c699e45807d9,126,1
adf21673b09f9d95,127,3
9544cb09a7d078e2,128,0
0899081f06a2d4a0,129,3
f640838eaef6389d,130,0
f483ea4552b99686,131,2
83b713cd58dedd2f,132,4
011c9f7a1e326bac,133,0
e2ba9ac4148cabf5,134,1
d77425bb1822cec3,135,4
1b571cccf2316bd1,136,2
45b724eed2929080,137,2
0af410d6dbe1f246,138,3
a88ec83ad86eb984,139,2
e0c66d2a6ddfaeea,140,0
8d7b8a26eec428c0,141,3
67fc24b3fa98a624,142,3
9b2cd17665e805ee,143,3
1cf8be3c88105ff3,144,3
2939a6f3cf9612a3,145,2
04b3f6b8c7789a99,146,4
a3b181288b1b74db,147,3
89e3f00130576497,148,2
1e0990c46ffdd3f9,149,0
9e3c24fec443bc6a,150,4
ba206b6b7685895f,151,1
f99268bfdf2c8092,152,1
4d531a9950a4df27,153,2
63611425fed80fbc,154,0
1f35b9ecd3ae6386,155,3
d7fa6b43221f41a9,156,3
b6091cb400758e5d,157,1
9f269f91b88417d6,158,2
b8390ac74fb70d35,159,3
2937cc8e7e4aeea6,160,0
8a679cb324dbfe01,161,4
7f2522827e1a54f2,162,3
e86993961791931d,163,1
4346bbaa17fed757,164,2
7637d512876ac4aa,165,1
022c7766797809f8,166,4
a7236ec6970edd87,167,3
4986ace09122cb20,168,0
26306fecd31d38d3,169,1
84a358169bd597ac,170,3
37fe77cec932a83c,171,3
2e745a18cc3f8405,172,3
0b874881144e05c9,173,1
08c923a8b657c82f,174,0
0be81c9bb71aa3af,175,2
79dbfbd12e618749,176,3
35119d26616eb10c,177,1
f813b1b8e79b8e6f,178,3
3d2d2d66cd55f96e,179,2
099f37f2e33812e1,180,2
ef6af5a70cfeb80b,181,3
d3c08888b94a79c9,182,3
53fd4f47e267cafe,183,3
20b306baf0e513fb,184,3
5d0d139e6f99520e,185,0
0fd41614b25f2956,186,2
d83e88202820bd2b,187,1
37c770d0ecb10d0c,188,4
b34961501c66c2f1,189,0
51d046695a856822,190,2
f160f06c74df6e57,191,1
bc70035866d36472,192,4
905f55b775bf7ec9,193,4
e722255e74cc064b,194,3
59737fd79f124580,195,1
ed74806524292752,196,1
1f4f37c9da8864ab,197,1
8eec43e1db090417,198,4
696026d1e053eb55,199,3
5550069358e5328e,200,3
005c098b057af885,201,4
c5f36b49ad2c4a0b,202,4
ef06b6667d6609aa,203,2
550c791c5304af1a,204,0
88308e5402418edf,205,4
2d21164f96f94e0d,206,4
131ff8efdde77244,207,2
f1eaa4408928a59c,208,4
bb138848a8f3e4ea,209,4
8960ae3541d90c24,210,1
93920fffdcfbef2d,211,3
c71fa54d73512ddd,212,1
80fc0d9c710b8787,213,0
06d818e901862554,214,0
9136637d0c83f956,215,4
018523d62d75ac13,216,2
cfe14e47bd81aa78,217,3
5ba16db58c5d2f9b,218,4
6e952f8612cc1d8f,219,1
fddb47deb1b0f5d5,220,1
240397215d895e2a,221,1
9536d24ff565fe55,222,4
ec3dcbd59fa658ec,223,0
812aacd9f53c6570,224,3
755900fb940ec0af,225,0
e8a42c15267d08ab,226,3
2afdae6456ee9181,227,4
64792feedde74aa7,228,3
c65c3350f74a0197,229,1
0603ab7ebc4192d0,230,2
89f5218322421870,231,1
d032e6daf5fa3b7a,232,2
1a583c05be296276,233,0
13d04a1d60e13dc5,234,2
a3c85aee00631619,235,2
d97a847733485e5d,236,1
196b4f298c30faf7,237,3
433cffa221f5216f,238,4
2d8b93856bc1f95c,239,0
d28ddabc101d0a3c,240,1
