strategy,n_families,precision_macro,precision_median,precision_weighted,recall_macro,recall_median,recall_weighted,specificity_macro,specificity_median,specificity_weighted,npv_macro,npv_median,npv_weighted,fpr_macro,fpr_median,fpr_weighted,fnr_macro,fnr_median,fnr_weighted,f1_macro,f1_median,f1_weighted,f2_macro,f2_median,f2_weighted,mcc_macro,mcc_median,mcc_weighted,accuracy_macro,accuracy_median,accuracy_weighted,balanced_accuracy_macro,balanced_accuracy_median,balanced_accuracy_weighted,roc_auc_macro,roc_auc_median,roc_auc_weighted,pr_auc_macro,pr_auc_median,pr_auc_weighted
tool:codeql,21,0.33354624697930385,0.3604158931551494,0.3302102972560023,0.1522091631780509,0.026135569531795945,0.1978747859309916,0.9780917524552651,0.9975821717597577,0.9478367165331109,0.9667601737130462,0.9712555659375826,0.9358694231098725,0.021908247544734836,0.002417828240242175,0.052163283466888984,0.847790836821949,0.973864430468204,0.8021252140690084,0.23541493283197354,0.10382253342759559,0.23133581204435602,0.2163735838969151,0.06907901297114796,0.22193719707578385,0.17666654970205642,0.10998209580241122,0.1758905301047491,0.9488639068791139,0.9708147561532314,0.8965798751522094,0.5651504578166578,0.5052057196408597,0.5728557512320513,0.5651504578166578,0.5052057196408597,0.5728557512320513,0.1354797181919088,0.04717791202721744,0.16536433528665473
tool:joern,21,0.840952380952381,0.840952380952381,0.840952380952381,0.002993197278911565,0.0,0.0030764927982100407,0.9999717078410706,1.0,0.9999709205190699,0.9611412866400741,0.9694432471018262,0.9225694915210161,2.8292158929478298e-05,0.0,2.9079480930172775e-05,0.9970068027210885,1.0,0.9969235072017899,0.1159030910609858,0.1159030910609858,0.11590309106098579,0.0769373299157802,0.0769373299157802,0.0769373299157802,0.21861720649899005,0.21861720649899005,0.21861720649899005,0.9611196189810078,0.9694432471018262,0.922547220888358,0.5014824525599911,0.5,0.50152370665864,0.5014824525599911,0.5,0.50152370665864,0.038098694341786365,0.02619729180504169,0.07288732546667841
tool:semgrep,21,0.4369297320399251,0.4827292986159981,0.4183663333397348,0.17917305276172987,0.0,0.22796521398782701,0.9909355839470726,0.9986540562072896,0.9779515468901623,0.9690585815832302,0.9794086447025656,0.9418856222945043,0.009064416052927316,0.0013459437927102703,0.022048453109837725,0.8208269472382701,1.0,0.772034786012173,0.41330312014077214,0.445972970728846,0.4184966247264837,0.3895986161395605,0.41885592728228105,0.40559481051928004,0.31130787086418105,0.3946987290460561,0.2763542937879276,0.961703779990974,0.9711565763595033,0.925973589161557,0.5850543183544012,0.5,0.6029583804389947,0.5850543183544012,0.5,0.6029583804389947,0.14634766957246792,0.040531175599276846,0.18953680805460327
or_1_of_3,21,0.30829606004383453,0.35377849074979084,0.3165369386549461,0.2259777767338642,0.038235294117647055,0.27662735871143723,0.9719406034690188,0.9939771776788018,0.9357151528276321,0.9696954247314904,0.9800129474576857,0.9418419708501123,0.02805939653098108,0.006022822321198163,0.0642848471723679,0.7740222232661357,0.9617647058823529,0.7233726412885626,0.30749543816558655,0.20908654207171626,0.2854788527920275,0.3017279197146052,0.17919864718906112,0.293371961988619,0.2165116878525907,0.11287503819915358,0.2178832691313855,0.9462523658326977,0.972754579172841,0.892266025403457,0.5989591901014415,0.5139386102757333,0.6061712557695348,0.5989591901014415,0.5139386102757333,0.6061712557695348,0.1582330381465156,0.0729991641538327,0.18308293188653924
traditional_2_of_3,21,0.698173754369694,0.691965811965812,0.7025796505368327,0.10717314668890975,0.0,0.15103056876996002,0.9970698367484914,1.0,0.9900557442191229,0.9663085981640682,0.9711565763595033,0.9364212664095215,0.0029301632515085644,0.0,0.009944255780877063,0.8928268533110904,1.0,0.8489694312300399,0.35176612900991655,0.3615739339261921,0.36225365430082573,0.3049756591000058,0.2918481976981785,0.3166462685674037,0.34262846962132326,0.2672892378719953,0.3436094945073411,0.9643697365627996,0.9711565763595033,0.9303433687259653,0.5521214917187006,0.5,0.5705431564945415,0.6004658431415353,0.5139386102757333,0.6117928314564878,0.18580884281515936,0.07561501636090565,0.22874881281753462
weighted_fire_specificity_silence_sensitivity_tau_0_1,21,0.32371086304602625,0.3706097832431982,0.33189965517910847,0.2259777767338642,0.038235294117647055,0.27662735871143723,0.9719525144295227,0.9939771776788018,0.9357408996934947,0.9696964389211661,0.9800129474576857,0.9418447828954677,0.028047485570477364,0.006022822321198163,0.06425910030650521,0.7740222232661357,0.9617647058823529,0.7233726412885626,0.30749543816558655,0.20908654207171626,0.2854788527920275,0.3017279197146052,0.17919864718906112,0.293371961988619,0.22757675982986045,0.13161827233981757,0.22870070706586743,0.9462632666153645,0.972754579172841,0.8922889905826216,0.5989651455816934,0.5139386102757333,0.606184129202466,0.6008318680930426,0.5139386102757333,0.6130285026940281,0.18971185523547535,0.07614971224376707,0.23565450808887445
weighted_fire_specificity_silence_sensitivity_tau_0_2,21,0.32371086304602625,0.3706097832431982,0.33189965517910847,0.2259777767338642,0.038235294117647055,0.27662735871143723,0.9719525144295227,0.9939771776788018,0.9357408996934947,0.9696964389211661,0.9800129474576857,0.9418447828954677,0.028047485570477364,0.006022822321198163,0.06425910030650521,0.7740222232661357,0.9617647058823529,0.7233726412885626,0.30749543816558655,0.20908654207171626,0.2854788527920275,0.3017279197146052,0.17919864718906112,0.293371961988619,0.22757675982986045,0.13161827233981757,0.22870070706586743,0.9462632666153645,0.972754579172841,0.8922889905826216,0.5989651455816934,0.5139386102757333,0.606184129202466,0.6008318680930426,0.5139386102757333,0.6130285026940281,0.18971185523547535,0.07614971224376707,0.23565450808887445
weighted_fire_specificity_silence_sensitivity_tau_0_3,21,0.32371086304602625,0.3706097832431982,0.33189965517910847,0.2259777767338642,0.038235294117647055,0.27662735871143723,0.9719525144295227,0.9939771776788018,0.9357408996934947,0.9696964389211661,0.9800129474576857,0.9418447828954677,0.028047485570477364,0.006022822321198163,0.06425910030650521,0.7740222232661357,0.9617647058823529,0.7233726412885626,0.30749543816558655,0.20908654207171626,0.2854788527920275,0.3017279197146052,0.17919864718906112,0.293371961988619,0.22757675982986045,0.13161827233981757,0.22870070706586743,0.9462632666153645,0.972754579172841,0.8922889905826216,0.5989651455816934,0.5139386102757333,0.606184129202466,0.6008318680930426,0.5139386102757333,0.6130285026940281,0.18971185523547535,0.07614971224376707,0.23565450808887445
weighted_fire_specificity_silence_sensitivity_tau_0_4,21,0.32371086304602625,0.3706097832431982,0.33189965517910847,0.2259777767338642,0.038235294117647055,0.27662735871143723,0.9719525144295227,0.9939771776788018,0.9357408996934947,0.9696964389211661,0.9800129474576857,0.9418447828954677,0.028047485570477364,0.006022822321198163,0.06425910030650521,0.7740222232661357,0.9617647058823529,0.7233726412885626,0.30749543816558655,0.20908654207171626,0.2854788527920275,0.3017279197146052,0.17919864718906112,0.293371961988619,0.22757675982986045,0.13161827233981757,0.22870070706586743,0.9462632666153645,0.972754579172841,0.8922889905826216,0.5989651455816934,0.5139386102757333,0.606184129202466,0.6008318680930426,0.5139386102757333,0.6130285026940281,0.18971185523547535,0.07614971224376707,0.23565450808887445
weighted_fire_specificity_silence_sensitivity_tau_0_5,21,0.32381438271476337,0.3706097832431982,0.3320059070385159,0.2259777767338642,0.038235294117647055,0.27662735871143723,0.9719581398338486,0.9939771776788018,0.9357466816431235,0.9696965053368015,0.9800129474576857,0.9418448511593358,0.028041860166151428,0.006022822321198163,0.06425331835687641,0.7740222232661357,0.9617647058823529,0.7233726412885626,0.3075596724924108,0.20908654207171626,0.2855338378470895,0.3017535030138275,0.17919864718906112,0.2933938614804632,0.2276313393891035,0.13161827233981757,0.22875672714133682,0.9462686686627406,0.972754579172841,0.8922945429596617,0.5989679582838564,0.5139386102757333,0.6061870201772803,0.6008318680930426,0.5139386102757333,0.6130285026940281,0.18971185523547535,0.07614971224376707,0.23565450808887445
