strategy,family,precision,recall,specificity,npv,fpr,fnr,f1,f2,mcc,accuracy,balanced_accuracy,roc_auc,pr_auc,positive_support
tool:codeql,CWE-116,0.0,0.0,0.9975821717597577,0.9933459392883762,0.002417828240242175,1.0,,,-0.003985804340268795,0.9909601748681831,0.49879108587987886,0.49879108587987886,0.00424599741186992,58
tool:codeql,CWE-190,0.4,0.02857142857142857,0.9993057919800382,0.9844149763710736,0.0006942080199618057,0.9714285714285715,0.12539184952978055,0.08622645790787382,0.10708915340566885,0.9837489728523463,0.5139386102757333,0.5139386102757333,0.029522180307498175,140
tool:codeql,CWE-191,0.0,0.0,0.9994232759906481,0.9894663908216911,0.0005767240093519734,1.0,,,-0.003072021730271023,0.9889018485315088,0.49971163799532403,0.49971163799532403,0.011197421902539029,92
tool:codeql,CWE-20,0.00832545315711907,0.038235294117647055,0.8160138684464977,0.9544492349397172,0.18398613155350238,0.9617647058823529,0.013671989262571727,0.022244657221560247,-0.07365507172527304,0.7857465447897988,0.4271245812820723,0.4271245812820723,0.025552827145975045,340
tool:codeql,CWE-269,,0.0,1.0,0.9900439889684988,0.0,1.0,,,,0.9900439889684988,0.5,0.5,0.006775135174142716,87
tool:codeql,CWE-285,0.04,0.0034482758620689655,0.9965623190988753,0.966694473945212,0.003437680901124669,0.9965517241379309,0.031746031746031744,0.02109704641350211,0.0011998966129126865,0.9634867815752759,0.5000052974804722,0.5000052974804722,0.03877113527250782,291
tool:codeql,CWE-287,0.3734407814407814,0.06904516129032258,0.9914978111395095,0.9327531082753374,0.008502188860490402,0.9309548387096773,0.11586490150382951,0.08234183536421656,0.13540307875745286,0.9257140206576991,0.530271486214916,0.530271486214916,0.06972193793554343,623
tool:codeql,CWE-311,0.34739100486951735,0.20216450216450216,0.9822827231594212,0.9638284103670378,0.017717276840578652,0.7978354978354979,0.25185114188445185,0.21910161028987654,0.23774468183167374,0.9478182306562823,0.5922236126619618,0.5922236126619618,0.13536215836946236,386
tool:codeql,CWE-327,0.7492604789719323,0.6857142857142857,0.9900869410897137,0.9869372446139261,0.009913058910286324,0.3142857142857143,0.7139800493370336,0.6963169766348831,0.704389012100666,0.977902132766118,0.8379006134019997,0.8379006134019997,0.5080147430562535,350
tool:codeql,CWE-330,0.9954545454545455,0.876,0.9998810232004759,0.9963654073202741,0.00011897679952409281,0.12400000000000003,0.9311838373975302,0.8971261781020917,0.9317002628317426,0.9963393592360976,0.937940511600238,0.937940511600238,0.8715566144146665,250
