base_strategy,strategy,tau,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
or_1_of_3,or_1_of_3,,522.6,284.8,340.4,599.8,1747.6,1122.4,625.2,0.647389016865046,0.4656271260391989,0.5443868929441383,0.36199321809007484,0.45561310705586167,0.5343728739608011,0.49387167522590625,0.5050070094916685,0.5416567932510618,0.4933238780507441,0.009693099795444863,0.5050070094916685,0.5807841084451295,0.7462639133246973
traditional_2_of_3,traditional_2_of_3,,232.2,74.0,551.2,890.2,1747.6,1122.4,625.2,0.7598601835004601,0.2068955569397926,0.8815914431998507,0.3823939025609252,0.11840855680014925,0.7931044430602074,0.44834779540088165,0.5442435000698216,0.32517467196391237,0.24212099879299856,0.11217880342743898,0.5246933375461322,0.6405684517985921,0.9295842744566581
weighted_fire_specificity_silence_sensitivity,weighted_fire_specificity_silence_sensitivity_tau_0_8,0.8,453.2,239.2,386.0,669.2,1747.6,1122.4,625.2,0.6547207334877484,0.40381891393743563,0.6173319288914852,0.36579606659374714,0.38266807110851475,0.5961810860625644,0.4802746772113232,0.5105754214144604,0.4995277967306295,0.4373352860097907,0.020831311801506772,0.49315885574080404,0.592592451014013,0.6607039695053538
dst_dempster_fire_specificity_silence_sensitivity,dst_dempster_fire_specificity_silence_sensitivity_tau_0_9,0.9,470.0,248.2,377.0,652.4,1747.6,1122.4,625.2,0.6545849141274147,0.4187732146759896,0.6029377133834384,0.36620714087549755,0.3970622866165616,0.5812267853240105,0.48473137845440056,0.5108554640297139,0.5107686992738903,0.4512850881178654,0.021246404626584146,0.5460619601665185,0.7001492107320026,0.7226257845172073
dst_pcr6_fire_specificity_silence_sensitivity,dst_pcr6_fire_specificity_silence_sensitivity_tau_0_9,0.9,453.6,240.8,384.4,668.8,1747.6,1122.4,625.2,0.6534360359617419,0.40417195895067487,0.6147682584608274,0.36495882644389416,0.38523174153917267,0.5958280410493251,0.479589112675092,0.5094701087057512,0.499421779253811,0.4375509590779233,0.018665527289677405,0.541550688868935,0.695282273622985,0.6937275852116725
dst_yager_fire_specificity_silence_sensitivity,dst_yager_fire_specificity_silence_sensitivity_tau_0_8,0.8,453.6,240.8,384.4,668.8,1747.6,1122.4,625.2,0.6534360359617419,0.40417195895067487,0.6147682584608274,0.36495882644389416,0.38523174153917267,0.5958280410493251,0.479589112675092,0.5094701087057512,0.499421779253811,0.4375509590779233,0.018665527289677405,0.5303715946753702,0.6814923292599366,0.6937275852116725
naive_bayes,naive_bayes_tau_0_9,0.9,79.6,3.8,621.4,1042.8,1747.6,1122.4,625.2,0.9544704544882044,0.07093257939333689,0.9939111306345678,0.37343180309267004,0.0060888693654322056,0.9290674206066631,0.40116008591646934,0.5324218550139523,0.13202641307031324,0.08704383668097844,0.145764972156816,0.5565420014586607,0.6937066355761206,0.9674619319061973
bks,bks_tau_0_7,0.7,66.4,0.8,624.4,1056.0,1747.6,1122.4,625.2,0.9890350877192983,0.05913678821773557,0.9987132787981684,0.371605582683037,0.0012867212018315584,0.9408632117822645,0.3953092423520386,0.5289250335079521,0.11156175747294247,0.07282534799175336,0.14431731423217045,0.5853957225774293,0.6939969111168514,0.9845987170349252
logistic_regression,logistic_regression_tau_0_9,0.9,273.2,59.8,565.4,849.2,1747.6,1122.4,625.2,0.8206483288732217,0.24344710965933833,0.9043086599263896,0.3997357240759515,0.09569134007361042,0.7565528903406616,0.4799007871260265,0.573877884792864,0.37540486501159187,0.2832721596239751,0.18043112949397466,0.624581319934294,0.7176546310072789,0.7307773901165951
logistic_interactions,logistic_interactions_tau_0_8,0.8,416.2,129.6,495.6,706.2,1747.6,1122.4,625.2,0.7633561100480954,0.37081856781006667,0.7926398821217704,0.4122944226969478,0.20736011787822967,0.6291814321899334,0.5218076471134737,0.5817292249659185,0.49903209366428775,0.4132807982062584,0.16943438228076652,0.6243856871587481,0.7218309347664561,0.8021902441172335
decision_tree,decision_tree_tau_0_8,0.8,416.6,129.2,496.0,705.8,1747.6,1122.4,625.2,0.7640440105436659,0.3711748696005387,0.7932798886754375,0.41263370701400576,0.20672011132456253,0.6288251303994613,0.5222644218733489,0.582227379137988,0.49950937017593666,0.41367799419784446,0.17044654460178923,0.6243237389178177,0.7214369242713293,0.8023876916609123
