strategy,base_strategy,tau,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
weighted_fire_specificity_silence_sensitivity_tau_0_1,weighted_fire_specificity_silence_sensitivity,0.1,522.4,284.8,340.4,600.0,1747.6,1122.4,625.2,0.6473021322028021,0.46544596661890897,0.5443868929441383,0.3619129119506483,0.45561310705586167,0.534554033381091,0.49375620178479773,0.5049164297815236,0.5415028123098561,0.4931506272235843,0.00951906211890249,0.49315885574080404,0.592592451014013,0.7465532990173488
weighted_fire_specificity_silence_sensitivity_tau_0_2,weighted_fire_specificity_silence_sensitivity,0.2,522.4,284.8,340.4,600.0,1747.6,1122.4,625.2,0.6473021322028021,0.46544596661890897,0.5443868929441383,0.3619129119506483,0.45561310705586167,0.534554033381091,0.49375620178479773,0.5049164297815236,0.5415028123098561,0.4931506272235843,0.00951906211890249,0.49315885574080404,0.592592451014013,0.7465532990173488
weighted_fire_specificity_silence_sensitivity_tau_0_3,weighted_fire_specificity_silence_sensitivity,0.3,522.4,284.8,340.4,600.0,1747.6,1122.4,625.2,0.6473021322028021,0.46544596661890897,0.5443868929441383,0.3619129119506483,0.45561310705586167,0.534554033381091,0.49375620178479773,0.5049164297815236,0.5415028123098561,0.4931506272235843,0.00951906211890249,0.49315885574080404,0.592592451014013,0.7465532990173488
weighted_fire_specificity_silence_sensitivity_tau_0_4,weighted_fire_specificity_silence_sensitivity,0.4,522.4,284.8,340.4,600.0,1747.6,1122.4,625.2,0.6473021322028021,0.46544596661890897,0.5443868929441383,0.3619129119506483,0.45561310705586167,0.534554033381091,0.49375620178479773,0.5049164297815236,0.5415028123098561,0.4931506272235843,0.00951906211890249,0.49315885574080404,0.592592451014013,0.7465532990173488
weighted_fire_specificity_silence_sensitivity_tau_0_5,weighted_fire_specificity_silence_sensitivity,0.5,522.2,284.8,340.4,600.2,1747.6,1122.4,625.2,0.6472162245829138,0.465270988491175,0.5443868929441383,0.3618384326810901,0.45561310705586167,0.534729011508825,0.49364275878990266,0.5048289407176567,0.5413545323573057,0.4929836069436687,0.009351538381070165,0.49315885574080404,0.592592451014013,0.7468340195804827
weighted_fire_specificity_silence_sensitivity_tau_0_6,weighted_fire_specificity_silence_sensitivity,0.6,507.0,277.4,347.8,615.4,1747.6,1122.4,625.2,0.6465474065255721,0.4516232228400753,0.5561979532185922,0.3609062887741262,0.4438020467814078,0.5483767771599247,0.4891654220755516,0.5039105880293338,0.5317247579398116,0.4805732389684373,0.007635631804216211,0.49315885574080404,0.592592451014013,0.7491390597890298
weighted_fire_specificity_silence_sensitivity_tau_0_7,weighted_fire_specificity_silence_sensitivity,0.7,456.4,241.2,384.0,666.0,1747.6,1122.4,625.2,0.6544752544157875,0.40665429519883245,0.6141266985493183,0.3656711649740915,0.3858733014506816,0.5933457048011677,0.4809591114359536,0.5103904968740753,0.5016137291013986,0.4399686954248976,0.02046116030273124,0.49315885574080404,0.592592451014013,0.6950726642253706
weighted_fire_specificity_silence_sensitivity_tau_0_8,weighted_fire_specificity_silence_sensitivity,0.8,453.2,239.2,386.0,669.2,1747.6,1122.4,625.2,0.6547207334877484,0.40381891393743563,0.6173319288914852,0.36579606659374714,0.38266807110851475,0.5961810860625644,0.4802746772113232,0.5105754214144604,0.4995277967306295,0.4373352860097907,0.020831311801506772,0.49315885574080404,0.592592451014013,0.6607039695053538
weighted_fire_specificity_silence_sensitivity_tau_0_9,weighted_fire_specificity_silence_sensitivity,0.9,399.4,239.2,386.0,723.0,1747.6,1122.4,625.2,0.6255250361672668,0.35586983520772864,0.6173319288914852,0.34807727381306985,0.38266807110851475,0.6441301647922714,0.44948916331833544,0.486600882049607,0.4536306642228857,0.38943853770869447,-0.02659685290659831,0.49315885574080404,0.592592451014013,0.6973856355034693
dst_dempster_fire_specificity_silence_sensitivity_tau_0_1,dst_dempster_fire_specificity_silence_sensitivity,0.1,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422200863607275,1.0,0.0,,1.0,0.0,0.6422200863607275,0.5,0.7821280702780786,0.899741940422021,,0.5460619601665185,0.7001492107320026,0.9080637781030514
