sample_id,row_index,fold
d8214d67cd47dce6,0,4
89445419f6c44b95,1,4
0012d44e2ab7f2ce,2,3
686c5b91ab582e67,3,0
cc0ce57587b25c09,4,0
e70bdf3122605208,5,3
507884d0df6e803e,6,0
edd985d5b6cacd6b,7,0
59cb489abb9d404e,8,3
ab75d5134caa4536,9,4
abf7d0fff9acf1da,10,0
39b223853e67eb3b,11,2
66fc3703c11ece3d,12,1
13489d101ac83903,13,4
fca47778c951f7e9,14,1
6c1cd7c33fe6dac8,15,0
f19f38ce247e77e1,16,3
6de248379b51a538,17,3
67332ad819b30a2f,18,3
84681eae629dd552,19,0
f841252494dcdfc3,20,0
4b4ce5b6da311018,21,1
51ac652a2e84ecc8,22,1
bee805a979dbe50b,23,0
7bb0f8ec800e8a56,24,1
b703b81b439d1ee0,25,2
8c66276cc369f4cc,26,3
c2c43b0edbdcc40d,27,2
321205ebdf3c1516,28,2
e691bbca412bca84,29,0
fb368e5b915ca58b,30,2
745f70282c6c3f18,31,1
ea2513c8198dba9c,32,2
611d40158149559e,33,0
81493e0b3106c50c,34,4
d09609ef460cfbba,35,1
56b2704ad8991c3b,36,2
f689d77b9417f1f8,37,0
991c51af58438cd7,38,2
6327b1e4618308e8,39,1
70b57b6dbcd9f7ec,40,3
32a457352c41214c,41,0
17b2d43c38e1e141,42,1
6807f5192b6cd69a,43,1
4fb6e10a2d0e7c68,44,0
364f9b854b2ef1a5,45,2
4962d41a90cbd311,46,3
48b90b454e8382a7,47,3
86c8a41aec7ff30c,48,3
a2575a3d797bbf15,49,4
8e886eebb633ee38,50,3
547e196e016b3a3c,51,0
2fe72f73897d4695,52,2
2327abb9662d878e,53,3
1ce43c8c16d0ce47,54,3
9fda21e1606daac7,55,3
1598f82c531ce3e0,56,0
c634cae166417822,57,1
b825265dbf85cbc4,58,1
75d6f9b0091a9a03,59,2
54e3aa370366a041,60,1
1b8fd33a5561d5b0,61,3
ab9548b83e41d2c1,62,4
db61bbf6fcf354c4,63,0
a1b4aa70c6382bdd,64,1
b2889ef76b7d8561,65,2
a75769c5e3b69534,66,2
58027e13aeec1bf7,67,4
71f4d671cf77be70,68,3
4c43e528957af5d2,69,3
bd0b51e1ddde0928,70,2
baa79241a3194ccf,71,0
ceb2d84b3e64706e,72,3
5209b3fc9d18687e,73,2
197d0950d5b6a107,74,4
4c11de2eb902bf5b,75,3
e563c4b22ae46ba8,76,4
2170c4ac16e97e52,77,1
51ea54ba84f35b07,78,0
45a22445b49b74ca,79,2
2542c46e43f934cf,80,3
0b26f5f248498653,81,0
abba0435522ed7a0,82,4
f1ab3304861d9ab7,83,2
c66ed6eaa03a18e9,84,4
d451967ee72e71e0,85,3
894b1d95e8dcb016,86,2
2ad631eee55af98b,87,0
7fc8def0b8588200,88,4
caabe97ffa7a818a,89,4
97896e347985c9af,90,3
4905c53d66800e24,91,1
0905171c9a8652ea,92,0
db8d3d2fab4b5d36,93,3
3e0ad24f71aa4e81,94,2
12ca8832e9b909f4,95,3
436cf1f9d04ffba9,96,4
57a499289a02d50c,97,4
15d53fe9a7811658,98,0
9e9b05638b0f08b9,99,1
7973dce9b80df4bd,100,0
dfff7f7102a41914,101,3
e445997a15732acf,102,4
b73e00316dfac2dc,103,1
5869a5af89f3ad52,104,4
66b3786fd8accedb,105,2
17cd3075c01038cd,106,2
1e466064a8ea614b,107,4
29e3b766bf6bd7a6,108,0
c85d0703073d948c,109,0
282c2434dd650cdc,110,0
330fcb3045d18d2b,111,2
2c3d6f833f324da3,112,0
cfea7f30759b1518,113,2
9a12a3340bac7e3f,114,2
d1cea101042c31f3,115,1
e2cad3c1ae22f4ad,116,4
a14501a98aeed13e,117,1
9d23ed08fba548fe,118,2
21ccb9776550b1d4,119,1
907a31ba025d9cc1,120,1
b8c0239652d22bc7,121,0
a79f63c0ab4a569c,122,1
2aa74e6cb90d1ad9,123,1
992e0451fb22f095,124,1
32a2339d4e2d5e05,125,1
2a706468450b8071,126,2
1e19fee2b2f5dd95,127,0
08aa88e496250167,128,0
3f1b3ee72a361f1c,129,2
c9cb832ca74f9648,130,4
a7c09879d90550cd,131,0
aba5c8d75cce933d,132,0
64bc01144063120d,133,1
59e04b57f08a909d,134,2
b500e1a0c371232c,135,1
9cc45fe8a6cb6f9d,136,2
3547e18ab266a95d,137,0
35f3117af8becab2,138,0
71d4a09e2c161805,139,4
a7b40a7a50ebc197,140,1
eaf4e5a2160c588d,141,0
6915c58b0e56356a,142,4
cf5af51e3e35da7c,143,3
a925bd0157226572,144,2
8b2ab2c7331d18ba,145,1
12b04ee1374e0720,146,3
680dd06650a1d9fa,147,4
9340c8d49b85bf26,148,3
25f098485e9665cf,149,1
8fad75a291e5abe1,150,0
598638e27ef51e6f,151,0
47dc81e74551fa9d,152,1
41c06a0ce74cecb9,153,1
4a75ffc6ea00e65f,154,3
2e76febb17dff6ba,155,3
57adc9469b6c0adb,156,2
fc7626e5935925fa,157,4
d6fbba33d12d73ac,158,1
d241028945012d97,159,3
cdd977daaa1fae6c,160,4
8c1eec9be07c1fe2,161,1
2aae2f493e5bffaf,162,1
f680f3e7c4138378,163,2
5280bed0087d61a7,164,3
55e680c11fba9492,165,2
9367d068218de5c0,166,0
691f2a77bfcdb3c9,167,3
7525a7106c930c5b,168,2
2fcf1a1a66e45cfd,169,0
f07f201999e06d9b,170,0
60008cc0005dad31,171,4
7921b7f05e09c216,172,3
0eadec6f26d5dfb8,173,0
c34d258708bb6712,174,1
f32414cc5b15f3ae,175,2
d1ff142819ba72ca,176,4
cd50b6d1f0985963,177,4
3cc8ef39b6daa4dc,178,3
902b3921907ed6b1,179,3
e4bbd830207f8716,180,4
7d5e0b6588cb5af4,181,0
f88e1cf31dfcc951,182,2
2face602d835cc94,183,2
5591beea89fcebdd,184,4
457f101988650333,185,1
e22ff107d0982d9a,186,1
05b4a9d517359d5f,187,1
fca7bae9e3c690cd,188,1
