strategy,n_families,precision_macro,precision_median,precision_weighted,recall_macro,recall_median,recall_weighted,specificity_macro,specificity_median,specificity_weighted,npv_macro,npv_median,npv_weighted,fpr_macro,fpr_median,fpr_weighted,fnr_macro,fnr_median,fnr_weighted,f1_macro,f1_median,f1_weighted,f2_macro,f2_median,f2_weighted,mcc_macro,mcc_median,mcc_weighted,accuracy_macro,accuracy_median,accuracy_weighted,balanced_accuracy_macro,balanced_accuracy_median,balanced_accuracy_weighted,roc_auc_macro,roc_auc_median,roc_auc_weighted,pr_auc_macro,pr_auc_median,pr_auc_weighted
tool:bandit,23,0.4009677527239097,0.3799131877967416,0.3940862323563345,0.11758207181297928,0.023762376237623763,0.1531362398689643,0.9882651656375576,0.9997058548349216,0.968139127934659,0.9685381806387947,0.9768006580237231,0.9284570300598679,0.011734834362442383,0.0002941451650783528,0.03186087206534095,0.8824179281870207,0.9762376237623762,0.8468637601310357,0.21154779775587704,0.17424242424242425,0.2135663784317984,0.20791422286397745,0.11653116531165313,0.20056153057360304,0.2203757169846316,0.19286153924832178,0.1927923864945032,0.9591307139926515,0.9768006580237231,0.905295355456209,0.5529236187252683,0.5108032875499727,0.5606376839018116,0.5529236187252684,0.5108032875499728,0.5606376839018116,0.08103730241133737,0.04353436859444493,0.137839367587962
tool:codeql,23,0.35187695816915915,0.2333333333333333,0.3730045023327151,0.06387275686352693,0.03333333333333333,0.09257801544699439,0.9819201561997117,0.9968053872375371,0.9624285355654897,0.9661072923114276,0.9768006580237231,0.921141679123146,0.018079843800288365,0.0031946127624629048,0.03757146443451022,0.9361272431364732,0.9666666666666666,0.9074219845530056,0.11829969553758796,0.11673520913224514,0.12918433650541897,0.09861336662086295,0.08795228699487849,0.1066662153979887,0.11238915580706126,0.10539070494466878,0.1092312791432587,0.9508249875982658,0.9706187986349724,0.8925352035542616,0.5228964565316193,0.5153657347755605,0.5275032755062421,0.5228964565316193,0.5153657347755605,0.5275032755062421,0.05328988312238932,0.0325427324574041,0.09940086019423022
tool:devaic,23,,,,0.0,0.0,0.0,1.0,1.0,1.0,0.9642512767492208,0.9768006580237231,0.916372993721398,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,0.9642512767492208,0.9768006580237231,0.916372993721398,0.5,0.5,0.5,0.5,0.5,0.5,0.029364804511140243,0.017079166332417912,0.06872278411764622
tool:pylint,23,0.14346176054188622,0.1416285632176043,0.2639965138982207,0.009068023309711733,0.0,0.03685993724678044,0.9914902818817007,1.0,0.9841005740550443,0.9649311548519689,0.9767044663167088,0.9191951934728403,0.0085097181182992,0.0,0.015899425944955782,0.9909319766902883,1.0,0.9631400627532195,0.14743470218626795,0.14743470218626795,0.1446924065859129,0.11782367775759614,0.11782367775759614,0.11519667837202344,0.03947580642508222,0.027037212663809377,0.0826563986996307,0.9576273811995586,0.9679145347460121,0.9081093796607842,0.5002791525957062,0.5,0.5104802556509124,0.5002791525957062,0.5,0.5104802556509124,0.0320416177731949,0.017079166332417912,0.07981251795561763
tool:semgrep,23,0.18699355425044176,0.1799122807017544,0.30399626016068676,0.07619573200983965,0.0,0.1039678754378727,0.9906062078244523,0.9973685594350442,0.9822002819745428,0.9672088416869613,0.9768006580237231,0.9250383067558734,0.009393792175547644,0.0026314405649558053,0.017799718025457403,0.9238042679901604,1.0,0.8960321245621272,0.18797836174049729,0.15115906346196664,0.17627544459460506,0.1807523555950842,0.14095214288163618,0.15614775950253104,0.10818527986814858,0.0774499271693169,0.13320144448178495,0.9592122361455853,0.967729341780944,0.9123488140791204,0.533400969917146,0.5,0.5430840787062077,0.533400969917146,0.5,0.5430840787062077,0.059669263945341895,0.03919513409412095,0.12024313977149358
or_1_of_5,23,0.21897864149216326,0.19666666666666668,0.30769262753763427,0.1845079332705198,0.14277831872768582,0.2524244414360259,0.9609688300486673,0.9787226621005857,0.9230128773284996,0.9706715342742881,0.9767044663167088,0.9342589648084381,0.039031169951332656,0.02127733789941435,0.07698712267150042,0.8154920667294803,0.8572216812723141,0.7475755585639742,0.20314983919942267,0.18772282316146166,0.23973807266538114,0.2188303666261879,0.16761889788649725,0.24944629548494227,0.13923753989267365,0.11845410008182712,0.17677518259242042,0.9369977225242149,0.966599158392906,0.8752830465983502,0.5727383816595937,0.5491077383590323,0.5877186593822626,0.5727383816595938,0.5491077383590323,0.5877186593822628,0.08813702617903178,0.04586443941076083,0.14877118155772534
traditional_2_of_5,23,0.42214708582788396,0.42410491446811704,0.42331244342649305,0.06467449247743927,0.006521739130434782,0.09976745934400627,0.9936375409330013,0.9989600881005026,0.9824729844560006,0.9670301336860616,0.9768006580237231,0.9248824540947015,0.0063624590669986774,0.001039911899497438,0.017527015543999273,0.9353255075225606,0.9934782608695653,0.9002325406559937,0.1676431523234032,0.10780527252049793,0.17212638669721866,0.14104845602325256,0.07374126265138434,0.1412665035916817,0.17493294470411103,0.13681248639372626,0.16909586481572775,0.9620831151884847,0.9768006580237231,0.9129873337505601,0.5291560167052204,0.5,0.5411202219000035,0.5732689223054266,0.549372818868372,0.5893980402418089,0.09460865377835702,0.053573538697147836,0.1545480220041146
weighted_fire_specificity_silence_sensitivity_tau_0_1,23,0.192214702586655,0.19666666666666668,0.2798218289305736,0.18438190932597037,0.14277831872768582,0.2523103460377637,0.9609728354158594,0.9787226621005857,0.9230130345357443,0.9706676002436044,0.9767044663167088,0.9342553983629412,0.03902716458414063,0.02127733789941435,0.07698696546425567,0.8156180906740297,0.8572216812723141,0.7476896539622363,0.21341915747165763,0.1889451489313563,0.2487150549551597,0.23064094457383158,0.1740591089007945,0.2592832448488898,0.14689556012654167,0.13643067423557254,0.1794851937403226,0.9369976532710187,0.966599158392906,0.8752795196473941,0.5726773723709149,0.5491077383590323,0.587661690286754,0.57305903526964,0.5499145529414445,0.5891858738535344,0.09751909114906676,0.05777831657791286,0.15813446426655528
weighted_fire_specificity_silence_sensitivity_tau_0_2,23,0.192214702586655,0.19666666666666668,0.2798218289305736,0.18438190932597037,0.14277831872768582,0.2523103460377637,0.9609728354158594,0.9787226621005857,0.9230130345357443,0.9706676002436044,0.9767044663167088,0.9342553983629412,0.03902716458414063,0.02127733789941435,0.07698696546425567,0.8156180906740297,0.8572216812723141,0.7476896539622363,0.21341915747165763,0.1889451489313563,0.2487150549551597,0.23064094457383158,0.1740591089007945,0.2592832448488898,0.14689556012654167,0.13643067423557254,0.1794851937403226,0.9369976532710187,0.966599158392906,0.8752795196473941,0.5726773723709149,0.5491077383590323,0.587661690286754,0.57305903526964,0.5499145529414445,0.5891858738535344,0.09751909114906676,0.05777831657791286,0.15813446426655528
weighted_fire_specificity_silence_sensitivity_tau_0_3,23,0.192214702586655,0.19666666666666668,0.2798218289305736,0.18438190932597037,0.14277831872768582,0.2523103460377637,0.9609728354158594,0.9787226621005857,0.9230130345357443,0.9706676002436044,0.9767044663167088,0.9342553983629412,0.03902716458414063,0.02127733789941435,0.07698696546425567,0.8156180906740297,0.8572216812723141,0.7476896539622363,0.21341915747165763,0.1889451489313563,0.2487150549551597,0.23064094457383158,0.1740591089007945,0.2592832448488898,0.14689556012654167,0.13643067423557254,0.1794851937403226,0.9369976532710187,0.966599158392906,0.8752795196473941,0.5726773723709149,0.5491077383590323,0.587661690286754,0.57305903526964,0.5499145529414445,0.5891858738535344,0.09751909114906676,0.05777831657791286,0.15813446426655528
