fold,strategy,family,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc
0,tool:bandit,CWE-20,8,56,1989,84,2137,92,2045,0.125,0.08695652173913043,0.9726161369193154,0.959479015918958,0.027383863080684596,0.9130434782608695,0.9344875994384652,0.5297863293292229,0.10256410256410256,0.0925925925925926,0.07094109936518815,0.5297863293292229,0.04399721426860478
0,tool:bandit,CWE-74,132,231,1570,204,2137,336,1801,0.36363636363636365,0.39285714285714285,0.8717379233759023,0.8850056369785795,0.12826207662409772,0.6071428571428571,0.7964436125409452,0.6322975331165226,0.37768240343347637,0.38664323374340953,0.2564945352654277,0.6322975331165226,0.3595766423804871
0,tool:bandit,CWE-116,0,0,2122,15,2137,15,2122,,0.0,1.0,0.9929808142255498,0.0,1.0,0.9929808142255498,0.5,,,,0.5,0.0056753974367750705
0,tool:bandit,CWE-185,0,0,2134,3,2137,3,2134,,0.0,1.0,0.99859616284511,0.0,1.0,0.99859616284511,0.5,,,,0.5,0.006263586270131849
0,tool:bandit,CWE-285,9,3,2061,64,2137,73,2064,0.75,0.1232876712328767,0.998546511627907,0.9698823529411764,0.0014534883720930232,0.8767123287671232,0.9686476368741226,0.5609170914303918,0.2117647058823529,0.14802631578947367,0.29615245774176263,0.5609170914303918,0.12788320998330444
0,tool:bandit,CWE-287,51,83,1857,146,2137,197,1940,0.3805970149253731,0.25888324873096447,0.9572164948453609,0.927109335996006,0.042783505154639176,0.7411167512690355,0.8928404305100608,0.6080498717881626,0.3081570996978852,0.2765726681127983,0.2578667553813729,0.6080498717881626,0.142739019366537
0,tool:bandit,CWE-311,0,0,2059,78,2137,78,2059,,0.0,1.0,0.9635002339728591,0.0,1.0,0.9635002339728591,0.5,,,,0.5,0.021992720637341926
0,tool:bandit,CWE-326,1,0,2126,10,2137,11,2126,1.0,0.09090909090909091,1.0,0.9953183520599251,0.0,0.9090909090909091,0.9953205428170332,0.5454545454545454,0.16666666666666669,0.11111111111111112,0.30080473159659954,0.5454545454545454,0.0964880058467529
0,tool:bandit,CWE-327,24,29,2075,9,2137,33,2104,0.4528301886792453,0.7272727272727273,0.9862167300380228,0.9956813819577736,0.013783269961977186,0.2727272727272727,0.9822180627047262,0.8567447286553751,0.5581395348837209,0.6486486486486487,0.5656927409216055,0.8567447286553751,0.2900970424563666
0,tool:bandit,CWE-330,19,38,2069,11,2137,30,2107,0.3333333333333333,0.6333333333333333,0.9819648789748457,0.9947115384615385,0.018035121025154248,0.36666666666666664,0.9770706598034627,0.8076491061540896,0.43678160919540227,0.5367231638418078,0.44927210371026866,0.8076491061540896,0.2787533809614737
0,tool:bandit,CWE-345,0,0,2008,129,2137,129,2008,,0.0,1.0,0.9396350023397286,0.0,1.0,0.9396350023397286,0.5,,,,0.5,0.037231417969340576
0,tool:bandit,CWE-400,3,84,1984,66,2137,69,2068,0.034482758620689655,0.043478260869565216,0.9593810444874274,0.9678048780487805,0.04061895551257253,0.9565217391304348,0.9298081422554983,0.5014296526784964,0.038461538461538464,0.04132231404958678,0.0025575480022609312,0.5014296526784964,0.037828716121768115
0,tool:bandit,CWE-477,0,0,2132,5,2137,5,2132,,0.0,1.0,0.9976602714085167,0.0,1.0,0.9976602714085167,0.5,,,,0.5,0.0016292059987659004
0,tool:bandit,CWE-489,0,0,2136,1,2137,1,2136,,0.0,1.0,0.9995320542817033,0.0,1.0,0.9995320542817033,0.5,,,,0.5,0.0006053268765133172
0,tool:bandit,CWE-573,4,19,2103,11,2137,15,2122,0.17391304347826086,0.26666666666666666,0.9910461828463714,0.9947965941343425,0.008953817153628653,0.7333333333333333,0.9859616284510997,0.628856424756519,0.2105263157894737,0.24096385542168677,0.20851532665359646,0.628856424756519,0.05490105830155904
0,tool:bandit,CWE-610,0,0,2041,96,2137,96,2041,,0.0,1.0,0.955077211043519,0.0,1.0,0.955077211043519,0.5,,,,0.5,0.04425060727465437
0,tool:bandit,CWE-668,14,10,1826,287,2137,301,1836,0.5833333333333334,0.046511627906976744,0.9945533769063181,0.8641741599621391,0.0054466230936819175,0.9534883720930233,0.8610201216658867,0.5205325024066474,0.08615384615384615,0.05700325732899023,0.13556141547713377,0.5205325024066474,0.12505290541693656
0,tool:bandit,CWE-669,0,0,2087,50,2137,50,2087,,0.0,1.0,0.9766027140851661,0.0,1.0,0.9766027140851661,0.5,,,,0.5,0.013975520605770756
0,tool:bandit,CWE-704,0,0,2135,2,2137,2,2135,,0.0,1.0,0.9990641085634067,0.0,1.0,0.9990641085634067,0.5,,,,0.5,0.0013184759663632903
0,tool:bandit,CWE-706,2,4,2032,99,2137,101,2036,0.3333333333333333,0.019801980198019802,0.9980353634577603,0.9535429375879868,0.0019646365422396855,0.9801980198019802,0.9518015910154423,0.5089186718278901,0.037383177570093455,0.024390243902439022,0.0715339823518324,0.5089186718278901,0.059967107644596306
0,tool:bandit,CWE-834,0,0,2125,12,2137,12,2125,,0.0,1.0,0.9943846513804399,0.0,1.0,0.9943846513804399,0.5,,,,0.5,0.004316821992793728
0,tool:bandit,CWE-913,5,5,2091,36,2137,41,2096,0.5,0.12195121951219512,0.9976145038167938,0.9830747531734838,0.002385496183206107,0.8780487804878049,0.9808142255498362,0.5597828616644944,0.19607843137254902,0.14367816091954022,0.24033140095534836,0.5597828616644945,0.08346250377412356
0,tool:bandit,CWE-923,0,0,2068,69,2137,69,2068,,0.0,1.0,0.9677117454375292,0.0,1.0,0.9677117454375292,0.5,,,,0.5,0.019327758961294655
0,tool:codeql,CWE-20,13,341,1704,79,2137,92,2045,0.03672316384180791,0.14130434782608695,0.8332518337408313,0.9556926528323051,0.16674816625916872,0.8586956521739131,0.8034627983153955,0.48727809078345913,0.05829596412556054,0.09002770083102493,-0.0138913852263579,0.48727809078345913,0.03340200732756073
0,tool:codeql,CWE-74,39,101,1700,297,2137,336,1801,0.2785714285714286,0.11607142857142858,0.9439200444197668,0.8512769153730596,0.0560799555802332,0.8839285714285714,0.8137576041179223,0.5299957364955977,0.16386554621848737,0.13140161725067384,0.08825980635995757,0.5299957364955977,0.1934903762088981
0,tool:codeql,CWE-116,4,43,2079,11,2137,15,2122,0.0851063829787234,0.26666666666666666,0.9797360980207351,0.9947368421052631,0.020263901979264844,0.7333333333333333,0.9747309312119794,0.6232013823437009,0.12903225806451613,0.18691588785046728,0.14026258019248325,0.6232013823437009,0.034124287814442676
0,tool:codeql,CWE-185,0,0,2134,3,2137,3,2134,,0.0,1.0,0.99859616284511,0.0,1.0,0.99859616284511,0.5,,,,0.5,0.006263586270131849
