base_strategy,strategy,tau,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
or_1_of_5,or_1_of_5,,808.0,332.0,369.6,628.8,2138.4,1436.8,701.6,0.7089011343606193,0.5625077414207577,0.5268124854978158,0.37028691959112026,0.4731875145021841,0.43749225857924234,0.5507127482318558,0.5446601134592868,0.6270496019360714,0.5866234835411409,0.0841009799711051,0.5446601134592868,0.6215630219013796,0.512924558626547
traditional_2_of_5,traditional_2_of_5,,321.2,55.8,645.8,1115.6,2138.4,1436.8,701.6,0.8520022131678207,0.22366880287591986,0.9204524422038419,0.36673542973341183,0.07954755779615802,0.7763311971240802,0.4523019623093766,0.5720606225398809,0.354288757183623,0.26235847035221005,0.17754896043608506,0.5765126937791676,0.7110738181623918,0.5428768150511287
weighted_fire_specificity_silence_sensitivity,weighted_fire_specificity_silence_sensitivity_tau_0_4,0.4,808.0,332.0,369.6,628.8,2138.4,1436.8,701.6,0.7089011343606193,0.5625077414207577,0.5268124854978158,0.37028691959112026,0.4731875145021841,0.43749225857924234,0.5507127482318558,0.5446601134592868,0.6270496019360714,0.5866234835411409,0.0841009799711051,0.5336533483396225,0.6501699267273356,0.512924558626547
dst_dempster_fire_specificity_silence_sensitivity,dst_dempster_fire_specificity_silence_sensitivity_tau_0_6,0.6,808.0,332.0,369.6,628.8,2138.4,1436.8,701.6,0.7089011343606193,0.5625077414207577,0.5268124854978158,0.37028691959112026,0.4731875145021841,0.43749225857924234,0.5507127482318558,0.5446601134592868,0.6270496019360714,0.5866234835411409,0.0841009799711051,0.5869864650890613,0.742436461549525,0.512924558626547
dst_pcr6_fire_specificity_silence_sensitivity,dst_pcr6_fire_specificity_silence_sensitivity_tau_0_7,0.7,802.0,331.2,370.4,634.8,2138.4,1436.8,701.6,0.7078544533934114,0.5583375904629809,0.5279508777694668,0.36859090162795144,0.47204912223053325,0.4416624095370191,0.5482855140196475,0.5431442341162238,0.624039815496962,0.5828471831081192,0.0812173200557331,0.5797186466905464,0.7356389375057379,0.5152701282952326
dst_yager_fire_specificity_silence_sensitivity,dst_yager_fire_specificity_silence_sensitivity_tau_0_9,0.9,612.0,216.6,485.0,824.8,2138.4,1436.8,701.6,0.7388269297745492,0.4261047034171964,0.6912692167451405,0.37036500992173305,0.3087307832548594,0.5738952965828036,0.5130629189211409,0.5586869600811685,0.5403305096020398,0.46544690062048966,0.11320796262375206,0.5600951097802259,0.7200828687740402,0.4452791833199245
naive_bayes,naive_bayes_tau_0_3,0.3,435.0,80.6,621.0,1001.8,2138.4,1436.8,701.6,0.8441517541930208,0.3028950122982242,0.8851341695238671,0.3827624797616741,0.11486583047613283,0.6971049877017759,0.49393197868206346,0.5940145909110457,0.4457263798101705,0.34742217977562334,0.20655028652106228,0.6226963157451764,0.7589403366529603,0.5938023339759205
bks,bks_tau_0_2,0.2,584.6,135.2,566.4,852.2,2138.4,1436.8,701.6,0.8121372997618845,0.40689270276163053,0.8073236339843284,0.39935164381285987,0.19267636601567173,0.5931072972383695,0.5382968295333783,0.6071081683729794,0.5421206359938286,0.4519876480424256,0.21284459302360131,0.6186624089426896,0.7574298264164776,0.5829639597458053
logistic_regression,logistic_regression_tau_0_6,0.6,655.2,163.4,538.2,781.6,2138.4,1436.8,701.6,0.8003543126552977,0.45604319662308274,0.7671275947199799,0.4079404728170764,0.23287240528002004,0.5439568033769173,0.5581219921167697,0.6115853956715313,0.5808996357795737,0.498925819037245,0.2156001291281612,0.6345846048568794,0.7599565119644498,0.5682840073967036
logistic_interactions,logistic_interactions_tau_0_6,0.6,656.6,163.0,538.6,780.2,2138.4,1436.8,701.6,0.8011119853715496,0.4569595519217822,0.7676965847626542,0.4084883059839214,0.23230341523734582,0.5430404480782177,0.5589436433771432,0.6123280683422182,0.5818785989068631,0.4998768770227894,0.2169929142585849,0.6355523977211519,0.7602745969572894,0.5690925141791757
