tool_a,tool_b,double_fault,disagreement,q_statistic
bandit,codeql,0.03046568747051839,0.029099367263618472,0.9865174139514706
bandit,devaic,0.030270498869532685,0.01606646171863563,0.9959911178438037
bandit,pylint,0.030681208217440102,0.021865189739585875,0.9918487852672728
bandit,semgrep,0.03160022121374778,0.01844532279314888,0.9943491682790285
codeql,devaic,0.03243383919712422,0.020043429463719318,0.9964018386304788
codeql,pylint,0.031681549797491826,0.028168154979749182,0.9875357486014703
codeql,semgrep,0.03263309422729713,0.024683225166316953,0.9912783381427196
devaic,pylint,0.034426389498853266,0.009255192830072057,0.9993648894680341
devaic,semgrep,0.03202719627840401,0.012471738317148946,0.997875606320598
pylint,semgrep,0.031937734836285564,0.019270807918150914,0.9939320890861505
