strategy,n_families,precision_macro,precision_median,precision_weighted,recall_macro,recall_median,recall_weighted,specificity_macro,specificity_median,specificity_weighted,npv_macro,npv_median,npv_weighted,fpr_macro,fpr_median,fpr_weighted,fnr_macro,fnr_median,fnr_weighted,f1_macro,f1_median,f1_weighted,f2_macro,f2_median,f2_weighted,mcc_macro,mcc_median,mcc_weighted,accuracy_macro,accuracy_median,accuracy_weighted,balanced_accuracy_macro,balanced_accuracy_median,balanced_accuracy_weighted,roc_auc_macro,roc_auc_median,roc_auc_weighted,pr_auc_macro,pr_auc_median,pr_auc_weighted
tool:bandit,15,0.3783080441756002,0.3820670646629612,0.4007719485094544,0.16195110632157078,0.06121057118499573,0.15657462355339846,0.982640400422617,0.9970470854209529,0.9670414308076748,0.9536382409342276,0.9635023831812953,0.925935146930352,0.017359599577382864,0.002952914579047134,0.03295856919232528,0.8380488936784293,0.9387894288150044,0.8434253764466014,0.21590877700048902,0.11312650763870276,0.21316539370177795,0.2146587620791722,0.09015781276789232,0.20029382196096582,0.2156587809816946,0.18709453095957834,0.19221703002380314,0.9398364151968933,0.9553800572390705,0.9019972145038326,0.5722957533720939,0.5196798687081688,0.5618080271805366,0.5722957533720939,0.5196798687081688,0.5618080271805366,0.11682161922186694,0.07304275037259775,0.14299475939339085
tool:codeql,15,0.3951156419348348,0.3039687029761077,0.3755343117834061,0.0789209827713949,0.07118421052631578,0.09373578065615995,0.9751026848803891,0.9928549077501844,0.961189614113136,0.9499175729591934,0.9636535447293632,0.9183468613620364,0.02489731511961089,0.007145092249815646,0.038810385886863925,0.9210790172286051,0.9288157894736843,0.90626421934384,0.11686912992560952,0.11580149220372687,0.1303457315776138,0.09511076679352547,0.08386350054895578,0.10714658175167979,0.11939063793288282,0.11177370549338769,0.10878766294183612,0.9292909396610182,0.9517355707940531,0.8888383647166955,0.527011833825892,0.5320195591382502,0.5274626973846481,0.527011833825892,0.53201955913825,0.527462697384648,0.07475089469708987,0.050410221441208915,0.10215703984715649
tool:pylint,15,0.19206086077529982,0.2835392189463815,0.2670352571068988,0.013904067150405227,0.0,0.03825652070121792,0.9939058883091725,1.0,0.9838190591558934,0.9482472158438513,0.9633309785506639,0.9163385223158341,0.006094111690827462,0.0,0.01618094084410673,0.9860959328495948,1.0,0.961743479298782,0.14764732358660937,0.14764732358660937,0.14489203413967547,0.11788206409898777,0.11788206409898777,0.11525175908190513,0.05846020866283158,0.06386913550485382,0.08375246517316275,0.9439669846918537,0.9633309785506639,0.9051534577098556,0.5039049777297889,0.5,0.5110377899285555,0.5039049777297889,0.5,0.5110377899285555,0.047063899731234704,0.03138774210479754,0.08247427800902657
tool:semgrep,15,0.26444971423819724,0.24857142857142858,0.3247808738593666,0.10801451581208636,0.01782178217821782,0.10709464307603454,0.9885873188234056,0.9970917949492273,0.9816067959071623,0.9516794011089119,0.9670078016782625,0.9223925908971489,0.0114126811765945,0.0029082050507727333,0.018393204092837793,0.8919854841879136,0.9821782178217822,0.8929053569239654,0.18407389901588206,0.13276862173296808,0.17167847303433106,0.178908995317853,0.13258555058872573,0.15291078078421785,0.14609399488270525,0.10025798881738428,0.1376776131633084,0.9424000144019509,0.9569714846666713,0.9093002253973521,0.548300917317746,0.5075882247368929,0.5443507194915983,0.548300917317746,0.5075882247368929,0.5443507194915983,0.08723763980752505,0.057557589654159136,0.12441092646216403
or_1_of_4,15,0.30746194823164635,0.26944065571899384,0.321899561382767,0.24179105624524125,0.1655043859649123,0.256924799617098,0.9520623947198654,0.9760774519282451,0.9207682712334114,0.9567954482850979,0.9669784022576667,0.9319365534625021,0.047937605280134486,0.023922548071754857,0.0792317287665886,0.7582089437547589,0.8344956140350878,0.7430752003829021,0.2188103569431666,0.1889738017020412,0.24282159898381273,0.23669634154611244,0.16753008308622613,0.25243739347974015,0.18386875007521997,0.1505580118700444,0.1817210066515155,0.9170021919094243,0.9395709359881602,0.871391370058083,0.5969267254825534,0.5635955438040033,0.5888465354252549,0.5969267254825534,0.5635955438040033,0.5888465354252548,0.12584916739370455,0.08559205248224828,0.15314633854080403
traditional_2_of_4,15,0.40335156643993675,0.431308503216257,0.4148998646010402,0.09665071741153851,0.03762376237623762,0.1033191647779738,0.9917373572239471,0.9980576846174347,0.9818328314761907,0.951434266689884,0.9638956820294065,0.9222356784228087,0.008262642776052884,0.0019423153825651788,0.01816716852380925,0.9033492825884614,0.9623762376237623,0.8966808352220261,0.16787270460430131,0.10275881677628403,0.17241909210156506,0.14342390087047763,0.07105679416531083,0.14150033716268512,0.1797804257657158,0.1360185555343049,0.16831381126565206,0.9453382768431342,0.9621158906370759,0.9099079357922564,0.5441940373177429,0.5181753252661871,0.5425759981270823,0.5977340684572299,0.5638637974516697,0.5905721195353815,0.13391138717034165,0.10516676196251873,0.1590511058723621
weighted_fire_specificity_silence_sensitivity_tau_0_1,15,0.2579949445339068,0.262375667095628,0.2930158051644286,0.2415978195302654,0.1655043859649123,0.25680637966778586,0.9520623947198654,0.9760774519282451,0.9207682712334114,0.9567894618217301,0.9669784022576667,0.9319328848186389,0.047937605280134486,0.023922548071754857,0.0792317287665886,0.7584021804697347,0.8344956140350878,0.7431936203322141,0.23344412066406955,0.18940307361333358,0.2522350032965346,0.2535152492407176,0.17398029517749455,0.2627355332612473,0.18853993475135905,0.15435822998614834,0.18441509742421228,0.916996010484606,0.9395709359881602,0.8713875819373121,0.5968301071250655,0.5635955438040033,0.5887873254505988,0.5973877460583655,0.5640223784513076,0.5903370178824887,0.13808046699791313,0.10457417986248527,0.16278552824720563
weighted_fire_specificity_silence_sensitivity_tau_0_2,15,0.2579949445339068,0.262375667095628,0.2930158051644286,0.2415978195302654,0.1655043859649123,0.25680637966778586,0.9520623947198654,0.9760774519282451,0.9207682712334114,0.9567894618217301,0.9669784022576667,0.9319328848186389,0.047937605280134486,0.023922548071754857,0.0792317287665886,0.7584021804697347,0.8344956140350878,0.7431936203322141,0.23344412066406955,0.18940307361333358,0.2522350032965346,0.2535152492407176,0.17398029517749455,0.2627355332612473,0.18853993475135905,0.15435822998614834,0.18441509742421228,0.916996010484606,0.9395709359881602,0.8713875819373121,0.5968301071250655,0.5635955438040033,0.5887873254505988,0.5973877460583655,0.5640223784513076,0.5903370178824887,0.13808046699791313,0.10457417986248527,0.16278552824720563
weighted_fire_specificity_silence_sensitivity_tau_0_3,15,0.2579949445339068,0.262375667095628,0.2930158051644286,0.2415978195302654,0.1655043859649123,0.25680637966778586,0.9520623947198654,0.9760774519282451,0.9207682712334114,0.9567894618217301,0.9669784022576667,0.9319328848186389,0.047937605280134486,0.023922548071754857,0.0792317287665886,0.7584021804697347,0.8344956140350878,0.7431936203322141,0.23344412066406955,0.18940307361333358,0.2522350032965346,0.2535152492407176,0.17398029517749455,0.2627355332612473,0.18853993475135905,0.15435822998614834,0.18441509742421228,0.916996010484606,0.9395709359881602,0.8713875819373121,0.5968301071250655,0.5635955438040033,0.5887873254505988,0.5973877460583655,0.5640223784513076,0.5903370178824887,0.13808046699791313,0.10457417986248527,0.16278552824720563
weighted_fire_specificity_silence_sensitivity_tau_0_4,15,0.2579949445339068,0.262375667095628,0.2930158051644286,0.2415978195302654,0.1655043859649123,0.25680637966778586,0.9520623947198654,0.9760774519282451,0.9207682712334114,0.9567894618217301,0.9669784022576667,0.9319328848186389,0.047937605280134486,0.023922548071754857,0.0792317287665886,0.7584021804697347,0.8344956140350878,0.7431936203322141,0.23344412066406955,0.18940307361333358,0.2522350032965346,0.2535152492407176,0.17398029517749455,0.2627355332612473,0.18853993475135905,0.15435822998614834,0.18441509742421228,0.916996010484606,0.9395709359881602,0.8713875819373121,0.5968301071250655,0.5635955438040033,0.5887873254505988,0.5973877460583655,0.5640223784513076,0.5903370178824887,0.13808046699791313,0.10457417986248527,0.16278552824720563
