fold,strategy,family,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc
0,tool:bandit,CWE-20,7,48,1996,85,2136,92,2044,0.12727272727272726,0.07608695652173914,0.9765166340508806,0.9591542527630946,0.023483365949119372,0.9239130434782609,0.9377340823970037,0.5263017952863098,0.09523809523809523,0.08274231678486997,0.06742677118350217,0.5263017952863098,0.04161918357142386
0,tool:bandit,CWE-74,137,205,1595,199,2136,336,1800,0.40058479532163743,0.40773809523809523,0.8861111111111111,0.8890746934225195,0.11388888888888889,0.5922619047619048,0.8108614232209738,0.6469246031746032,0.4041297935103245,0.4062870699881377,0.29174682668194934,0.6469246031746032,0.3869247224849774
0,tool:bandit,CWE-285,5,2,2061,68,2136,73,2063,0.7142857142857143,0.0684931506849315,0.9990305380513815,0.9680601221230625,0.0009694619486185168,0.9315068493150684,0.9672284644194756,0.5337618443681565,0.125,0.08361204013377926,0.21464973297953432,0.5337618443681565,0.09086251479966208
0,tool:bandit,CWE-287,64,67,1872,133,2136,197,1939,0.48854961832061067,0.3248730964467005,0.9654461062403301,0.9336658354114713,0.03455389375966993,0.6751269035532995,0.9063670411985019,0.6451596013435152,0.39024390243902435,0.3482045701849837,0.3501103453050779,0.6451596013435152,0.20206862795658986
0,tool:bandit,CWE-311,0,0,2058,78,2136,78,2058,,0.0,1.0,0.9634831460674157,0.0,1.0,0.9634831460674157,0.5,,,,0.5,0.02137785472548685
0,tool:bandit,CWE-327,24,23,2081,8,2136,32,2104,0.5106382978723404,0.75,0.9890684410646388,0.9961704164672092,0.010931558935361217,0.25,0.9854868913857678,0.8695342205323193,0.6075949367088608,0.6857142857142857,0.6120182402714031,0.8695342205323194,0.4082009979282738
0,tool:bandit,CWE-330,21,24,2082,9,2136,30,2106,0.4666666666666667,0.7,0.9886039886039886,0.9956958393113343,0.011396011396011397,0.3,0.9845505617977528,0.8443019943019943,0.56,0.6363636363636365,0.5642558513630026,0.8443019943019943,0.49111767910050286
0,tool:bandit,CWE-345,0,0,2007,129,2136,129,2007,,0.0,1.0,0.9396067415730337,0.0,1.0,0.9396067415730337,0.5,,,,0.5,0.03974529536908525
0,tool:bandit,CWE-400,1,88,1980,67,2136,68,2068,0.011235955056179775,0.014705882352941176,0.9574468085106383,0.9672691744015632,0.0425531914893617,0.9852941176470589,0.927434456928839,0.48607634543178974,0.012738853503184712,0.013850415512465374,-0.024465778238951824,0.48607634543178974,0.039612809210750326
0,tool:bandit,CWE-610,0,0,2041,95,2136,95,2041,,0.0,1.0,0.9555243445692884,0.0,1.0,0.9555243445692884,0.5,,,,0.5,0.03946775036536194
0,tool:bandit,CWE-668,15,19,1816,286,2136,301,1835,0.4411764705882353,0.04983388704318937,0.9896457765667575,0.8639391056137012,0.010354223433242507,0.9501661129568106,0.8572097378277154,0.5197398318049734,0.08955223880597014,0.0605815831987076,0.10975363461228772,0.5197398318049734,0.11057749829239377
0,tool:bandit,CWE-669,0,0,2087,49,2136,49,2087,,0.0,1.0,0.9770599250936329,0.0,1.0,0.9770599250936329,0.5,,,,0.5,0.015460345583008246
0,tool:bandit,CWE-706,1,6,2029,100,2136,101,2035,0.14285714285714285,0.009900990099009901,0.9970515970515971,0.9530295913574448,0.0029484029484029483,0.9900990099009901,0.950374531835206,0.5034762935753034,0.018518518518518517,0.0121654501216545,0.025819776842839023,0.5034762935753034,0.07255209087005653
0,tool:bandit,CWE-913,3,6,2089,38,2136,41,2095,0.3333333333333333,0.07317073170731707,0.9971360381861575,0.9821344616831218,0.002863961813842482,0.926829268292683,0.9794007490636704,0.5351533849467373,0.12,0.08670520231213871,0.14892790763662705,0.5351533849467373,0.04703058137300445
0,tool:bandit,CWE-923,0,0,2067,69,2136,69,2067,,0.0,1.0,0.9676966292134831,0.0,1.0,0.9676966292134831,0.5,,,,0.5,0.019059090191798196
0,tool:codeql,CWE-20,8,340,1704,84,2136,92,2044,0.022988505747126436,0.08695652173913043,0.8336594911937377,0.9530201342281879,0.16634050880626222,0.9130434782608695,0.8014981273408239,0.4603080064664341,0.03636363636363636,0.055865921787709494,-0.043640919031598634,0.4603080064664341,0.030548438569221233
0,tool:codeql,CWE-74,40,98,1702,296,2136,336,1800,0.2898550724637681,0.11904761904761904,0.9455555555555556,0.8518518518518519,0.05444444444444444,0.8809523809523809,0.8155430711610487,0.5323015873015873,0.1687763713080169,0.13495276653171387,0.09568028623515319,0.5323015873015873,0.19327427339583103
0,tool:codeql,CWE-285,5,6,2057,68,2136,73,2063,0.45454545454545453,0.0684931506849315,0.9970916141541445,0.968,0.00290838584585555,0.9315068493150684,0.9653558052434457,0.532792382419538,0.11904761904761904,0.0825082508250825,0.16647085111269208,0.532792382419538,0.0736409805749885
0,tool:codeql,CWE-287,15,24,1915,182,2136,197,1939,0.38461538461538464,0.07614213197969544,0.9876224858174316,0.9132093466857415,0.012377514182568335,0.9238578680203046,0.903558052434457,0.5318823088985636,0.12711864406779663,0.09068923821039905,0.13780667676839314,0.5318823088985636,0.09484041582512776
0,tool:codeql,CWE-311,3,24,2034,75,2136,78,2058,0.1111111111111111,0.038461538461538464,0.9883381924198251,0.9644381223328592,0.011661807580174927,0.9615384615384616,0.9536516853932584,0.5133998654406818,0.05714285714285715,0.044247787610619475,0.04499665681572036,0.5133998654406817,0.025142373289191382
0,tool:codeql,CWE-327,6,32,2072,26,2136,32,2104,0.15789473684210525,0.1875,0.9847908745247148,0.9876072449952336,0.015209125475285171,0.8125,0.9728464419475655,0.5861454372623573,0.17142857142857143,0.18072289156626506,0.15833086779220998,0.5861454372623575,0.060635066835033995
