base_strategy,strategy,tau,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
or_1_of_4,or_1_of_4,,716.6,237.2,464.4,720.2,2138.4,1436.8,701.6,0.7513815285833244,0.49880430194988545,0.6618431549094789,0.39199829676857423,0.3381568450905212,0.5011956980501145,0.5522717575136219,0.580323728429682,0.5995098180757136,0.5347245354478752,0.15176644932324226,0.580323728429682,0.6557810159688557,0.5741619300580277
traditional_2_of_4,traditional_2_of_4,,312.0,55.4,646.2,1124.8,2138.4,1436.8,701.6,0.8492043939899891,0.21709926008978173,0.9209876000353571,0.36491499502791946,0.07901239996464302,0.7829007399102184,0.44814435893547466,0.5690434300625694,0.3456849967302123,0.25504341054057217,0.17190171586841657,0.5986432827115186,0.7202676032339205,0.5574459425107253
weighted_fire_specificity_silence_sensitivity,weighted_fire_specificity_silence_sensitivity_tau_0_4,0.4,716.6,237.2,464.4,720.2,2138.4,1436.8,701.6,0.7513815285833244,0.49880430194988545,0.6618431549094789,0.39199829676857423,0.3381568450905212,0.5011956980501145,0.5522717575136219,0.580323728429682,0.5995098180757136,0.5347245354478752,0.15176644932324226,0.5839505847600629,0.7072394308195092,0.5741619300580277
dst_dempster_fire_specificity_silence_sensitivity,dst_dempster_fire_specificity_silence_sensitivity_tau_0_6,0.6,716.6,237.2,464.4,720.2,2138.4,1436.8,701.6,0.7513815285833244,0.49880430194988545,0.6618431549094789,0.39199829676857423,0.3381568450905212,0.5011956980501145,0.5522717575136219,0.580323728429682,0.5995098180757136,0.5347245354478752,0.15176644932324226,0.6012830705255157,0.7419823512857929,0.5741619300580277
dst_pcr6_fire_specificity_silence_sensitivity,dst_pcr6_fire_specificity_silence_sensitivity_tau_0_7,0.7,707.8,236.4,465.2,729.0,2138.4,1436.8,701.6,0.7497010613391066,0.4926869177202454,0.6629795462177087,0.38952128293667454,0.3370204537822913,0.5073130822797545,0.5485287819160585,0.5778332319689771,0.594542111535322,0.5289237288531008,0.14721336546187383,0.5973877006988566,0.7347674598991908,0.5795825346797163
dst_yager_fire_specificity_silence_sensitivity,dst_yager_fire_specificity_silence_sensitivity_tau_0_9,0.9,488.2,110.4,591.2,948.6,2138.4,1436.8,701.6,0.8154304919904461,0.3397081049327503,0.8425347835816577,0.383954244685611,0.1574652164183423,0.6602918950672498,0.5047752202308281,0.591121444257204,0.4795037449288747,0.3845458062115496,0.19059938919154765,0.5869412819432994,0.7190005252283219,0.5499423422444255
naive_bayes,naive_bayes_tau_0_2,0.2,594.4,144.0,557.6,842.4,2138.4,1436.8,701.6,0.8049405568492165,0.41361286351590126,0.7947362048630953,0.3982824043891921,0.2052637951369048,0.5863871364840987,0.5387169164535581,0.6041745341894983,0.5464168746926339,0.4581513865114902,0.20576251284006566,0.6219594733788356,0.7587370202285759,0.5749000049953606
bks,bks_tau_0_2,0.2,573.6,133.6,568.0,863.2,2138.4,1436.8,701.6,0.8109406873494818,0.39910031058502904,0.8095349579301248,0.39685211070351134,0.1904650420698752,0.600899689414971,0.5338371875115262,0.6043176342575769,0.5349017768513348,0.44420802971286355,0.20820207091874776,0.6167140222539798,0.7557161691609025,0.5821527816333928
logistic_regression,logistic_regression_tau_0_6,0.6,644.4,160.8,540.8,792.4,2138.4,1436.8,701.6,0.800236991538491,0.44855096443546705,0.7707333300625764,0.4057378672118251,0.22926666993742364,0.551449035564533,0.5542932576507138,0.6096421472490217,0.5747419664175422,0.4917235433536418,0.2125164790479503,0.6220804949707747,0.752603236362438,0.5697769213378959
logistic_interactions,logistic_interactions_tau_0_6,0.6,645.8,161.0,540.6,791.0,2138.4,1436.8,701.6,0.8003890144339583,0.4494367681248657,0.7703898569371922,0.4060274442771334,0.22961014306280778,0.5505632318751343,0.5548336504256339,0.609913312531029,0.575470280646435,0.49257130989329456,0.21300293552226837,0.6218527491608996,0.7520594199667572,0.5716554135476996
decision_tree,decision_tree_tau_0_6,0.6,672.6,167.4,534.2,764.2,2138.4,1436.8,701.6,0.8007682847008356,0.4681931029070818,0.7612936691074091,0.4114736473603676,0.2387063308925908,0.5318068970929182,0.5643793162613231,0.6147433860072455,0.5907883115165717,0.5105602550190714,0.2206894587966271,0.6207263172547056,0.7493656550966843,0.5817511497108538
random_forest,random_forest_tau_0_6,0.6,636.0,159.6,542.0,800.8,2138.4,1436.8,701.6,0.7993399565745622,0.4426435962640668,0.7724435041646591,0.40365805659355525,0.22755649583534088,0.5573564037359333,0.5508920350067747,0.6075435502143629,0.5696922458537657,0.4859887921791909,0.20894718604164586,0.621402004536085,0.7488753685457656,0.5726463761895528
gradient_boosting,gradient_boosting_tau_0_6,0.6,645.4,160.8,540.8,791.4,2138.4,1436.8,701.6,0.800510942402617,0.4491768670603518,0.7706731430561724,0.4059961638684232,0.22932685694382765,0.5508231329396482,0.5547456331485867,0.6099250050582621,0.5752917628335605,0.4923320761827072,0.21306154590672582,0.6227118503330403,0.7523211474616274,0.5716959249840817
