fold,tool,family,tp,fp,tn,fn,ppv,npv,fpr,fnr,sensitivity,specificity,positive_support,supported
0,bandit,CWE-20,31,180,7997,337,0.14691943127962084,0.9595632349412047,0.022012963189433778,0.9157608695652174,0.08423913043478261,0.9779870368105662,368,True
0,bandit,CWE-74,530,856,6345,814,0.3823953823953824,0.8862969688503981,0.11887237883627275,0.6056547619047619,0.3943452380952381,0.8811276211637272,1344,True
0,bandit,CWE-116,0,0,8486,59,,0.9930953774136922,0.0,1.0,0.0,1.0,59,False
0,bandit,CWE-285,20,11,8242,272,0.6451612903225806,0.9680526192154099,0.0013328486610929358,0.9315068493150684,0.0684931506849315,0.998667151338907,292,True
0,bandit,CWE-287,203,286,7472,584,0.41513292433537835,0.9275074478649454,0.036865171435937094,0.7420584498094028,0.2579415501905972,0.9631348285640629,787,True
0,bandit,CWE-311,2,3,8229,311,0.4,0.9635831381733021,0.00036443148688046647,0.9936102236421726,0.006389776357827476,0.9996355685131195,313,True
0,bandit,CWE-326,2,0,8503,40,1.0,0.9953178040500995,0.0,0.9523809523809523,0.047619047619047616,1.0,42,True
0,bandit,CWE-327,91,108,8307,39,0.457286432160804,0.9953271028037384,0.012834224598930482,0.3,0.7,0.9871657754010695,130,True
0,bandit,CWE-330,79,133,8292,41,0.37264150943396224,0.9950798031921276,0.01578635014836795,0.3416666666666667,0.6583333333333333,0.9842136498516321,120,True
0,bandit,CWE-345,0,0,8028,517,,0.9394967817437098,0.0,1.0,0.0,1.0,517,False
0,bandit,CWE-400,19,320,7951,255,0.05604719764011799,0.9689251766999756,0.038689396687220406,0.9306569343065694,0.06934306569343066,0.9613106033127796,274,True
0,bandit,CWE-573,15,70,8414,46,0.17647058823529413,0.9945626477541372,0.00825082508250825,0.7540983606557377,0.2459016393442623,0.9917491749174917,61,True
0,bandit,CWE-610,0,0,8164,381,,0.9554125219426566,0.0,1.0,0.0,1.0,381,False
0,bandit,CWE-668,59,58,7283,1145,0.5042735042735043,0.8641433317513052,0.007900830949461927,0.9509966777408638,0.049003322259136214,0.9920991690505381,1204,True
0,bandit,CWE-669,0,0,8347,198,,0.9768285547103569,0.0,1.0,0.0,1.0,198,False
0,bandit,CWE-706,9,18,8123,395,0.3333333333333333,0.95362761211552,0.0022110305859231053,0.9777227722772277,0.022277227722772276,0.9977889694140769,404,True
0,bandit,CWE-834,0,0,8496,49,,0.9942656524283207,0.0,1.0,0.0,1.0,49,False
0,bandit,CWE-913,23,25,8356,141,0.4791666666666667,0.9834059079675179,0.002982937596945472,0.8597560975609756,0.1402439024390244,0.9970170624030545,164,True
0,bandit,CWE-923,0,0,8269,276,,0.9677004095962551,0.0,1.0,0.0,1.0,276,False
0,codeql,CWE-20,46,1275,6902,322,0.0348221044663134,0.9554263565891473,0.15592515592515593,0.875,0.125,0.8440748440748441,368,True
0,codeql,CWE-74,171,360,6841,1173,0.3220338983050847,0.8536311454953831,0.04999305651992779,0.8727678571428571,0.12723214285714285,0.9500069434800722,1344,True
0,codeql,CWE-116,12,160,8326,47,0.06976744186046512,0.9943867192165293,0.018854584020740042,0.7966101694915254,0.2033898305084746,0.98114541597926,59,True
0,codeql,CWE-285,22,27,8226,270,0.4489795918367347,0.9682203389830508,0.003271537622682661,0.9246575342465754,0.07534246575342465,0.9967284623773174,292,True
0,codeql,CWE-287,61,65,7693,726,0.48412698412698413,0.9137664805796413,0.008378448053622067,0.9224904701397713,0.07750952986022872,0.9916215519463779,787,True
0,codeql,CWE-311,7,108,8124,306,0.06086956521739131,0.9637010676156583,0.013119533527696793,0.9776357827476039,0.022364217252396165,0.9868804664723032,313,True
0,codeql,CWE-326,2,0,8503,40,1.0,0.9953178040500995,0.0,0.9523809523809523,0.047619047619047616,1.0,42,True
0,codeql,CWE-327,19,143,8272,111,0.11728395061728394,0.986758916855541,0.01699346405228758,0.8538461538461538,0.14615384615384616,0.9830065359477124,130,True
0,codeql,CWE-330,3,9,8416,117,0.25,0.9862885268955819,0.0010682492581602374,0.975,0.025,0.9989317507418397,120,True
0,codeql,CWE-345,3,0,8028,514,1.0,0.9398267384687427,0.0,0.9941972920696325,0.005802707930367505,1.0,517,True
0,codeql,CWE-400,4,36,8235,270,0.1,0.9682539682539683,0.004352557127312296,0.9854014598540146,0.014598540145985401,0.9956474428726877,274,True
0,codeql,CWE-573,0,0,8484,61,,0.9928613224107665,0.0,1.0,0.0,1.0,61,False
0,codeql,CWE-610,26,58,8106,355,0.30952380952380953,0.9580427845408345,0.007104360607545321,0.931758530183727,0.06824146981627296,0.9928956393924547,381,True
0,codeql,CWE-668,198,687,6654,1006,0.22372881355932203,0.8686684073107049,0.09358398038414385,0.8355481727574751,0.1644518272425249,0.9064160196158562,1204,True
0,codeql,CWE-669,0,0,8347,198,,0.9768285547103569,0.0,1.0,0.0,1.0,198,False
0,codeql,CWE-706,60,130,8011,344,0.3157894736842105,0.9588270496708557,0.015968554231666873,0.8514851485148515,0.1485148514851485,0.9840314457683331,404,True
0,codeql,CWE-834,1,11,8485,48,0.08333333333333333,0.994374780264854,0.0012947269303201507,0.9795918367346939,0.02040816326530612,0.9987052730696798,49,True
0,codeql,CWE-913,26,5,8376,138,0.8387096774193549,0.9837914023960536,0.0005965875193890943,0.8414634146341463,0.15853658536585366,0.9994034124806109,164,True
0,codeql,CWE-923,1,0,8269,275,1.0,0.9678136704119851,0.0,0.9963768115942029,0.0036231884057971015,1.0,276,True
0,devaic,CWE-20,0,0,8177,368,,0.9569338794616735,0.0,1.0,0.0,1.0,368,False
0,devaic,CWE-74,0,0,7201,1344,,0.842715038033938,0.0,1.0,0.0,1.0,1344,False
0,devaic,CWE-116,0,0,8486,59,,0.9930953774136922,0.0,1.0,0.0,1.0,59,False
0,devaic,CWE-285,0,0,8253,292,,0.9658279695728497,0.0,1.0,0.0,1.0,292,False
0,devaic,CWE-287,0,0,7758,787,,0.907899356348742,0.0,1.0,0.0,1.0,787,False
0,devaic,CWE-311,0,0,8232,313,,0.9633703920421299,0.0,1.0,0.0,1.0,313,False
0,devaic,CWE-326,0,0,8503,42,,0.9950848449385605,0.0,1.0,0.0,1.0,42,False
0,devaic,CWE-327,0,0,8415,130,,0.9847864248098304,0.0,1.0,0.0,1.0,130,False
0,devaic,CWE-330,0,0,8425,120,,0.9859566998244588,0.0,1.0,0.0,1.0,120,False
0,devaic,CWE-345,0,0,8028,517,,0.9394967817437098,0.0,1.0,0.0,1.0,517,False
0,devaic,CWE-400,0,0,8271,274,,0.9679344645991808,0.0,1.0,0.0,1.0,274,False
0,devaic,CWE-573,0,0,8484,61,,0.9928613224107665,0.0,1.0,0.0,1.0,61,False
0,devaic,CWE-610,0,0,8164,381,,0.9554125219426566,0.0,1.0,0.0,1.0,381,False
0,devaic,CWE-668,0,0,7341,1204,,0.8590988882387361,0.0,1.0,0.0,1.0,1204,False
0,devaic,CWE-669,0,0,8347,198,,0.9768285547103569,0.0,1.0,0.0,1.0,198,False
0,devaic,CWE-706,0,0,8141,404,,0.9527208894090111,0.0,1.0,0.0,1.0,404,False
0,devaic,CWE-834,0,0,8496,49,,0.9942656524283207,0.0,1.0,0.0,1.0,49,False
0,devaic,CWE-913,0,0,8381,164,,0.9808074897600936,0.0,1.0,0.0,1.0,164,False
0,devaic,CWE-923,0,0,8269,276,,0.9677004095962551,0.0,1.0,0.0,1.0,276,False
0,pylint,CWE-20,0,0,8177,368,,0.9569338794616735,0.0,1.0,0.0,1.0,368,False
0,pylint,CWE-74,83,199,7002,1261,0.29432624113475175,0.8473919883819436,0.027635050687404527,0.9382440476190477,0.061755952380952384,0.9723649493125954,1344,True
0,pylint,CWE-116,0,0,8486,59,,0.9930953774136922,0.0,1.0,0.0,1.0,59,False
0,pylint,CWE-285,0,0,8253,292,,0.9658279695728497,0.0,1.0,0.0,1.0,292,False
0,pylint,CWE-287,0,0,7758,787,,0.907899356348742,0.0,1.0,0.0,1.0,787,False
0,pylint,CWE-311,0,0,8232,313,,0.9633703920421299,0.0,1.0,0.0,1.0,313,False
0,pylint,CWE-326,0,0,8503,42,,0.9950848449385605,0.0,1.0,0.0,1.0,42,False
0,pylint,CWE-327,0,0,8415,130,,0.9847864248098304,0.0,1.0,0.0,1.0,130,False
0,pylint,CWE-330,0,0,8425,120,,0.9859566998244588,0.0,1.0,0.0,1.0,120,False
0,pylint,CWE-345,0,0,8028,517,,0.9394967817437098,0.0,1.0,0.0,1.0,517,False
0,pylint,CWE-400,0,0,8271,274,,0.9679344645991808,0.0,1.0,0.0,1.0,274,False
0,pylint,CWE-573,0,0,8484,61,,0.9928613224107665,0.0,1.0,0.0,1.0,61,False
0,pylint,CWE-610,0,0,8164,381,,0.9554125219426566,0.0,1.0,0.0,1.0,381,False
0,pylint,CWE-668,197,438,6903,1007,0.3102362204724409,0.8726927939317319,0.0596648957907642,0.8363787375415282,0.16362126245847175,0.9403351042092358,1204,True
0,pylint,CWE-669,0,36,8311,198,0.0,0.9767305206252204,0.004312926800047921,1.0,0.0,0.9956870731999521,198,True
0,pylint,CWE-706,0,0,8141,404,,0.9527208894090111,0.0,1.0,0.0,1.0,404,False
0,pylint,CWE-834,0,0,8496,49,,0.9942656524283207,0.0,1.0,0.0,1.0,49,False
