strategy,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
tool:bandit,543.8,90.4,611.2,893.0,2138.4,1436.8,701.6,0.8574936783534914,0.37838652557439156,0.8711223076434541,0.40630831645264875,0.12887769235654592,0.6216134744256084,0.5401231138079184,0.6247544166089228,0.5250292873566658,0.425973975038591,0.2565378255987588,0.6247544166089228,0.715235354185001,0.4883356984453592
tool:codeql,362.6,170.8,530.8,1074.2,2138.4,1436.8,701.6,0.6801934043444929,0.252341347632116,0.7567340798548893,0.3307121429157841,0.24326592014511075,0.747658652367884,0.4177894339068084,0.5045377137435026,0.3680243264307146,0.288626620893841,0.00994810501226037,0.5045377137435026,0.6004371672600585,0.40804001100830634
tool:devaic,0.0,0.0,701.6,1436.8,2138.4,1436.8,701.6,,0.0,1.0,0.32812722078967765,0.0,1.0,0.32812722078967765,0.5,,,,0.5,0.5674585244692698,
tool:pylint,164.6,51.8,649.8,1272.2,2138.4,1436.8,701.6,0.7599763104706321,0.11452523542172051,0.9261600756781533,0.3381066548001742,0.07383992432184669,0.8854747645782794,0.3808687282917905,0.520342655549937,0.19900644731677214,0.13794902241623264,0.06315297670262161,0.520342655549937,0.612854097057153,0.3888422392026645
tool:semgrep,346.0,80.6,621.0,1090.8,2138.4,1436.8,701.6,0.8112343511136645,0.24075092103760878,0.8850957841063923,0.36277508619416643,0.11490421589360764,0.7592490789623912,0.4522188822365324,0.5629233525720005,0.3712295590379619,0.28013158998128046,0.1479594515023956,0.5629233525720005,0.6642362794161912,0.5279276781051851
or_1_of_5,720.0,239.0,462.6,716.8,2138.4,1436.8,701.6,0.7508043923840282,0.5010982188277435,0.6593994174793902,0.39225623511355767,0.34060058252060976,0.49890178117225636,0.5530388911690988,0.5802488181535669,0.6009910080208869,0.5367790401038885,0.15152674290146112,0.580248818153567,0.6551980821641823,0.5755211210414461
traditional_2_of_5,312.4,55.4,646.2,1124.4,2138.4,1436.8,701.6,0.8492823074554028,0.21736104452312502,0.9210693948634574,0.3649667098439816,0.07893060513654249,0.782638955476875,0.4482841571397242,0.5692152196932913,0.346117613913923,0.2553580086456163,0.17220182617533158,0.5987774178949243,0.7201939515063296,0.5588221332524568
weighted_fire_specificity_silence_sensitivity_tau_0_1,720.0,239.0,462.6,716.8,2138.4,1436.8,701.6,0.7508043923840282,0.5010982188277435,0.6593994174793902,0.39225623511355767,0.34060058252060976,0.49890178117225636,0.5530388911690988,0.5802488181535669,0.6009910080208869,0.5367790401038885,0.15152674290146112,0.5873865581103412,0.7107700425009403,0.5755211210414461
weighted_fire_specificity_silence_sensitivity_tau_0_2,720.0,239.0,462.6,716.8,2138.4,1436.8,701.6,0.7508043923840282,0.5010982188277435,0.6593994174793902,0.39225623511355767,0.34060058252060976,0.49890178117225636,0.5530388911690988,0.5802488181535669,0.6009910080208869,0.5367790401038885,0.15152674290146112,0.5873865581103412,0.7107700425009403,0.5755211210414461
weighted_fire_specificity_silence_sensitivity_tau_0_3,720.0,239.0,462.6,716.8,2138.4,1436.8,701.6,0.7508043923840282,0.5010982188277435,0.6593994174793902,0.39225623511355767,0.34060058252060976,0.49890178117225636,0.5530388911690988,0.5802488181535669,0.6009910080208869,0.5367790401038885,0.15152674290146112,0.5873865581103412,0.7107700425009403,0.5755211210414461
weighted_fire_specificity_silence_sensitivity_tau_0_4,720.0,239.0,462.6,716.8,2138.4,1436.8,701.6,0.7508043923840282,0.5010982188277435,0.6593994174793902,0.39225623511355767,0.34060058252060976,0.49890178117225636,0.5530388911690988,0.5802488181535669,0.6009910080208869,0.5367790401038885,0.15152674290146112,0.5873865581103412,0.7107700425009403,0.5755211210414461
weighted_fire_specificity_silence_sensitivity_tau_0_5,715.2,239.0,462.6,721.6,2138.4,1436.8,701.6,0.7495589634239306,0.49776556001826816,0.6593994174793902,0.3906716086481954,0.34060058252060976,0.5022344399817318,0.5507964935932569,0.5785824887488291,0.5981864893791728,0.5335885254102091,0.14845478311814642,0.5873865581103412,0.7107700425009403,0.5777155646221562
weighted_fire_specificity_silence_sensitivity_tau_0_6,712.2,237.6,464.0,724.6,2138.4,1436.8,701.6,0.7498709324244566,0.49566298889754073,0.6613991982048025,0.3903957188320173,0.3386008017951974,0.5043370111024592,0.550041657186229,0.5785310935511717,0.5967533852158801,0.5316809001293101,0.1484252139323376,0.5873865581103412,0.7107700425009403,0.5669088550143002
weighted_fire_specificity_silence_sensitivity_tau_0_7,647.6,221.4,480.2,789.2,2138.4,1436.8,701.6,0.7453345224348589,0.45071520534649984,0.6845513403859644,0.37830203963669196,0.3154486596140357,0.5492847946535001,0.5274035418028296,0.5676332728662321,0.5616470966894332,0.4893676594464007,0.12931916408305938,0.5873865581103412,0.7107700425009403,0.5463084468734376
weighted_fire_specificity_silence_sensitivity_tau_0_8,574.2,204.2,497.4,862.6,2138.4,1436.8,701.6,0.7379424030324978,0.3996609946279296,0.7091338309827244,0.3657434832286671,0.2908661690172756,0.6003390053720704,0.5011286462804987,0.554397412805327,0.51838283168263,0.43995340824360696,0.10620802797988779,0.5873865581103412,0.7107700425009403,0.5241024319901835
weighted_fire_specificity_silence_sensitivity_tau_0_9,541.0,194.0,507.6,895.8,2138.4,1436.8,701.6,0.736350594839575,0.3765010922979659,0.7236445273692091,0.3616691046185852,0.27635547263079074,0.6234989077020341,0.49036535972323503,0.5500728098335875,0.4981302538185254,0.4172428802899092,0.09907394233127237,0.5873865581103412,0.7107700425009403,0.4952313281140851
dst_dempster_fire_specificity_silence_sensitivity_tau_0_1,1436.8,701.6,0.0,0.0,2138.4,1436.8,701.6,0.6718727792103223,1.0,0.0,,1.0,0.0,0.6718727792103223,0.5,0.8037229442468735,0.911003248516266,,0.6020970457467778,0.7428083010058479,0.8984353245940179
dst_dempster_fire_specificity_silence_sensitivity_tau_0_2,1436.8,701.6,0.0,0.0,2138.4,1436.8,701.6,0.6718727792103223,1.0,0.0,,1.0,0.0,0.6718727792103223,0.5,0.8037229442468735,0.911003248516266,,0.6020970457467778,0.7428083010058479,0.7844102640049042
