strategy,n_families,precision_macro,precision_median,precision_weighted,recall_macro,recall_median,recall_weighted,specificity_macro,specificity_median,specificity_weighted,npv_macro,npv_median,npv_weighted,fpr_macro,fpr_median,fpr_weighted,fnr_macro,fnr_median,fnr_weighted,f1_macro,f1_median,f1_weighted,f2_macro,f2_median,f2_weighted,mcc_macro,mcc_median,mcc_weighted,accuracy_macro,accuracy_median,accuracy_weighted,balanced_accuracy_macro,balanced_accuracy_median,balanced_accuracy_weighted,roc_auc_macro,roc_auc_median,roc_auc_weighted,pr_auc_macro,pr_auc_median,pr_auc_weighted
tool:bandit,19,0.4052486664009644,0.41299374147452916,0.39835447583980166,0.14217575993903875,0.0465359911406423,0.15410468162396412,0.9858023554824944,0.9978434716589767,0.9679533205782349,0.9621979936706159,0.9678075539232964,0.9280046088135734,0.01419764451750565,0.002156528341023368,0.03204667942176525,0.8578242400609613,0.9534640088593577,0.8458953183760358,0.2122494351937134,0.17424242424242425,0.21439202630446824,0.2084105858835746,0.11653116531165313,0.20115458650333448,0.21899813307237864,0.18108949810947655,0.1920867394322483,0.9508151486792682,0.9666990603977836,0.904706962412454,0.5639890577107666,0.5190909090909092,0.5610290011010994,0.5639890577107666,0.5190909090909092,0.5610290011010994,0.09717673347073501,0.04441169734210647,0.13895690282403425
tool:codeql,19,0.3983983775238583,0.30480013358341396,0.37436237756413665,0.07724550630089322,0.06838208071084784,0.09316129867628054,0.9792939926193005,0.9961324681314467,0.9621918810246144,0.9592570773778141,0.9679306212225672,0.9206426153593927,0.02070600738069923,0.003867531868553333,0.037808118975385496,0.9227544936991068,0.9316179192891522,0.9068387013237194,0.1210054753207158,0.12556611835935824,0.12991828047505607,0.10121899029896161,0.08780079876723959,0.10728672570395854,0.12682344268819468,0.11308256497062723,0.10949231481014224,0.941936536649785,0.9650193659390277,0.8918601771426719,0.5282697494600971,0.5190909090909092,0.5276765898504475,0.5282697494600971,0.5190909090909092,0.5276765898504475,0.0650236442608494,0.04441169734210647,0.10072112796784065
tool:devaic,19,,,,0.0,0.0,0.0,1.0,1.0,1.0,0.9570097405697202,0.9676384425071106,0.9158452972184833,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,0.9570097405697202,0.9676384425071106,0.9158452972184833,0.5,0.5,0.5,0.5,0.5,0.5,0.03503762205894172,0.0223643912360116,0.06922696195661905
tool:pylint,19,0.18983224452944655,0.28001567381639425,0.26392475378453273,0.010974772491798743,0.0,0.03709293185045449,0.9951905912104642,1.0,0.9843135591468221,0.9578487229371403,0.9676384425071106,0.9186899712379358,0.004809408789535974,0.0,0.0156864408531779,0.9890252275082013,1.0,0.9629070681495455,0.1471099179852248,0.1471099179852248,0.144367240747049,0.11772461606959642,0.11772461606959642,0.11509896777254966,0.0577854203158172,0.06292711811833561,0.08279897793510407,0.9544690138938174,0.9676384425071106,0.9078409331261571,0.5030826818511315,0.5,0.5107032454986383,0.5030826818511315,0.5,0.5107032454986383,0.03825104413888205,0.0223643912360116,0.08029856564776584
tool:semgrep,19,0.2168491615472448,0.22908185949037352,0.3086592099940227,0.092228413345572,0.011188231637832797,0.10464803749250927,0.9907068464964838,0.9973655710405976,0.9821222789557315,0.9605883889694408,0.9676384425071106,0.9245574002306717,0.009293153503516172,0.002634428959402328,0.017877721044268692,0.907771586654428,0.9888117683621672,0.8953519625074907,0.184465476817422,0.14561989432345518,0.17361606534082166,0.17736408172123158,0.1367258684655792,0.15429261524851892,0.12504780003416155,0.10049593897836703,0.13415430891987126,0.9529834844536055,0.9666209336179457,0.9118227472010156,0.5414676299210279,0.5037887619711109,0.5433851582241203,0.5414676299210279,0.5037887619711109,0.5433851582241204,0.07228869989973526,0.04374803869890288,0.12114030798785291
or_1_of_5,19,0.2698057035482699,0.24787878787878787,0.3099869451615743,0.2231673392252286,0.16554824561403508,0.2540368749015987,0.9603325680124165,0.9787189657635997,0.9228747485396517,0.9647970339228998,0.9678793783609627,0.9338430802111592,0.03966743198758336,0.021281034236400275,0.0771252514603483,0.7768326607747714,0.8344517543859649,0.7459631250984012,0.20261315046456085,0.1701743823552334,0.23973244434752247,0.21860648345573241,0.16785954103329534,0.24951937520074555,0.17114096381376723,0.1502627353696469,0.17861183885918605,0.9315806542103149,0.9634303466658034,0.8748380396684009,0.5917499536188228,0.5650954630933367,0.5884558117206252,0.5917499536188228,0.5650954630933367,0.5884558117206252,0.10656101352953833,0.059736753682736746,0.14980300994542606
traditional_2_of_5,19,0.44703023669013925,0.43570060586849,0.4144915892984865,0.07827073424213986,0.03333333333333333,0.10041133402582506,0.9934757602901948,0.9987430026214839,0.9823815052545121,0.9603725551839998,0.9678075539232964,0.9244058627079166,0.00652423970980531,0.0012569973785162669,0.017618494745487902,0.9217292657578602,0.9666666666666666,0.8995886659741749,0.1699278695785534,0.11510157403019594,0.17329012588963139,0.14226547613653767,0.08017871525937817,0.14191530576876968,0.1895285590042887,0.13335053209193698,0.16860934704929095,0.9555596508131295,0.9676384425071106,0.912453035823345,0.5358732472661673,0.5161458666577322,0.5413964196401686,0.5923882496419838,0.5651485409377102,0.5901238831963741,0.11421822061517588,0.07624154519240937,0.15499288535271316
weighted_fire_specificity_silence_sensitivity_tau_0_1,19,0.22923935374539597,0.24743727708215613,0.28152092429903763,0.2230147839239319,0.16554824561403508,0.2539220348064739,0.9603325680124165,0.9787189657635997,0.9228747485396517,0.9647922104192199,0.9678793783609627,0.9338394491893809,0.03966743198758336,0.021281034236400275,0.0771252514603483,0.7769852160760681,0.8344517543859649,0.746077965193526,0.2128508988112157,0.18336741272911486,0.248709187369826,0.230403891805114,0.17445761202122304,0.2593594312831681,0.17406929324406917,0.15495184349405705,0.1810945571681923,0.9315756701592782,0.9634303466658034,0.8748342877902932,0.5916736759681743,0.5650954630933367,0.5883983916730628,0.5921241333740926,0.5651485409377102,0.5898576742875037,0.11761245559723525,0.07624154519240937,0.15815223632122832
weighted_fire_specificity_silence_sensitivity_tau_0_2,19,0.22923935374539597,0.24743727708215613,0.28152092429903763,0.2230147839239319,0.16554824561403508,0.2539220348064739,0.9603325680124165,0.9787189657635997,0.9228747485396517,0.9647922104192199,0.9678793783609627,0.9338394491893809,0.03966743198758336,0.021281034236400275,0.0771252514603483,0.7769852160760681,0.8344517543859649,0.746077965193526,0.2128508988112157,0.18336741272911486,0.248709187369826,0.230403891805114,0.17445761202122304,0.2593594312831681,0.17406929324406917,0.15495184349405705,0.1810945571681923,0.9315756701592782,0.9634303466658034,0.8748342877902932,0.5916736759681743,0.5650954630933367,0.5883983916730628,0.5921241333740926,0.5651485409377102,0.5898576742875037,0.11761245559723525,0.07624154519240937,0.15815223632122832
weighted_fire_specificity_silence_sensitivity_tau_0_3,19,0.22923935374539597,0.24743727708215613,0.28152092429903763,0.2230147839239319,0.16554824561403508,0.2539220348064739,0.9603325680124165,0.9787189657635997,0.9228747485396517,0.9647922104192199,0.9678793783609627,0.9338394491893809,0.03966743198758336,0.021281034236400275,0.0771252514603483,0.7769852160760681,0.8344517543859649,0.746077965193526,0.2128508988112157,0.18336741272911486,0.248709187369826,0.230403891805114,0.17445761202122304,0.2593594312831681,0.17406929324406917,0.15495184349405705,0.1810945571681923,0.9315756701592782,0.9634303466658034,0.8748342877902932,0.5916736759681743,0.5650954630933367,0.5883983916730628,0.5921241333740926,0.5651485409377102,0.5898576742875037,0.11761245559723525,0.07624154519240937,0.15815223632122832
weighted_fire_specificity_silence_sensitivity_tau_0_4,19,0.22923935374539597,0.24743727708215613,0.28152092429903763,0.2230147839239319,0.16554824561403508,0.2539220348064739,0.9603325680124165,0.9787189657635997,0.9228747485396517,0.9647922104192199,0.9678793783609627,0.9338394491893809,0.03966743198758336,0.021281034236400275,0.0771252514603483,0.7769852160760681,0.8344517543859649,0.746077965193526,0.2128508988112157,0.18336741272911486,0.248709187369826,0.230403891805114,0.17445761202122304,0.2593594312831681,0.17406929324406917,0.15495184349405705,0.1810945571681923,0.9315756701592782,0.9634303466658034,0.8748342877902932,0.5916736759681743,0.5650954630933367,0.5883983916730628,0.5921241333740926,0.5651485409377102,0.5898576742875037,0.11761245559723525,0.07624154519240937,0.15815223632122832
weighted_fire_specificity_silence_sensitivity_tau_0_5,19,0.2345997358029317,0.24743727708215613,0.2833961312808916,0.2210610359175523,0.16554824561403508,0.25322917352446805,0.9607923199362586,0.9806607245406515,0.923037791217785,0.9647640259206147,0.9678793783609627,0.9338294540683251,0.039207680063741375,0.019339275459348555,0.07696220878221496,0.7789389640824477,0.8344517543859649,0.746770826475532,0.21723237663145925,0.18336741272911486,0.2502009031874811,0.23216048393687716,0.17445761202122304,0.2599574797900013,0.17716033795700115,0.15495184349405705,0.182175888417476,0.9319989638412386,0.9634303466658034,0.8749844012144351,0.5909266779269056,0.5650954630933367,0.5881334823711265,0.5921241333740926,0.5651485409377102,0.5898576742875037,0.11761245559723525,0.07624154519240937,0.15815223632122832
weighted_fire_specificity_silence_sensitivity_tau_0_6,19,0.23610292247197076,0.24743727708215613,0.28786960163778125,0.2137555605602309,0.16554824561403508,0.24784758370202853,0.9619290317887526,0.9806607245406515,0.926678363837399,0.9646265330056313,0.9678793783609627,0.9336555943435902,0.03807096821124741,0.019339275459348555,0.07332163616260107,0.7862444394397691,0.8344517543859649,0.7521524162979714,0.21559516102421925,0.18336741272911486,0.2508889924001844,0.22722959305446494,0.17445761202122304,0.2571980804310029,0.17527530930147578,0.15495184349405705,0.18379503060785224,0.9327472339568054,0.9634303466658034,0.8775390700865736,0.5878422961744918,0.5650954630933367,0.5872629737697137,0.5921241333740926,0.5651485409377102,0.5898576742875037,0.11761245559723525,0.07624154519240937,0.15815223632122832
weighted_fire_specificity_silence_sensitivity_tau_0_7,19,0.239491039231195,0.2456694263590815,0.3006998494771632,0.20484141589751842,0.16554824561403508,0.21693155930258815,0.9655649565546957,0.9806607245406515,0.9399280612433035,0.9636670692789409,0.9678793783609627,0.9301823621239054,0.03443504344530426,0.019339275459348555,0.06007193875669626,0.7951585841024815,0.8344517543859649,0.7830684406974118,0.2116252671628492,0.18336741272911486,0.23798748622366872,0.2195666047883169,0.17445761202122304,0.23172422415671173,0.17347572135506967,0.15495184349405705,0.1783960210274799,0.9344847292000239,0.9634303466658034,0.8838860625166451,0.5852031862261071,0.5650954630933367,0.5784298102729459,0.5921241333740926,0.5651485409377102,0.5898576742875037,0.11761245559723525,0.07624154519240937,0.15815223632122832
weighted_fire_specificity_silence_sensitivity_tau_0_8,19,0.2644867855720252,0.2592046630670758,0.320908341591087,0.1887547008687701,0.14653465346534653,0.1833795297241666,0.971148465588238,0.9845315701952837,0.9550703322214458,0.9627879118934677,0.9678793783609627,0.9276856023042208,0.028851534411762164,0.0154684298047163,0.04492966777855418,0.8112452991312299,0.8534653465346536,0.8166204702758333,0.2085599988380192,0.17726822399055558,0.21898397559178268,0.20718688982583677,0.16126147004536764,0.2020210041668588,0.17681044418635983,0.14753455949181743,0.173231707728479,0.9379772711629688,0.9634303466658034,0.8926861519672123,0.5799515832285039,0.563597689002999,0.5692249309728062,0.5921241333740926,0.5651485409377102,0.5898576742875037,0.11761245559723525,0.07624154519240937,0.15815223632122832
weighted_fire_specificity_silence_sensitivity_tau_0_9,19,0.28018549051234853,0.2778828221548141,0.3564143911766714,0.17715808704564492,0.13272727272727272,0.15979912697752024,0.9766427363467821,0.9855249227340798,0.9688399137893768,0.962295302109,0.9677674268964405,0.9265652725635979,0.02335726365321785,0.01447507726592023,0.031160086210623144,0.822841912954355,0.8672727272727272,0.8402008730224797,0.20497397302104248,0.156981351981352,0.2066206356731239,0.19913614845018768,0.14930659176367927,0.18190777484275536,0.17812073308814308,0.14370364585897,0.1779979462889918,0.9418640698368882,0.965392739574866,0.9018846052814032,0.5769004116962135,0.5575625423337669,0.5643195203834487,0.5921241333740926,0.5651485409377102,0.5898576742875037,0.11761245559723525,0.07624154519240937,0.15815223632122832
dst_dempster_fire_specificity_silence_sensitivity_tau_0_1,19,0.05927938259566958,0.03423218962366128,0.08992972653086494,0.9759070972886763,1.0,0.9872648895342985,0.0618980769956356,0.0,0.026142029595268918,0.9816290835606376,0.9816290835606376,0.9764879922572685,0.9381019230043645,1.0,0.9738579704047309,0.024092902711323763,0.0,0.012735110465701329,0.10168369639193224,0.06619816649195417,0.15866684027460107,0.19218818821470074,0.1505460054048288,0.30059727195497576,0.479898279637348,0.479898279637348,0.479898279637348,0.1032105180437161,0.036663937731051324,0.1094278808020235,0.5189025871421559,0.5,0.5067034595647838,0.5926793374530039,0.5651485409377102,0.590629944659099,0.1174689389546078,0.07624154519240937,0.15871762709334877
