base_strategy,strategy,tau,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
or_1_of_5,or_1_of_5,,720.0,239.0,462.6,716.8,2138.4,1436.8,701.6,0.7508043923840282,0.5010982188277435,0.6593994174793902,0.39225623511355767,0.34060058252060976,0.49890178117225636,0.5530388911690988,0.5802488181535669,0.6009910080208869,0.5367790401038885,0.15152674290146112,0.580248818153567,0.6551980821641823,0.5755211210414461
traditional_2_of_5,traditional_2_of_5,,312.4,55.4,646.2,1124.4,2138.4,1436.8,701.6,0.8492823074554028,0.21736104452312502,0.9210693948634574,0.3649667098439816,0.07893060513654249,0.782638955476875,0.4482841571397242,0.5692152196932913,0.346117613913923,0.2553580086456163,0.17220182617533158,0.5987774178949243,0.7201939515063296,0.5588221332524568
weighted_fire_specificity_silence_sensitivity,weighted_fire_specificity_silence_sensitivity_tau_0_4,0.4,720.0,239.0,462.6,716.8,2138.4,1436.8,701.6,0.7508043923840282,0.5010982188277435,0.6593994174793902,0.39225623511355767,0.34060058252060976,0.49890178117225636,0.5530388911690988,0.5802488181535669,0.6009910080208869,0.5367790401038885,0.15152674290146112,0.5873865581103412,0.7107700425009403,0.5755211210414461
dst_dempster_fire_specificity_silence_sensitivity,dst_dempster_fire_specificity_silence_sensitivity_tau_0_7,0.7,720.0,239.0,462.6,716.8,2138.4,1436.8,701.6,0.7508043923840282,0.5010982188277435,0.6593994174793902,0.39225623511355767,0.34060058252060976,0.49890178117225636,0.5530388911690988,0.5802488181535669,0.6009910080208869,0.5367790401038885,0.15152674290146112,0.6020970457467778,0.7428083010058479,0.5755211210414461
dst_pcr6_fire_specificity_silence_sensitivity,dst_pcr6_fire_specificity_silence_sensitivity_tau_0_7,0.7,714.0,238.2,463.4,722.8,2138.4,1436.8,701.6,0.7498755487403197,0.4969263563681906,0.6605407581068834,0.3906852615882654,0.33945924189311666,0.5030736436318094,0.5506067949470127,0.578733557237537,0.5976730789507533,0.5328454408116039,0.14877224319880472,0.5984922462133453,0.7352056639863307,0.578704280425352
dst_yager_fire_specificity_silence_sensitivity,dst_yager_fire_specificity_silence_sensitivity_tau_0_9,0.9,508.8,114.6,587.0,928.0,2138.4,1436.8,701.6,0.8162770241020791,0.35407785434848676,0.836730402212068,0.38746594828845826,0.16326959778793199,0.6459221456515132,0.5124411132301063,0.5954041282802774,0.49384342114590984,0.39927361809027667,0.1971608352223086,0.5899390540244809,0.7238971332321631,0.5328630253595448
naive_bayes,naive_bayes_tau_0_3,0.3,435.4,80.4,621.2,1001.4,2138.4,1436.8,701.6,0.8444091069109506,0.30296267074806477,0.8853998761462426,0.38282384670260716,0.11460012385375737,0.6970373292519352,0.49412322815255605,0.5941812734471537,0.44587131501659716,0.347512854151823,0.20686476537595827,0.6227578912901789,0.7587585698838257,0.5926799558071189
bks,bks_tau_0_2,0.2,580.6,136.6,565.0,856.2,2138.4,1436.8,701.6,0.8095035665357673,0.40424793630199546,0.8053889952202182,0.3977811553645956,0.19461100477978185,0.5957520636980045,0.5357815448124453,0.6048184657611068,0.5389728651596577,0.44913447793237565,0.20844959278038955,0.6194299232563839,0.7578922532347429,0.5833522431470157
logistic_regression,logistic_regression_tau_0_6,0.6,647.8,162.4,539.2,789.0,2138.4,1436.8,701.6,0.7995811054652255,0.45086832821993683,0.76849663581215,0.4059945931301117,0.23150336418785003,0.5491316717800631,0.5551163542787945,0.6096824820160434,0.5765665758871995,0.4939386117670793,0.21235368802311455,0.6232706946027838,0.7548620737626341,0.5698541007042499
logistic_interactions,logistic_interactions_tau_0_6,0.6,654.8,164.0,537.6,782.0,2138.4,1436.8,701.6,0.7996742365756517,0.4558389997046929,0.7663171611599414,0.4075587561904553,0.23368283884005864,0.5441610002953071,0.5576529556737932,0.6110780804323172,0.5805782460500811,0.4986870705554658,0.21456304909893048,0.6238148916621874,0.7542724015218704,0.5723640495259044
decision_tree,decision_tree_tau_0_6,0.6,673.6,168.4,533.2,763.2,2138.4,1436.8,701.6,0.7999148985714937,0.46885022671747567,0.7599976123090041,0.41139333893096897,0.24000238769099586,0.5311497732825243,0.5643710604889,0.6144239195132399,0.5911413801890183,0.5111417654634008,0.2199001332546528,0.6231270392369964,0.7530330908816968,0.5855095702121712
